#     TEMP:    TE_AVE:      ERROR:
           2   -0.006608  0.00163716
        1.95     0.00939   0.0016677
         1.9   -0.001662  0.00167251
        1.85   -0.003674  0.00171037
         1.8    -0.00367  0.00173526
        1.75     0.00494   0.0017625
         1.7    0.004218  0.00181218
        1.65   -0.006668  0.00182459
         1.6    0.000144  0.00185356
        1.55    0.006126  0.00186712
         1.5    -0.00056  0.00195299
        1.45   -0.000194  0.00201004
         1.4   -0.000628  0.00203332
        1.35     0.00215  0.00204341
         1.3    0.005752  0.00213557
        1.25   -0.006556    0.002231
         1.2    0.012976  0.00237774
        1.15    0.009292   0.0023668
         1.1   -0.031376  0.00242184
        1.05    0.004872  0.00261817
           1     0.00245  0.00265564
        0.95    0.006728  0.00284536
         0.9   -0.031352  0.00306213
        0.85     0.03026  0.00329126
         0.8    0.020952  0.00336912
        0.75   -0.047956  0.00377846
         0.7   -0.082866  0.00410726
        0.65    -0.01773  0.00453729
         0.6     -0.1262  0.00498473
        0.55    0.069274  0.00571155
         0.5    0.866472  0.00213175
