#     TEMP:    TE_AVE:      ERROR:
           2    0.192406  0.00020864
        1.95    0.200463 0.000219993
         1.9    0.207926 0.000232159
        1.85     0.21691 0.000247838
         1.8    0.225183 0.000265801
        1.75    0.234293 0.000288478
         1.7    0.244705 0.000305966
        1.65    0.255147 0.000330919
         1.6    0.264326 0.000361019
        1.55    0.276428 0.000389378
         1.5    0.288112 0.000412383
        1.45    0.299807 0.000448948
         1.4    0.310917 0.000489988
        1.35    0.325633  0.00052303
         1.3    0.339301 0.000575416
        1.25    0.349138 0.000628518
         1.2    0.364937 0.000687431
        1.15     0.37751 0.000744655
         1.1    0.387011 0.000811549
        1.05    0.404138 0.000892155
           1    0.410184 0.000974431
        0.95     0.41908  0.00106772
         0.9    0.426077   0.0011626
        0.85    0.428026   0.0012504
         0.8    0.438585  0.00134924
        0.75    0.424057  0.00147976
         0.7    0.407182   0.0016385
        0.65    0.368907  0.00173197
         0.6    0.344288  0.00198525
        0.55    0.282973  0.00217482
         0.5    0.221955  0.00222439
