#     TEMP:    TE_AVE:      ERROR:
           2      1.5689   0.0121981
        1.95     1.59874   0.0122359
         1.9     1.75607   0.0137894
        1.85     1.83772    0.014081
         1.8     1.87481   0.0146307
        1.75     2.01098   0.0156013
         1.7     2.12467   0.0165857
        1.65     2.29864   0.0178572
         1.6     2.48556    0.019362
        1.55     2.56739   0.0197618
         1.5     2.78028   0.0214891
        1.45     3.10554   0.0250933
         1.4     3.32353   0.0264755
        1.35     3.57292    0.027956
         1.3      3.8177   0.0309454
        1.25     4.29367   0.0344562
         1.2     4.86989   0.0388219
        1.15     4.96948    0.040248
         1.1     6.08332   0.0486516
        1.05     6.68896   0.0549142
           1     8.17912    0.066039
        0.95     8.72873   0.0705167
         0.9     10.9608   0.0851383
        0.85     12.2024   0.0949553
         0.8      14.955    0.110255
        0.75     19.0228    0.138327
         0.7     24.7982    0.168786
        0.65     33.1199    0.202455
         0.6     44.6896    0.231641
        0.55     59.8791    0.253541
         0.5     75.8796    0.258121
