#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        4.09507        4.09507              0
              2        4.09524        4.09516    6.18538e-05
              3        4.09549        4.09527    9.91501e-05
              4         4.0958         4.0954    0.000137384
              5        4.09618        4.09556    0.000177859
              6        4.09663        4.09574    0.000220808
              7        4.09715        4.09594    0.000266231
              8        4.09774        4.09616    0.000314066
              9         4.0984        4.09641    0.000364231
             10        4.09912        4.09668    0.000416643
             11        4.09992        4.09698    0.000471224
             12        4.10078        4.09729    0.000527898
             13        4.10171        4.09763    0.000586598
             14        4.10271          4.098    0.000647259
             15        4.10378        4.09838    0.000709828
             16        4.10492        4.09879    0.000774255
             17        4.10613        4.09922    0.000840484
             18        4.10741        4.09968    0.000908473
             19        4.10875        4.10016    0.000978178
             20        4.11017        4.10066     0.00104956
             21        4.11165        4.10118     0.00112257
             22         4.1132        4.10173     0.00119717
             23        4.11482        4.10229     0.00127334
             24        4.11651        4.10289     0.00135104
             25        4.11827         4.1035     0.00143023
             26        4.12009        4.10414     0.00151089
             27        4.12199         4.1048     0.00159298
             28        4.12395        4.10549     0.00167649
             29        4.12598        4.10619     0.00176139
             30        4.12808        4.10692     0.00184764
             31        4.13025        4.10767     0.00193522
             32        4.13249        4.10845     0.00202412
             33        4.13479        4.10925      0.0021143
             34        4.13716        4.11007     0.00220574
             35         4.1396        4.11091     0.00229842
             36         4.1421        4.11178     0.00239232
             37        4.14468        4.11267     0.00248741
             38        4.14732        4.11358     0.00258367
             39        4.15002        4.11451     0.00268107
             40        4.15279        4.11547      0.0027796
             41        4.15563        4.11645     0.00287924
             42        4.15854        4.11745     0.00297994
             43         4.1615        4.11848      0.0030817
             44        4.16454        4.11952     0.00318449
             45        4.16763        4.12059     0.00328828
             46        4.17079        4.12168     0.00339304
             47        4.17401         4.1228     0.00349876
             48         4.1773        4.12393     0.00360539
             49        4.18064        4.12509     0.00371293
             50        4.18405        4.12627     0.00382133
             51        4.18751        4.12747     0.00393056
             52        4.19104        4.12869      0.0040406
             53        4.19462        4.12994     0.00415141
             54        4.19826         4.1312     0.00426296
             55        4.20195        4.13249     0.00437521
             56        4.20569         4.1338     0.00448812
             57        4.20949        4.13512     0.00460167
             58        4.21334        4.13647      0.0047158
             59        4.21724        4.13784     0.00483047
             60        4.22118        4.13923     0.00494564
             61        4.22517        4.14064     0.00506126
             62         4.2292        4.14207     0.00517729
             63        4.23328        4.14352     0.00529368
             64        4.23739        4.14498     0.00541035
             65        4.24154        4.14647     0.00552728
             66        4.24571        4.14797     0.00564438
             67        4.24992        4.14949      0.0057616
             68        4.25416        4.15103     0.00587887
             69        4.25842        4.15259     0.00599613
             70        4.26269        4.15416     0.00611329
             71        4.26698        4.15575     0.00623029
             72        4.27128        4.15736     0.00634703
             73        4.27559        4.15897     0.00646344
             74         4.2799        4.16061     0.00657942
             75         4.2842        4.16226     0.00669488
             76        4.28849        4.16392     0.00680972
             77        4.29277        4.16559     0.00692382
             78        4.29702        4.16728     0.00703709
             79        4.30124        4.16897     0.00714939
             80        4.30542        4.17068     0.00726061
             81        4.30955        4.17239     0.00737062
             82        4.31363        4.17411     0.00747928
             83        4.31764        4.17584     0.00758645
             84        4.32158        4.17758     0.00769196
             85        4.32543        4.17932     0.00779567
             86        4.32919        4.18106     0.00789741
             87        4.33284        4.18281       0.007997
             88        4.33636        4.18455     0.00809426
             89        4.33975        4.18629       0.008189
             90        4.34298        4.18803     0.00828101
             91        4.34605        4.18977     0.00837008
             92        4.34894         4.1915     0.00845601
             93        4.35162        4.19322     0.00853856
             94        4.35408        4.19493     0.00861749
             95         4.3563        4.19663     0.00869257
             96        4.35825        4.19832     0.00876354
             97        4.35992        4.19998     0.00883014
             98        4.36128        4.20163     0.00889211
             99        4.36231        4.20325     0.00894919
            100        4.36297        4.20485     0.00900109
            101        4.36323        4.20642     0.00904754
            102        4.36308        4.20795     0.00908827
            103        4.36247        4.20945       0.009123
            104        4.36137        4.21091     0.00915147
            105        4.35974        4.21233     0.00917342
            106        4.35755         4.2137     0.00918861
            107        4.35477        4.21502     0.00919683
            108        4.35134        4.21628     0.00919789
            109        4.34723        4.21748     0.00919162
            110        4.34239        4.21862     0.00917793
            111        4.33678        4.21968     0.00915677
            112        4.33035        4.22067     0.00912817
            113        4.32305        4.22158     0.00909224
            114        4.31484        4.22239     0.00904921
            115        4.30566        4.22312     0.00899945
            116        4.29547        4.22374     0.00894346
            117        4.28422        4.22426     0.00888194
            118        4.27186        4.22466     0.00881583
            119        4.25834        4.22495     0.00874629
            120        4.24362         4.2251     0.00867479
            121        4.22766        4.22512     0.00860312
            122        4.21041          4.225     0.00853345
            123        4.19184        4.22473     0.00846833
            124        4.17193        4.22431     0.00841073
            125        4.15066        4.22372     0.00836406
            126          4.128        4.22296     0.00833211
            127        4.10396        4.22202     0.00831901
            128        4.07855         4.2209     0.00832919
            129        4.05179        4.21959     0.00836715
            130        4.02371        4.21808     0.00843737
            131        3.99436        4.21637     0.00854406
            132        3.96381        4.21446     0.00869093
            133        3.93215        4.21234     0.00888102
            134        3.89949           4.21     0.00911646
            135        3.86595        4.20746     0.00939841
            136        3.83169        4.20469     0.00972697
            137        3.79687        4.20172      0.0101012
            138        3.76171        4.19853      0.0105192
            139         3.7264        4.19513      0.0109782
            140        3.69119        4.19153      0.0114747
            141        3.65634        4.18774      0.0120047
            142        3.62213        4.18375      0.0125636
            143        3.58883        4.17959      0.0131466
            144        3.55675        4.17527      0.0137484
            145        3.52619        4.17079      0.0143638
            146        3.49746        4.16618      0.0149875
            147        3.47086        4.16145      0.0156142
            148        3.44666        4.15662      0.0162384
            149        3.42515        4.15171      0.0168552
            150        3.40657        4.14674      0.0174595
            151        3.39115        4.14174      0.0180467
            152        3.37908        4.13672      0.0186124
            153         3.3705        4.13171      0.0191526
            154        3.36552        4.12674      0.0196639
            155        3.36421        4.12182       0.020143
            156        3.36659        4.11698      0.0205874
            157        3.37262        4.11224      0.0209951
            158        3.38225        4.10762      0.0213646
            159        3.39534        4.10314      0.0216948
            160        3.41173        4.09881      0.0219853
            161        3.43124        4.09467      0.0222363
            162        3.45363        4.09071      0.0224484
            163        3.47865        4.08696      0.0226225
            164        3.50601        4.08341      0.0227603
            165        3.53541        4.08009      0.0228634
            166        3.56656          4.077       0.022934
            167        3.59912        4.07414      0.0229745
            168         3.6328        4.07151      0.0229874
            169        3.66728        4.06912      0.0229755
            170        3.70227        4.06696      0.0229415
            171        3.73747        4.06503      0.0228881
            172        3.77262        4.06333       0.022818
            173        3.80745        4.06185       0.022734
            174        3.84175        4.06059      0.0226386
            175        3.87529        4.05953      0.0225339
            176        3.90789        4.05867      0.0224224
            177        3.93938        4.05799      0.0223058
            178        3.96961         4.0575       0.022186
            179        3.99846        4.05717      0.0220645
            180        4.02583        4.05699      0.0219426
            181        4.05163        4.05696      0.0218214
            182         4.0758        4.05707      0.0217018
            183        4.09829        4.05729      0.0215844
            184        4.11907        4.05763      0.0214697
            185        4.13812        4.05806       0.021358
            186        4.15544        4.05859      0.0212496
            187        4.17105        4.05919      0.0211445
            188        4.18496        4.05986      0.0210426
            189         4.1972        4.06058      0.0209438
            190        4.20781        4.06136      0.0208479
            191        4.21684        4.06217      0.0207546
            192        4.22434        4.06302      0.0206637
            193        4.23035        4.06389      0.0205748
