#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -1.40924       -1.40924              0
              2       -1.40948       -1.40936    8.62058e-05
              3       -1.40979        -1.4095    0.000131507
              4       -1.41017       -1.40967    0.000175643
              5       -1.41063       -1.40986     0.00022104
              6       -1.41114       -1.41008    0.000268313
              7       -1.41173       -1.41031    0.000317648
              8       -1.41239       -1.41057    0.000369084
              9       -1.41312       -1.41085    0.000422607
             10       -1.41391       -1.41116     0.00047818
             11       -1.41477       -1.41149    0.000535755
             12       -1.41571       -1.41184    0.000595283
             13       -1.41671       -1.41221    0.000656714
             14       -1.41784       -1.41262    0.000722358
             15       -1.41898       -1.41304    0.000788975
             16       -1.42019       -1.41349    0.000856807
             17       -1.42154       -1.41396    0.000928137
             18       -1.42288       -1.41446     0.00100026
             19        -1.4243       -1.41497      0.0010734
             20       -1.42578       -1.41551     0.00114771
             21       -1.42734       -1.41608     0.00122348
             22       -1.42896       -1.41666     0.00130053
             23       -1.43065       -1.41727     0.00137888
             24       -1.43241        -1.4179     0.00145857
             25       -1.43424       -1.41856     0.00153962
             26       -1.43613       -1.41923     0.00162201
             27       -1.43809       -1.41993     0.00170575
             28       -1.44012       -1.42065     0.00179083
             29       -1.44222        -1.4214     0.00187723
             30       -1.44439       -1.42216     0.00196494
             31       -1.44663       -1.42295     0.00205394
             32       -1.44893       -1.42376     0.00214422
             33        -1.4513        -1.4246     0.00223574
             34       -1.45374       -1.42545      0.0023285
             35       -1.45622       -1.42633     0.00242221
             36       -1.45879       -1.42724     0.00251716
             37       -1.46143       -1.42816     0.00261331
             38       -1.46414       -1.42911     0.00271063
             39       -1.46691       -1.43008     0.00280911
             40       -1.46975       -1.43107     0.00290871
             41       -1.47265       -1.43208      0.0030094
             42       -1.47562       -1.43312     0.00311117
             43       -1.47865       -1.43418     0.00321398
             44       -1.48175       -1.43526      0.0033178
             45       -1.48491       -1.43636     0.00342261
             46       -1.48813       -1.43749     0.00352838
             47        -1.4914       -1.43863       0.003635
             48       -1.49471        -1.4398     0.00374233
             49       -1.49812       -1.44099     0.00385056
             50       -1.50159        -1.4422     0.00395966
             51       -1.50511       -1.44344     0.00406959
             52       -1.50869       -1.44469     0.00418032
             53       -1.51233       -1.44597     0.00429181
             54       -1.51602       -1.44727     0.00440403
             55       -1.51977       -1.44858     0.00451692
             56       -1.52356       -1.44992     0.00463046
             57       -1.52742       -1.45128      0.0047446
             58       -1.53133       -1.45266     0.00485938
             59       -1.53527       -1.45406     0.00497466
             60       -1.53926       -1.45548     0.00509038
             61        -1.5433       -1.45692     0.00520651
             62       -1.54737       -1.45838     0.00532299
             63       -1.55148       -1.45986     0.00543977
             64       -1.55563       -1.46136     0.00555678
             65       -1.55981       -1.46287     0.00567396
             66       -1.56402        -1.4644     0.00579126
             67       -1.56825       -1.46595      0.0059086
             68        -1.5725       -1.46752     0.00602589
             69       -1.57678        -1.4691     0.00614308
             70       -1.58106        -1.4707     0.00626006
             71       -1.58533       -1.47232     0.00637668
             72       -1.58961       -1.47395     0.00649287
             73       -1.59392       -1.47559     0.00660863
             74       -1.59822       -1.47725      0.0067239
             75       -1.60254       -1.47892     0.00683864
             76       -1.60684        -1.4806     0.00695271
             77       -1.61109        -1.4823     0.00706593
             78       -1.61532         -1.484     0.00717819
             79        -1.6195       -1.48572     0.00728935
             80       -1.62362       -1.48744     0.00739924
             81       -1.62771       -1.48917      0.0075078
             82       -1.63172       -1.49091     0.00761484
             83       -1.63567       -1.49265     0.00772024
             84       -1.63953        -1.4944     0.00782384
             85       -1.64329       -1.49615     0.00792545
             86       -1.64694       -1.49791     0.00802489
             87       -1.65047       -1.49966     0.00812198
             88       -1.65386       -1.50141     0.00821653
             89        -1.6571       -1.50316     0.00830832
             90       -1.66017       -1.50491     0.00839716
             91       -1.66305       -1.50664     0.00848282
             92       -1.66574       -1.50837     0.00856506
             93        -1.6682       -1.51009     0.00864366
             94       -1.67043        -1.5118     0.00871838
             95       -1.67239       -1.51349     0.00878896
             96       -1.67406       -1.51516     0.00885514
             97       -1.67542       -1.51681     0.00891665
             98       -1.67645       -1.51844     0.00897322
             99       -1.67711       -1.52005     0.00902458
            100       -1.67738       -1.52162     0.00907045
            101       -1.67723       -1.52316     0.00911055
            102       -1.67661       -1.52466      0.0091446
            103       -1.67551       -1.52613     0.00917235
            104       -1.67389       -1.52755     0.00919353
            105       -1.67171       -1.52892     0.00920792
            106       -1.66892       -1.53024     0.00921529
            107       -1.66551       -1.53151     0.00921547
            108        -1.6614       -1.53271     0.00920829
            109       -1.65657       -1.53385     0.00919365
            110       -1.65096       -1.53491     0.00917151
            111       -1.64454        -1.5359     0.00914191
            112       -1.63725        -1.5368     0.00910496
            113       -1.62905       -1.53762     0.00906091
            114       -1.61988       -1.53834     0.00901011
            115       -1.60971       -1.53896     0.00895311
            116       -1.59847       -1.53947     0.00889062
            117       -1.58614       -1.53987     0.00882357
            118       -1.57264       -1.54015     0.00875316
            119       -1.55793        -1.5403     0.00868088
            120       -1.54196       -1.54031     0.00860855
            121       -1.52472       -1.54019     0.00853837
            122       -1.50616       -1.53991     0.00847294
            123       -1.48626       -1.53947     0.00841527
            124       -1.46498       -1.53887     0.00836882
            125       -1.44233        -1.5381     0.00833743
            126        -1.4183       -1.53715      0.0083253
            127       -1.39289       -1.53601     0.00833687
            128       -1.36612       -1.53468     0.00837673
            129       -1.33803       -1.53316     0.00844937
            130       -1.30865       -1.53143     0.00855904
            131       -1.27809        -1.5295     0.00870945
            132       -1.24642       -1.52735     0.00890357
            133       -1.21374         -1.525     0.00914355
            134       -1.18019       -1.52242     0.00943044
            135       -1.14592       -1.51963     0.00976428
            136       -1.11109       -1.51663      0.0101441
            137        -1.0759       -1.51341      0.0105678
            138       -1.04057       -1.50999      0.0110327
            139       -1.00534       -1.50636      0.0115353
            140      -0.970471       -1.50253      0.0120713
            141      -0.936235       -1.49851      0.0126361
            142      -0.902914       -1.49432      0.0132249
            143      -0.870808       -1.48996      0.0138326
            144      -0.840232       -1.48545      0.0144537
            145       -0.81148        -1.4808      0.0150828
            146      -0.784852       -1.47603      0.0157147
            147      -0.760643       -1.47116       0.016344
            148       -0.73911       -1.46622      0.0169655
            149       -0.72052       -1.46121      0.0175744
            150       -0.70509       -1.45617      0.0181657
            151      -0.693007       -1.45112      0.0187353
            152      -0.684421       -1.44607      0.0192791
            153      -0.679446       -1.44106      0.0197935
            154      -0.678133       -1.43611      0.0202755
            155      -0.680517       -1.43123      0.0207224
            156      -0.686563       -1.42646      0.0211322
            157       -0.69621       -1.42181      0.0215034
            158      -0.709319        -1.4173       0.021835
            159      -0.725728       -1.41295      0.0221267
