#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1        2.73005        2.73005              0
              2        2.73016         2.7301    4.12358e-05
              3        2.73033        2.73018       6.61e-05
              4        2.73053        2.73027     9.1589e-05
              5        2.73079        2.73037    0.000118572
              6        2.73109        2.73049    0.000147205
              7        2.73143        2.73063    0.000177487
              8        2.73183        2.73078    0.000209377
              9        2.73226        2.73094     0.00024282
             10        2.73275        2.73112    0.000277762
             11        2.73328        2.73132    0.000314149
             12        2.73385        2.73153    0.000351932
             13        2.73447        2.73176    0.000391065
             14        2.73514          2.732    0.000431506
             15        2.73586        2.73225    0.000473219
             16        2.73661        2.73253     0.00051617
             17        2.73742        2.73282    0.000560323
             18        2.73827        2.73312    0.000605648
             19        2.73917        2.73344    0.000652118
             20        2.74011        2.73377    0.000699704
             21         2.7411        2.73412    0.000748377
             22        2.74213        2.73448    0.000798115
             23        2.74321        2.73486    0.000848893
             24        2.74434        2.73526     0.00090069
             25        2.74551        2.73567    0.000953485
             26        2.74673        2.73609     0.00100726
             27        2.74799        2.73653     0.00106199
             28         2.7493        2.73699     0.00111766
             29        2.75066        2.73746     0.00117426
             30        2.75205        2.73795     0.00123176
             31         2.7535        2.73845     0.00129015
             32        2.75499        2.73897     0.00134941
             33        2.75653         2.7395     0.00140953
             34        2.75811        2.74005     0.00147049
             35        2.75973        2.74061     0.00153228
             36         2.7614        2.74119     0.00159488
             37        2.76312        2.74178     0.00165827
             38        2.76488        2.74239     0.00172244
             39        2.76668        2.74301     0.00178738
             40        2.76853        2.74365     0.00185307
             41        2.77042         2.7443     0.00191949
             42        2.77236        2.74497     0.00198663
             43        2.77434        2.74565     0.00205447
             44        2.77636        2.74635     0.00212299
             45        2.77842        2.74706     0.00219219
             46        2.78053        2.74779     0.00226203
             47        2.78268        2.74853      0.0023325
             48        2.78487        2.74929      0.0024036
             49         2.7871        2.75006     0.00247528
             50        2.78937        2.75085     0.00254755
             51        2.79168        2.75165     0.00262037
             52        2.79403        2.75246     0.00269373
             53        2.79641        2.75329     0.00276761
             54        2.79884        2.75413     0.00284197
             55         2.8013        2.75499     0.00291681
             56         2.8038        2.75586     0.00299208
             57        2.80633        2.75675     0.00306778
             58        2.80889        2.75765     0.00314386
             59        2.81149        2.75856     0.00322031
             60        2.81412        2.75949     0.00329709
             61        2.81678        2.76043     0.00337418
             62        2.81947        2.76138     0.00345153
             63        2.82219        2.76234     0.00352912
             64        2.82493        2.76332      0.0036069
             65        2.82769        2.76431     0.00368485
             66        2.83048        2.76531     0.00376292
             67        2.83328        2.76633     0.00384107
             68        2.83611        2.76735     0.00391925
             69        2.83894        2.76839     0.00399742
             70        2.84179        2.76944     0.00407553
             71        2.84466         2.7705     0.00415352
             72        2.84752        2.77157     0.00423135
             73        2.85039        2.77265     0.00430896
             74        2.85327        2.77374     0.00438628
             75        2.85613        2.77484     0.00446325
             76        2.85899        2.77595     0.00453981
             77        2.86184        2.77706     0.00461588
             78        2.86468        2.77818     0.00469139
             79        2.86749        2.77931     0.00476626
             80        2.87028        2.78045     0.00484041
             81        2.87303        2.78159     0.00491375
             82        2.87575        2.78274     0.00498619
             83        2.87843         2.7839     0.00505763
             84        2.88105        2.78505     0.00512798
             85        2.88362        2.78621     0.00519712
             86        2.88613        2.78737     0.00526494
             87        2.88856        2.78854     0.00533134
             88        2.89091         2.7897     0.00539617
             89        2.89316        2.79086     0.00545933
             90        2.89532        2.79202     0.00552067
             91        2.89737        2.79318     0.00558006
             92        2.89929        2.79433     0.00563734
             93        2.90108        2.79548     0.00569237
             94        2.90272        2.79662     0.00574499
             95         2.9042        2.79776     0.00579504
             96         2.9055        2.79888     0.00584236
             97        2.90662        2.79999     0.00588676
             98        2.90752        2.80109     0.00592808
             99         2.9082        2.80217     0.00596612
            100        2.90864        2.80323     0.00600073
            101        2.90882        2.80428     0.00603169
            102        2.90872         2.8053     0.00605884
            103        2.90831         2.8063       0.006082
            104        2.90758        2.80728     0.00610098
            105        2.90649        2.80822     0.00611561
            106        2.90504        2.80913     0.00612574
            107        2.90318        2.81001     0.00613122
            108        2.90089        2.81085     0.00613192
            109        2.89815        2.81166     0.00612775
            110        2.89493        2.81241     0.00611862
            111        2.89119        2.81312     0.00610451
            112         2.8869        2.81378     0.00608545
            113        2.88203        2.81438     0.00606149
            114        2.87656        2.81493     0.00603281
            115        2.87044        2.81541     0.00599963
            116        2.86365        2.81583      0.0059623
            117        2.85615        2.81617      0.0059213
            118        2.84791        2.81644     0.00587722
            119         2.8389        2.81663     0.00583086
            120        2.82908        2.81673     0.00578319
            121        2.81844        2.81675     0.00573541
            122        2.80694        2.81667     0.00568897
            123        2.79456        2.81649     0.00564555
            124        2.78129         2.8162     0.00560716
            125         2.7671        2.81581     0.00557604
            126          2.752        2.81531     0.00555474
            127        2.73598        2.81468     0.00554601
            128        2.71903        2.81393     0.00555279
            129        2.70119        2.81306      0.0055781
            130        2.68247        2.81205     0.00562492
            131         2.6629        2.81092     0.00569604
            132        2.64254        2.80964     0.00579396
            133        2.62143        2.80823     0.00592068
            134        2.59966        2.80667     0.00607764
            135         2.5773        2.80497     0.00626561
            136        2.55446        2.80313     0.00648465
            137        2.53125        2.80114     0.00673413
            138         2.5078        2.79902      0.0070128
            139        2.48427        2.79675     0.00731881
            140        2.46079        2.79435     0.00764983
            141        2.43756        2.79182     0.00800316
            142        2.41475        2.78917     0.00837575
            143        2.39255        2.78639     0.00876437
            144        2.37117        2.78351     0.00916559
            145         2.3508        2.78053     0.00957588
            146        2.33164        2.77745     0.00999169
            147         2.3139         2.7743      0.0104094
            148        2.29777        2.77108      0.0108256
            149        2.28343        2.76781      0.0112368
            150        2.27105        2.76449      0.0116397
            151        2.26077        2.76116      0.0120311
            152        2.25272        2.75781      0.0124083
            153          2.247        2.75447      0.0127684
            154        2.24368        2.75116      0.0131093
            155        2.24281        2.74788      0.0134287
            156        2.24439        2.74465       0.013725
            157        2.24842        2.74149      0.0139968
            158        2.25483        2.73841       0.014243
            159        2.26356        2.73542      0.0144632
            160        2.27449        2.73254      0.0146569
            161         2.2875        2.72978      0.0148242
            162        2.30242        2.72714      0.0149656
            163         2.3191        2.72464      0.0150817
            164        2.33734        2.72228      0.0151735
            165        2.35694        2.72006      0.0152422
            166         2.3777          2.718      0.0152893
            167        2.39942        2.71609      0.0153163
            168        2.42187        2.71434      0.0153249
            169        2.44486        2.71275       0.015317
            170        2.46818        2.71131      0.0152943
            171        2.49165        2.71002      0.0152587
            172        2.51508        2.70889       0.015212
            173         2.5383         2.7079       0.015156
            174        2.56117        2.70706      0.0150924
            175        2.58353        2.70635      0.0150226
            176        2.60526        2.70578      0.0149482
            177        2.62625        2.70533      0.0148705
            178        2.64641          2.705      0.0147907
            179        2.66564        2.70478      0.0147097
            180        2.68389        2.70466      0.0146284
            181        2.70109        2.70464      0.0145476
            182         2.7172        2.70471      0.0144679
            183        2.73219        2.70486      0.0143896
            184        2.74604        2.70509      0.0143131
            185        2.75875        2.70538      0.0142387
            186        2.77029        2.70573      0.0141664
            187         2.7807        2.70613      0.0140963
            188        2.78997        2.70657      0.0140284
            189        2.79813        2.70706      0.0139625
            190        2.80521        2.70757      0.0138986
            191        2.81123        2.70812      0.0138364
            192        2.81623        2.70868      0.0137758
            193        2.82024        2.70926      0.0137166
            194         2.8233        2.70984      0.0136584
            195        2.82545        2.71044      0.0136013
            196        2.82673        2.71103      0.0135448
            197        2.82719        2.71162      0.0134889
            198        2.82686         2.7122      0.0134333
            199        2.82579        2.71277      0.0133779
            200        2.82402        2.71333      0.0133226
            201        2.82161        2.71387      0.0132672
            202        2.81859        2.71439      0.0132116
            203        2.81504        2.71488      0.0131559
            204        2.81102        2.71535      0.0130998
            205         2.8066         2.7158      0.0130435
            206        2.80186        2.71622      0.0129868
            207         2.7969        2.71661      0.0129299
            208        2.79182        2.71697      0.0128728
            209        2.78674         2.7173      0.0128156
