#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1        2.68583        2.68583              0
              2        2.68576         2.6858     2.4352e-05
              3        2.68569        2.68576    3.24663e-05
              4        2.68563        2.68573    3.84971e-05
              5        2.68556        2.68569    4.35511e-05
              6        2.68549        2.68566    4.80073e-05
              7        2.68542        2.68563    5.20467e-05
              8        2.68535        2.68559    5.57728e-05
              9        2.68528        2.68556    5.92515e-05
             10        2.68521        2.68552    6.25278e-05
             11        2.68514        2.68549    6.56345e-05
             12        2.68508        2.68545    6.85961e-05
             13        2.68501        2.68542    7.14315e-05
             14        2.68487        2.68538    7.62343e-05
             15         2.6848        2.68534    8.02396e-05
             16        2.68474         2.6853    8.36955e-05
             17        2.68459        2.68526    8.86683e-05
             18        2.68452        2.68522    9.27907e-05
             19        2.68445        2.68518    9.63073e-05
             20        2.68438        2.68514    9.93803e-05
             21        2.68431         2.6851    0.000102287
             22        2.68424        2.68506    0.000104899
             23        2.68417        2.68502    0.000107282
             24         2.6841        2.68498    0.000109485
             25        2.68403        2.68495    0.000111542
             26        2.68396        2.68491    0.000113482
             27        2.68389        2.68487    0.000115323
             28        2.68383        2.68483    0.000117083
             29        2.68376         2.6848    0.000118774
             30        2.68369        2.68476    0.000120405
             31        2.68362        2.68472    0.000121985
             32        2.68355        2.68469     0.00012352
             33        2.68349        2.68465    0.000125013
             34        2.68342        2.68461     0.00012647
             35        2.68338        2.68458    0.000127692
             36        2.68331        2.68454     0.00012891
             37        2.68324        2.68451    0.000130121
             38        2.68318        2.68447    0.000131324
             39        2.68311        2.68444    0.000132517
             40        2.68305         2.6844    0.000133699
             41        2.68298        2.68437    0.000134868
             42        2.68292        2.68433    0.000136024
             43        2.68285         2.6843    0.000137164
             44        2.68279        2.68427    0.000138288
             45        2.68272        2.68423    0.000139393
             46        2.68266         2.6842    0.000140479
             47        2.68261        2.68416    0.000141485
             48        2.68258        2.68413    0.000142317
             49        2.68252         2.6841    0.000143146
             50        2.68246        2.68406    0.000143968
             51         2.6824        2.68403     0.00014478
             52        2.68235          2.684    0.000145579
             53        2.68229        2.68397    0.000146361
             54        2.68224        2.68394    0.000147124
             55        2.68218         2.6839    0.000147865
             56        2.68213        2.68387     0.00014858
             57        2.68208        2.68384    0.000149276
             58        2.68201        2.68381        0.00015
             59        2.68196        2.68378    0.000150684
             60        2.68192        2.68375    0.000151326
             61        2.68188        2.68372    0.000151924
             62        2.68183        2.68369    0.000152475
             63         2.6818        2.68366    0.000152977
             64        2.68176        2.68363    0.000153426
             65        2.68173         2.6836    0.000153821
             66         2.6817        2.68357    0.000154159
             67        2.68167        2.68354    0.000154429
             68        2.68166        2.68351    0.000154624
             69        2.68164        2.68348    0.000154749
             70        2.68163        2.68346    0.000154782
             71        2.68165        2.68343    0.000154682
             72        2.68168        2.68341    0.000154447
             73        2.68167        2.68338    0.000154146
             74        2.68167        2.68336    0.000153786
             75        2.68166        2.68334    0.000153407
             76        2.68165        2.68332    0.000152982
             77        2.68167         2.6833    0.000152475
             78         2.6817        2.68328    0.000151885
             79        2.68174        2.68326    0.000151203
             80         2.6818        2.68324    0.000150402
             81        2.68184        2.68322    0.000149526
             82        2.68191         2.6832    0.000148556
             83        2.68198        2.68319    0.000147503
             84        2.68205        2.68318    0.000146369
             85        2.68214        2.68316    0.000145149
             86        2.68225        2.68315    0.000143851
             87        2.68237        2.68314     0.00014248
             88         2.6825        2.68314    0.000141047
             89        2.68265        2.68313    0.000139568
             90        2.68281        2.68313    0.000138062
             91          2.683        2.68313    0.000136553
             92         2.6832        2.68313    0.000135071
             93        2.68342        2.68313    0.000133654
             94        2.68365        2.68314    0.000132347
             95        2.68391        2.68314    0.000131203
             96        2.68419        2.68315     0.00013029
             97         2.6845        2.68317    0.000129683
             98        2.68483        2.68319    0.000129469
             99         2.6852        2.68321    0.000129743
            100        2.68558        2.68323    0.000130605
            101        2.68601        2.68326    0.000132173
            102        2.68646        2.68329    0.000134562
            103        2.68695        2.68332    0.000137873
            104        2.68748        2.68336    0.000142213
            105        2.68803        2.68341    0.000147647
            106        2.68863        2.68346    0.000154253
            107        2.68926        2.68351    0.000162065
            108        2.68994        2.68357    0.000171146
            109        2.69066        2.68364    0.000181514
            110        2.69143        2.68371    0.000193187
            111        2.69224        2.68378    0.000206164
            112        2.69309        2.68387    0.000220445
            113          2.694        2.68396    0.000236036
            114        2.69496        2.68405    0.000252937
            115        2.69595        2.68416     0.00027108
            116          2.697        2.68427     0.00029048
            117        2.69808        2.68439    0.000311075
            118        2.69922        2.68451    0.000332888
            119        2.70042        2.68465    0.000355916
            120        2.70166        2.68479     0.00038014
            121        2.70294        2.68494    0.000405514
            122        2.70425         2.6851    0.000431979
            123        2.70559        2.68526     0.00045947
            124        2.70695        2.68544     0.00048792
            125        2.70833        2.68562    0.000517238
            126         2.7097        2.68581    0.000547306
            127        2.71108        2.68601    0.000578025
            128        2.71243        2.68622    0.000609255
            129        2.71376        2.68643    0.000640844
            130        2.71505        2.68665    0.000672677
            131        2.71626        2.68688    0.000704505
            132        2.71739        2.68711    0.000736111
            133        2.71841        2.68734    0.000767289
            134         2.7193        2.68758    0.000797763
            135        2.72003        2.68782    0.000827281
            136         2.7206        2.68806    0.000855584
            137        2.72098         2.6883    0.000882423
            138        2.72114        2.68854    0.000907538
            139        2.72106        2.68877    0.000930672
            140        2.72072          2.689    0.000951587
            141        2.72011        2.68922    0.000970072
            142        2.71921        2.68943    0.000985962
            143        2.71802        2.68963    0.000999129
            144        2.71652        2.68982     0.00100948
            145        2.71472        2.68999     0.00101702
            146        2.71261        2.69015     0.00102178
            147        2.71021        2.69028     0.00102391
            148        2.70755         2.6904     0.00102361
            149        2.70463         2.6905     0.00102119
            150        2.70148        2.69057       0.001017
            151        2.69815        2.69062     0.00101151
            152        2.69466        2.69065      0.0010052
            153        2.69105        2.69065    0.000998632
            154        2.68739        2.69063    0.000992373
            155        2.68369        2.69058    0.000986979
            156        2.68002        2.69052    0.000982971
            157        2.67641        2.69043    0.000980806
            158        2.67293        2.69032    0.000980832
