#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        4.09496        4.09496              0
              2        4.09493        4.09494    1.31345e-05
              3        4.09496        4.09495    9.46476e-06
              4        4.09506        4.09498    2.47521e-05
              5        4.09523        4.09503    4.92093e-05
              6        4.09547         4.0951    7.85251e-05
              7        4.09577         4.0952    0.000111752
              8        4.09615        4.09532    0.000148417
              9         4.0966        4.09546    0.000188208
             10        4.09711        4.09562    0.000230891
             11         4.0977        4.09581    0.000276283
             12        4.09835        4.09602     0.00032423
             13        4.09907        4.09626    0.000374607
             14        4.09986        4.09652    0.000427303
             15        4.10072         4.0968    0.000482224
             16        4.10165         4.0971    0.000539289
             17        4.10265        4.09743    0.000598427
             18        4.10372        4.09778    0.000659568
             19        4.10486        4.09815    0.000722649
             20        4.10607        4.09855    0.000787614
             21        4.10735        4.09896    0.000854409
             22         4.1087        4.09941    0.000922987
             23        4.11011        4.09987      0.0009933
             24         4.1116        4.10036     0.00106531
             25        4.11315        4.10087     0.00113897
             26        4.11478        4.10141     0.00121426
             27        4.11647        4.10197     0.00129112
             28        4.11824        4.10255     0.00136954
             29        4.12007        4.10315     0.00144948
             30        4.12197        4.10378      0.0015309
             31        4.12394        4.10443     0.00161379
             32        4.12598         4.1051     0.00169811
             33        4.12809         4.1058     0.00178383
             34        4.13027        4.10652     0.00187093
             35        4.13252        4.10726     0.00195938
             36        4.13483        4.10803     0.00204916
             37        4.13721        4.10882     0.00214024
             38        4.13967        4.10963     0.00223259
             39        4.14219        4.11046      0.0023262
             40        4.14477        4.11132     0.00242103
             41        4.14743         4.1122     0.00251706
             42        4.15015         4.1131     0.00261427
             43        4.15294        4.11403     0.00271263
             44        4.15579        4.11498     0.00281211
             45        4.15871        4.11595     0.00291269
             46        4.16169        4.11695     0.00301433
             47        4.16474        4.11796     0.00311702
             48        4.16785          4.119     0.00322072
             49        4.17103        4.12006     0.00332541
             50        4.17427        4.12115     0.00343105
             51        4.17756        4.12225     0.00353761
             52        4.18092        4.12338     0.00364506
             53        4.18434        4.12453     0.00375337
             54        4.18782         4.1257     0.00386249
             55        4.19135         4.1269      0.0039724
             56        4.19494        4.12811     0.00408306
             57        4.19858        4.12935     0.00419442
             58        4.20228        4.13061     0.00430645
             59        4.20602        4.13189     0.00441909
             60        4.20982        4.13318      0.0045323
             61        4.21366         4.1345     0.00464604
             62        4.21754        4.13584     0.00476025
             63        4.22147         4.1372     0.00487488
             64        4.22544        4.13858     0.00498988
             65        4.22945        4.13998     0.00510517
             66        4.23348         4.1414      0.0052207
             67        4.23755        4.14283     0.00533641
             68        4.24165        4.14428     0.00545222
             69        4.24577        4.14575     0.00556806
             70        4.24991        4.14724     0.00568385
             71        4.25407        4.14875     0.00579951
             72        4.25823        4.15027     0.00591495
             73         4.2624         4.1518     0.00603008
             74        4.26657        4.15335     0.00614481
             75        4.27074        4.15492     0.00625903
             76        4.27489         4.1565     0.00637264
             77        4.27903        4.15809     0.00648551
             78        4.28314        4.15969     0.00659754
             79        4.28722        4.16131     0.00670859
             80        4.29125        4.16293     0.00681854
             81        4.29524        4.16456     0.00692724
             82        4.29916        4.16621     0.00703454
             83        4.30302        4.16785     0.00714028
             84        4.30679        4.16951     0.00724432
             85        4.31047        4.17117     0.00734646
             86        4.31405        4.17283     0.00744653
             87        4.31751        4.17449     0.00754435
             88        4.32084        4.17615     0.00763971
             89        4.32402        4.17782      0.0077324
             90        4.32703        4.17947     0.00782222
             91        4.32987        4.18113     0.00790892
             92         4.3325        4.18277     0.00799227
             93        4.33492        4.18441     0.00807204
             94        4.33709        4.18603     0.00814796
             95        4.33901        4.18764     0.00821977
             96        4.34064        4.18924      0.0082872
             97        4.34195        4.19081     0.00834999
             98        4.34293        4.19236     0.00840783
             99        4.34355        4.19389     0.00846045
            100        4.34377        4.19539     0.00850757
            101        4.34356        4.19686     0.00854888
            102        4.34289        4.19829     0.00858411
            103        4.34172        4.19968     0.00861299
            104        4.34003        4.20103     0.00863524
            105        4.33776        4.20233     0.00865063
            106        4.33488        4.20358     0.00865892
            107        4.33135        4.20478     0.00865993
            108        4.32712        4.20591     0.00865352
            109        4.32214        4.20698     0.00863958
            110        4.31638        4.20797     0.00861811
            111        4.30979        4.20889     0.00858914
            112        4.30231        4.20972     0.00855286
            113        4.29389        4.21047     0.00850954
            114        4.28448        4.21112     0.00845963
            115        4.27405        4.21166     0.00840375
            116        4.26252         4.2121     0.00834273
            117        4.24986        4.21242     0.00827766
            118        4.23602        4.21262     0.00820993
            119        4.22096        4.21269     0.00814124
            120        4.20462        4.21263     0.00807367
            121        4.18698        4.21241     0.00800973
            122        4.16801        4.21205     0.00795234
            123        4.14767        4.21153     0.00790489
            124        4.12595        4.21084     0.00787121
            125        4.10284        4.20997     0.00785552
            126        4.07834        4.20893     0.00786234
            127        4.05246         4.2077     0.00789637
            128        4.02523        4.20627     0.00796231
            129        3.99669        4.20465     0.00806463
            130         3.9669        4.20282     0.00820733
            131        3.93593        4.20078     0.00839372
            132        3.90388        4.19853     0.00862623
            133        3.87086        4.19607     0.00890625
            134          3.837        4.19339      0.0092341
            135        3.80246        4.19049     0.00960903
            136        3.76741        4.18738      0.0100293
            137        3.73206        4.18406      0.0104923
            138        3.69662        4.18053      0.0109948
            139        3.66133        4.17679      0.0115327
            140        3.62644        4.17286      0.0121018
            141        3.59223        4.16874      0.0126973
            142        3.55896        4.16445      0.0133142
            143        3.52693        4.15999      0.0139475
            144        3.49644        4.15538       0.014592
            145        3.46776        4.15064      0.0152425
            146        3.44118        4.14578      0.0158938
            147        3.41697        4.14082      0.0165409
            148        3.39538        4.13578      0.0171789
            149        3.37666        4.13069      0.0178031
            150          3.361        4.12556       0.018409
            151        3.34859        4.12041      0.0189926
            152        3.33955        4.11528      0.0195501
            153          3.334        4.11017      0.0200781
            154        3.33199        4.10512      0.0205738
            155        3.33354        4.10014      0.0210346
            156        3.33864        4.09526      0.0214587
            157        3.34722        4.09049      0.0218446
            158        3.35918        4.08586      0.0221913
            159        3.37438        4.08139      0.0224984
            160        3.39264        4.07708      0.0227658
            161        3.41376        4.07296      0.0229942
            162        3.43752        4.06904      0.0231844
            163        3.46366        4.06533      0.0233378
            164        3.49192        4.06183      0.0234559
            165        3.52203        4.05856      0.0235408
            166         3.5537        4.05552      0.0235946
            167        3.58664        4.05271      0.0236198
            168        3.62059        4.05014      0.0236188
            169        3.65526         4.0478      0.0235944
            170        3.69041         4.0457      0.0235491
            171        3.72577        4.04383      0.0234856
            172        3.76111        4.04219      0.0234065
            173        3.79623        4.04076      0.0233143
            174        3.83091        4.03956      0.0232115
            175          3.865        4.03856      0.0231003
            176        3.89832        4.03776      0.0229828
            177        3.93073        4.03716      0.0228609
            178        3.96212        4.03674      0.0227363
            179        3.99239        4.03649      0.0226106
            180        4.02145        4.03641      0.0224852
            181        4.04922        4.03648      0.0223611
            182        4.07566        4.03669      0.0222392
            183        4.10073        4.03704      0.0221205
            184        4.12438        4.03752      0.0220053
            185        4.14661        4.03811      0.0218943
            186        4.16741         4.0388      0.0217876
            187        4.18677        4.03959      0.0216855
            188        4.20471        4.04047      0.0215879
            189        4.22122        4.04143      0.0214949
            190        4.23633        4.04245      0.0214062
            191        4.25007        4.04354      0.0213217
            192        4.26244        4.04468      0.0212411
            193         4.2735        4.04587      0.0211641
            194        4.28326        4.04709      0.0210904
            195        4.29176        4.04834      0.0210195
            196        4.29905        4.04962      0.0209511
            197        4.30516        4.05092      0.0208849
            198        4.31015        4.05223      0.0208204
            199        4.31407        4.05355      0.0207573
            200        4.31697        4.05486      0.0206953
            201        4.31893        4.05618       0.020634
            202        4.32001        4.05748      0.0205731
            203         4.3203        4.05878      0.0205125
            204        4.31988        4.06006      0.0204518
            205        4.31886        4.06132       0.020391
            206        4.31733        4.06256      0.0203298
            207         4.3154        4.06378      0.0202683
            208         4.3132        4.06498      0.0202063
            209        4.31083        4.06616      0.0201438
            210         4.3084        4.06731      0.0200809
            211        4.30602        4.06844      0.0200176
            212         4.3038        4.06955      0.0199539
            213        4.30181        4.07064        0.01989
            214        4.30012        4.07172      0.0198259
            215        4.29878        4.07277      0.0197618
            216        4.29782        4.07381      0.0196978
            217        4.29725        4.07484      0.0196339
            218        4.29703        4.07586      0.0195703
            219        4.29715        4.07687       0.019507
            220        4.29755        4.07788      0.0194441
            221        4.29815        4.07887      0.0193816
            222         4.2989        4.07986      0.0193196
            223        4.29969        4.08085      0.0192581
            224        4.30047        4.08183      0.0191971
            225        4.30114        4.08281      0.0191365
            226        4.30163        4.08377      0.0190763
            227        4.30188        4.08473      0.0190165
            228        4.30185        4.08569      0.0189569
            229        4.30148        4.08663      0.0188975
            230        4.30074        4.08756      0.0188383
            231        4.29963        4.08848      0.0187791
            232        4.29813        4.08938      0.0187199
            233        4.29626        4.09027      0.0186606
            234        4.29401        4.09114      0.0186011
            235        4.29142        4.09199      0.0185415
            236        4.28853        4.09283      0.0184816
            237        4.28535        4.09364      0.0184215
            238        4.28194        4.09443       0.018361
            239        4.27833         4.0952      0.0183003
            240        4.27458        4.09595      0.0182393
            241        4.27073        4.09667      0.0181781
            242        4.26682        4.09737      0.0181166
            243         4.2629        4.09806      0.0180548
            244        4.25902        4.09872      0.0179929
            245        4.25521        4.09935      0.0179307
            246        4.25152        4.09997      0.0178685
            247        4.24797        4.10057      0.0178062
            248        4.24459        4.10115      0.0177439
            249        4.24142        4.10172      0.0176816
            250        4.23846        4.10226      0.0176193
            251        4.23573        4.10279      0.0175571
            252        4.23325        4.10331      0.0174951
            253        4.23102        4.10382      0.0174332
            254        4.22904        4.10431      0.0173716
            255         4.2273        4.10479      0.0173101
            256         4.2258        4.10526       0.017249
            257        4.22452        4.10573      0.0171881
            258        4.22345        4.10619      0.0171275
            259        4.22256        4.10663      0.0170673
            260        4.22184        4.10708      0.0170074
            261        4.22124        4.10752      0.0169479
            262        4.22075        4.10795      0.0168887
            263        4.22032        4.10837      0.0168299
            264        4.21993         4.1088      0.0167714
            265        4.21954        4.10922      0.0167133
            266         4.2191        4.10963      0.0166556
            267        4.21859        4.11004      0.0165982
            268        4.21795        4.11044      0.0165412
            269        4.21716        4.11084      0.0164844
            270        4.21617        4.11123       0.016428
            271        4.21495        4.11161      0.0163718
            272        4.21345        4.11198      0.0163159
            273        4.21165        4.11235      0.0162603
            274        4.20952         4.1127      0.0162048
            275        4.20703        4.11305      0.0161495
            276        4.20417        4.11338      0.0160943
            277        4.20092        4.11369      0.0160393
            278        4.19727        4.11399      0.0159845
            279        4.19325        4.11428      0.0159297
            280        4.18885        4.11454       0.015875
            281         4.1841        4.11479      0.0158205
            282        4.17905        4.11502       0.015766
            283        4.17375        4.11523      0.0157117
            284        4.16825        4.11541      0.0156574
            285        4.16263        4.11558      0.0156034
            286        4.15699        4.11572      0.0155495
            287         4.1514        4.11585      0.0154958
            288        4.14597        4.11595      0.0154424
            289         4.1408        4.11604      0.0153892
            290          4.136        4.11611      0.0153363
            291        4.13167        4.11616      0.0152836
            292         4.1279         4.1162      0.0152314
            293        4.12477        4.11623      0.0151794
            294        4.12236        4.11625      0.0151278
            295        4.12071        4.11627      0.0150765
            296        4.11987        4.11628      0.0150256
            297        4.11986        4.11629       0.014975
            298        4.12069         4.1163      0.0149248
            299        4.12235        4.11632      0.0148749
            300        4.12482        4.11635      0.0148253
            301        4.12807        4.11639      0.0147761
            302        4.13206        4.11644      0.0147273
            303        4.13675        4.11651      0.0146788
            304        4.14208         4.1166      0.0146308
            305          4.148         4.1167      0.0145832
            306        4.15444        4.11682       0.014536
            307        4.16135        4.11697      0.0144894
            308        4.16865        4.11713      0.0144433
            309        4.17627        4.11733      0.0143978
            310        4.18415        4.11754       0.014353
            311         4.1922        4.11778      0.0143089
            312        4.20036        4.11805      0.0142655
            313        4.20856        4.11834      0.0142228
            314        4.21671        4.11865       0.014181
            315        4.22475        4.11899      0.0141399
            316        4.23261        4.11934      0.0140998
            317        4.24022        4.11973      0.0140604
            318        4.24753        4.12013       0.014022
            319        4.25449        4.12055      0.0139843
            320        4.26105        4.12099      0.0139475
            321        4.26716        4.12144      0.0139115
            322         4.2728        4.12191      0.0138763
            323        4.27792         4.1224      0.0138417
            324        4.28252        4.12289      0.0138078
            325        4.28657        4.12339      0.0137745
            326        4.29005        4.12391      0.0137417
            327        4.29297        4.12442      0.0137094
            328        4.29531        4.12494      0.0136775
            329        4.29708        4.12547      0.0136459
            330        4.29828        4.12599      0.0136146
            331        4.29891        4.12651      0.0135835
            332        4.29897        4.12703      0.0135525
            333        4.29849        4.12755      0.0135216
            334        4.29747        4.12806      0.0134907
            335        4.29593        4.12856      0.0134597
            336        4.29387        4.12905      0.0134287
            337        4.29132        4.12953      0.0133975
            338        4.28829           4.13       0.013366
            339         4.2848        4.13046      0.0133344
            340        4.28087         4.1309      0.0133025
            341        4.27651        4.13133      0.0132704
            342        4.27176        4.13174      0.0132379
            343        4.26662        4.13213      0.0132052
            344        4.26112        4.13251      0.0131721
            345         4.2553        4.13286      0.0131387
            346        4.24916         4.1332      0.0131051
            347        4.24273        4.13351      0.0130711
            348        4.23605        4.13381      0.0130369
            349        4.22914        4.13408      0.0130024
            350        4.22202        4.13433      0.0129676
            351        4.21474        4.13456      0.0129327
            352        4.20731        4.13477      0.0128976
            353        4.19978        4.13495      0.0128624
            354        4.19218        4.13511      0.0128271
            355        4.18454        4.13525      0.0127917
            356         4.1769        4.13537      0.0127563
            357         4.1693        4.13547      0.0127209
            358        4.16178        4.13554      0.0126856
            359        4.15438        4.13559      0.0126504
            360        4.14714        4.13562      0.0126153
            361         4.1401        4.13564      0.0125803
            362        4.13329        4.13563      0.0125456
            363        4.12675         4.1356      0.0125111
            364        4.12051        4.13556      0.0124768
            365        4.11459        4.13551      0.0124427
            366        4.10901        4.13543      0.0124089
            367        4.10377        4.13535      0.0123754
            368        4.09887        4.13525      0.0123422
            369        4.09432        4.13514      0.0123092
            370        4.09008        4.13502      0.0122766
            371        4.08614        4.13488      0.0122442
            372        4.08247        4.13474      0.0122121
            373        4.07901        4.13459      0.0121802
            374        4.07573        4.13444      0.0121487
            375        4.07258        4.13427      0.0121174
            376        4.06951         4.1341      0.0120864
            377        4.06647        4.13392      0.0120557
            378        4.06342        4.13373      0.0120252
            379         4.0603        4.13354      0.0119951
            380        4.05709        4.13334      0.0119652
            381        4.05374        4.13313      0.0119356
            382        4.05022        4.13291      0.0119063
            383        4.04652        4.13269      0.0118774
            384        4.04261        4.13245      0.0118488
            385        4.03849        4.13221      0.0118205
            386        4.03414        4.13195      0.0117926
            387        4.02957        4.13169      0.0117651
            388        4.02479        4.13141       0.011738
            389        4.01979        4.13113      0.0117113
            390         4.0146        4.13083      0.0116851
            391        4.00923        4.13052      0.0116594
            392        4.00369        4.13019      0.0116341
            393        3.99803        4.12986      0.0116094
            394        3.99225        4.12951      0.0115852
            395         3.9864        4.12915      0.0115615
            396        3.98051        4.12877      0.0115384
            397        3.97461        4.12838      0.0115159
            398        3.96875        4.12798      0.0114939
            399        3.96297        4.12757      0.0114725
            400        3.95731        4.12714      0.0114518
            401        3.95183         4.1267      0.0114315
            402        3.94657        4.12626      0.0114119
            403        3.94158         4.1258      0.0113928
            404        3.93692        4.12533      0.0113742
            405        3.93262        4.12485       0.011356
            406        3.92875        4.12437      0.0113383
            407        3.92534        4.12388       0.011321
            408        3.92243        4.12339       0.011304
            409        3.92007        4.12289      0.0112873
            410        3.91829        4.12239      0.0112708
            411        3.91712        4.12189      0.0112544
            412        3.91657        4.12139      0.0112381
            413        3.91666         4.1209      0.0112219
            414        3.91739        4.12041      0.0112055
            415        3.91876        4.11992       0.011189
            416        3.92074        4.11944      0.0111724
            417         3.9233        4.11897      0.0111555
            418         3.9264        4.11851      0.0111383
            419        3.92999        4.11806      0.0111208
            420          3.934        4.11762       0.011103
            421        3.93836         4.1172      0.0110848
            422        3.94301        4.11679      0.0110662
            423        3.94788        4.11639      0.0110472
            424        3.95289          4.116      0.0110279
            425        3.95799        4.11563      0.0110082
            426         3.9631        4.11527      0.0109882
            427        3.96819        4.11493      0.0109678
            428        3.97321        4.11459      0.0109472
            429        3.97812        4.11428      0.0109263
            430         3.9829        4.11397      0.0109052
            431        3.98751        4.11368      0.0108838
            432        3.99194         4.1134      0.0108623
