#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -1.40892       -1.40892              0
              2       -1.40895       -1.40893    1.12339e-05
              3       -1.40905       -1.40897    3.26084e-05
              4       -1.40922       -1.40904    5.88883e-05
              5       -1.40946       -1.40912     8.9326e-05
              6       -1.40977       -1.40923    0.000123427
              7       -1.41014       -1.40936    0.000160841
              8       -1.41059       -1.40951    0.000201304
              9        -1.4111       -1.40969    0.000244607
             10       -1.41169       -1.40989    0.000290578
             11       -1.41234       -1.41011    0.000339074
             12       -1.41306       -1.41036    0.000389975
             13       -1.41386       -1.41063    0.000443173
             14       -1.41472       -1.41092    0.000498578
             15       -1.41572       -1.41124    0.000558804
             16       -1.41672       -1.41158    0.000620127
             17        -1.4178       -1.41195    0.000683163
             18       -1.41898       -1.41234    0.000748634
             19       -1.42019       -1.41275    0.000815305
             20       -1.42147       -1.41319    0.000883328
             21       -1.42281       -1.41365    0.000952796
             22       -1.42424       -1.41413       0.001024
             23       -1.42573       -1.41463     0.00109667
             24       -1.42728       -1.41516     0.00117082
             25       -1.42891       -1.41571     0.00124647
             26        -1.4306       -1.41628     0.00132361
             27       -1.43237       -1.41688     0.00140224
             28        -1.4342        -1.4175     0.00148233
             29        -1.4361       -1.41814     0.00156389
             30       -1.43807        -1.4188     0.00164687
             31       -1.44011       -1.41949     0.00173127
             32       -1.44222        -1.4202     0.00181706
             33        -1.4444       -1.42093     0.00190423
             34       -1.44665       -1.42169     0.00199274
             35       -1.44896       -1.42247     0.00208257
             36       -1.45132       -1.42327     0.00217345
             37       -1.45377       -1.42409     0.00226564
             38       -1.45629       -1.42494     0.00235913
             39       -1.45888       -1.42581     0.00245386
             40       -1.46153       -1.42671     0.00254983
             41       -1.46425       -1.42762       0.002647
             42       -1.46704       -1.42856     0.00274534
             43       -1.46989       -1.42952     0.00284481
             44       -1.47281        -1.4305      0.0029454
             45        -1.4758       -1.43151     0.00304708
             46       -1.47885       -1.43254      0.0031498
             47       -1.48196       -1.43359     0.00325355
             48       -1.48512       -1.43467     0.00335819
             49       -1.48834       -1.43576     0.00346367
             50       -1.49163       -1.43688     0.00357012
             51       -1.49499       -1.43802     0.00367748
             52       -1.49841       -1.43918     0.00378572
             53       -1.50189       -1.44036      0.0038948
             54       -1.50542       -1.44157     0.00400468
             55       -1.50901       -1.44279     0.00411533
             56       -1.51265       -1.44404     0.00422669
             57       -1.51635       -1.44531     0.00433872
             58       -1.52009        -1.4466     0.00445139
             59        -1.5239       -1.44791      0.0045647
             60       -1.52774       -1.44924     0.00467853
             61       -1.53163       -1.45059     0.00479284
             62       -1.53556       -1.45196     0.00490756
             63       -1.53953       -1.45335     0.00502264
             64       -1.54353       -1.45476     0.00513801
             65       -1.54757       -1.45619     0.00525363
             66       -1.55164       -1.45763      0.0053694
             67       -1.55574        -1.4591     0.00548528
             68       -1.55985       -1.46058     0.00560115
             69       -1.56398       -1.46208     0.00571694
             70       -1.56814       -1.46359      0.0058326
             71       -1.57229       -1.46512     0.00594796
             72       -1.57642       -1.46667     0.00606288
             73       -1.58056       -1.46823      0.0061773
             74       -1.58471        -1.4698     0.00629118
             75       -1.58886       -1.47139     0.00640446
             76       -1.59303       -1.47299      0.0065171
