#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1        2.72998        2.72998              0
              2        2.72995        2.72996    8.75641e-06
              3        2.72997        2.72997    6.30986e-06
              4        2.73004        2.72998    1.65014e-05
              5        2.73015        2.73002    3.28062e-05
              6        2.73031        2.73007    5.23501e-05
              7        2.73052        2.73013    7.45013e-05
              8        2.73077        2.73021    9.89449e-05
              9        2.73106        2.73031    0.000125472
             10        2.73141        2.73042    0.000153928
             11         2.7318        2.73054    0.000184188
             12        2.73223        2.73068    0.000216154
             13        2.73271        2.73084    0.000249738
             14        2.73324        2.73101    0.000284869
             15        2.73382         2.7312    0.000321482
             16        2.73444         2.7314    0.000359526
             17         2.7351        2.73162    0.000398952
             18        2.73582        2.73185    0.000439712
             19        2.73658         2.7321    0.000481766
             20        2.73738        2.73236    0.000525076
             21        2.73823        2.73264    0.000569606
             22        2.73913        2.73294    0.000615324
             23        2.74007        2.73325      0.0006622
             24        2.74107        2.73357    0.000710206
             25         2.7421        2.73392    0.000759316
             26        2.74319        2.73427    0.000809504
             27        2.74431        2.73464    0.000860749
             28        2.74549        2.73503    0.000913028
             29        2.74671        2.73543    0.000966319
             30        2.74798        2.73585      0.0010206
             31        2.74929        2.73629     0.00107586
             32        2.75065        2.73673     0.00113207
             33        2.75206         2.7372     0.00118922
             34        2.75351        2.73768     0.00124729
             35        2.75501        2.73817     0.00130625
             36        2.75655        2.73868     0.00136611
             37        2.75814        2.73921     0.00142682
             38        2.75978        2.73975     0.00148839
             39        2.76146        2.74031      0.0015508
             40        2.76318        2.74088     0.00161402
             41        2.76495        2.74147     0.00167804
             42        2.76677        2.74207     0.00174285
             43        2.76862        2.74269     0.00180842
             44        2.77053        2.74332     0.00187474
             45        2.77247        2.74397     0.00194179
             46        2.77446        2.74463     0.00200956
             47        2.77649        2.74531     0.00207801
             48        2.77857          2.746     0.00214715
             49        2.78069        2.74671     0.00221694
             50        2.78284        2.74743     0.00228736
             51        2.78504        2.74817     0.00235841
             52        2.78728        2.74892     0.00243004
             53        2.78956        2.74969     0.00250224
             54        2.79188        2.75047       0.002575
             55        2.79423        2.75127     0.00264827
             56        2.79663        2.75208     0.00272204
             57        2.79905         2.7529     0.00279628
             58        2.80152        2.75374     0.00287096
             59        2.80402        2.75459     0.00294606
             60        2.80655        2.75546     0.00302154
             61        2.80911        2.75634     0.00309736
             62         2.8117        2.75723      0.0031735
             63        2.81432        2.75813     0.00324992
             64        2.81696        2.75905     0.00332658
             65        2.81963        2.75999     0.00340345
             66        2.82232        2.76093     0.00348047
             67        2.82504        2.76189     0.00355761
             68        2.82777        2.76286     0.00363481
             69        2.83051        2.76384     0.00371204
