#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1        2.68604        2.68604              0
              2        2.68598        2.68601    2.43685e-05
              3        2.68591        2.68598    3.24962e-05
              4        2.68584        2.68594    3.85417e-05
              5        2.68577        2.68591    4.36122e-05
              6         2.6857        2.68587    4.80861e-05
              7        2.68563        2.68584    5.21448e-05
              8        2.68556         2.6858    5.58915e-05
              9        2.68549        2.68577     5.9392e-05
             10        2.68542        2.68573    6.26914e-05
             11        2.68535         2.6857    6.58223e-05
             12        2.68529        2.68567    6.88092e-05
             13        2.68522        2.68563     7.1671e-05
             14        2.68515         2.6856     7.4423e-05
             15          2.685        2.68556    7.93245e-05
             16        2.68493        2.68552    8.34217e-05
             17        2.68485        2.68548    8.72493e-05
             18        2.68474        2.68544    9.14597e-05
             19        2.68467         2.6854    9.50678e-05
             20         2.6846        2.68536    9.82328e-05
             21        2.68453        2.68532    0.000101064
             22        2.68445        2.68528    0.000103834
             23        2.68438        2.68524     0.00010636
             24        2.68431         2.6852    0.000108693
             25        2.68425        2.68516    0.000110872
             26        2.68418        2.68513    0.000112925
             27        2.68411        2.68509    0.000114874
             28        2.68404        2.68505    0.000116736
             29        2.68397        2.68501    0.000118524
             30         2.6839        2.68498    0.000120249
             31        2.68383        2.68494     0.00012192
             32        2.68376         2.6849    0.000123542
             33        2.68369        2.68487    0.000125121
             34        2.68362        2.68483    0.000126661
             35        2.68355        2.68479    0.000128166
             36        2.68351        2.68476    0.000129443
             37        2.68344        2.68472    0.000130715
             38        2.68338        2.68469     0.00013198
             39        2.68331        2.68465    0.000133236
             40        2.68324        2.68462    0.000134481
             41        2.68317        2.68458    0.000135715
             42        2.68311        2.68455    0.000136934
             43        2.68304        2.68451    0.000138139
             44        2.68298        2.68448    0.000139328
             45        2.68291        2.68444    0.000140499
             46        2.68285        2.68441     0.00014165
             47        2.68278        2.68437    0.000142781
             48        2.68274        2.68434    0.000143809
             49        2.68269         2.6843    0.000144734
             50        2.68263        2.68427    0.000145649
             51        2.68257        2.68424    0.000146552
             52        2.68251         2.6842    0.000147438
             53        2.68245        2.68417    0.000148306
             54         2.6824        2.68414    0.000149152
             55        2.68234        2.68411    0.000149973
             56        2.68229        2.68407    0.000150767
             57        2.68223        2.68404    0.000151531
             58        2.68218        2.68401    0.000152261
             59        2.68212        2.68398    0.000153006
             60        2.68207        2.68394    0.000153707
             61        2.68203        2.68391    0.000154363
             62        2.68199        2.68388     0.00015497
             63        2.68195        2.68385    0.000155527
             64        2.68191        2.68382    0.000156029
             65        2.68188        2.68379    0.000156475
             66        2.68184        2.68376     0.00015686
             67        2.68182        2.68373    0.000157183
             68         2.6818         2.6837    0.000157421
             69        2.68179        2.68368    0.000157572
             70        2.68177        2.68365    0.000157654
             71        2.68178        2.68362    0.000157618
             72        2.68181         2.6836    0.000157424
             73        2.68184        2.68357    0.000157095
             74        2.68186        2.68355    0.000156668
             75        2.68187        2.68353    0.000156166
             76        2.68187        2.68351    0.000155635
             77        2.68187        2.68349    0.000155054
             78         2.6819        2.68346    0.000154392
             79        2.68194        2.68345    0.000153642
             80        2.68199        2.68343    0.000152795
             81        2.68207        2.68341    0.000151824
             82        2.68214         2.6834    0.000150756
             83        2.68221        2.68338    0.000149617
             84        2.68229        2.68337    0.000148399
             85        2.68239        2.68336    0.000147098
             86        2.68251        2.68335     0.00014572
             87        2.68264        2.68334    0.000144274
             88        2.68278        2.68333    0.000142774
             89        2.68294        2.68333    0.000141237
