# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911              0              0              0
       0.202876              0              0              0
        0.26084     0.00047922     0.00047922              0
       0.318805      0.0136578      0.0136578              0
        0.37677      0.0428902      0.0428902              0
       0.434734      0.0523149      0.0523149              0
       0.492699       0.140012       0.140012              0
       0.550663        0.10431        0.10431              0
       0.608628      0.0693272      0.0693272              0
       0.666592       0.058385       0.058385              0
       0.724557      0.0997577      0.0997577              0
       0.782521      0.0783525      0.0783525              0
       0.840486       0.303826       0.303826              0
        0.89845       0.284098       0.284098              0
       0.956415       0.273395       0.273395              0
        1.01438       0.251511       0.251511              0
        1.07234       0.373712       0.373712              0
        1.13031       0.244083       0.244083              0
        1.18827       0.175554       0.175554              0
        1.24624       0.242086       0.242086              0
         1.3042       0.665477       0.665477              0
        1.36217       0.230185       0.230185              0
        1.42013       0.176193       0.176193              0
         1.4781       0.249674       0.249674              0
        1.53606       0.367482       0.367482              0
        1.59402       0.358537       0.358537              0
        1.65199       0.462767       0.462767              0
        1.70995       0.293363       0.293363              0
        1.76792       0.383536       0.383536              0
        1.82588       0.514603       0.514603              0
        1.88385       0.549745       0.549745              0
        1.94181       0.482655       0.482655              0
        1.99978       0.456857       0.456857              0
        2.05774       0.299992       0.299992              0
        2.11571       0.353265       0.353265              0
        2.17367       0.379383       0.379383              0
        2.23163       0.280184       0.280184              0
         2.2896       0.354064       0.354064              0
        2.34756       0.482255       0.482255              0
        2.40553       0.382338       0.382338              0
        2.46349       0.280903       0.280903              0
        2.52146       0.390485       0.390485              0
        2.57942       0.278746       0.278746              0
        2.63739       0.253987       0.253987              0
        2.69535       0.259098       0.259098              0
        2.75332        0.50981        0.50981              0
        2.81128       0.414046       0.414046              0
        2.86924       0.279385       0.279385              0
        2.92721       0.228748       0.228748              0
        2.98517       0.286334       0.286334              0
        3.04314       0.199675       0.199675              0
         3.1011       0.300231       0.300231              0
        3.15907       0.224435       0.224435              0
        3.21703       0.278826       0.278826              0
          3.275       0.108064       0.108064              0
        3.33296       0.243843       0.243843              0
        3.39093       0.326189       0.326189              0
        3.44889       0.168606       0.168606              0
        3.50685       0.176113       0.176113              0
        3.56482       0.161897       0.161897              0
        3.62278       0.185858       0.185858              0
        3.68075       0.101515       0.101515              0
        3.73871        0.06757        0.06757              0
        3.79668      0.0393759      0.0393759              0
        3.85464      0.0581454      0.0581454              0
        3.91261      0.0821064      0.0821064              0
        3.97057       0.060861       0.060861              0
        4.02854       0.188733       0.188733              0
         4.0865       0.070685       0.070685              0
        4.14446      0.0477623      0.0477623              0
        4.20243      0.0548707      0.0548707              0
        4.26039      0.0334655      0.0334655              0
        4.31836      0.0376188      0.0376188              0
        4.37632      0.0209259      0.0209259              0
        4.43429      0.0343441      0.0343441              0
        4.49225      0.0100636      0.0100636              0
        4.55022      0.0408935      0.0408935              0
        4.60818      0.0173318      0.0173318              0
        4.66615       0.011661       0.011661              0
        4.72411     0.00998375     0.00998375              0
        4.78207     0.00327467     0.00327467              0
        4.84004     0.00343441     0.00343441              0
          4.898      0.0047922      0.0047922              0
        4.95597     0.00127792     0.00127792              0
        5.01393     0.00183701     0.00183701              0
         5.0719     0.00359415     0.00359415              0
        5.12986     0.00023961     0.00023961              0
        5.18783     0.00015974     0.00015974              0
        5.24579     0.00015974     0.00015974              0
        5.30376     0.00023961     0.00023961              0
        5.36172     0.00023961     0.00023961              0
        5.41968     0.00015974     0.00015974              0
        5.47765     0.00015974     0.00015974              0
        5.53561     0.00015974     0.00015974              0
        5.59358     0.00023961     0.00023961              0
        5.65154     0.00023961     0.00023961              0
        5.70951     0.00015974     0.00015974              0
        5.76747     0.00015974     0.00015974              0
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911              0              0              0
       0.202876      0.0136578     0.00682889     0.00482875
        0.26084      0.0261175      0.0132984      0.0090645
       0.318805      0.0150156      0.0143367    0.000480051
        0.37677      0.0103032      0.0265967      0.0115212
       0.434734      0.0103831       0.031349      0.0148251
       0.492699     0.00622986       0.073121      0.0472992
       0.550663      0.0146961      0.0595032      0.0316834
       0.608628      0.0779531      0.0736402     0.00304974
       0.666592      0.0600623      0.0592236    0.000593005
       0.724557      0.0548707      0.0773142      0.0158699
       0.782521        0.08602      0.0821863     0.00271088
       0.840486      0.0750778       0.189452      0.0808745
        0.89845       0.101994       0.193046      0.0643834
       0.956415       0.108703       0.191049      0.0582274
        1.01438       0.145523       0.198517      0.0374723
        1.07234        0.24568       0.309696       0.045266
        1.13031       0.384654       0.314368      0.0496994
        1.18827        0.30718       0.241367      0.0465368
        1.24624       0.316685       0.279385      0.0263746
         1.3042       0.361013       0.513245       0.107644
        1.36217       0.400069       0.315127      0.0600629
        1.42013       0.216528        0.19636      0.0142604
         1.4781       0.414366        0.33202      0.0582274
        1.53606        0.38713       0.377306     0.00694663
        1.59402       0.305263         0.3319       0.018835
        1.65199       0.393679       0.428223      0.0244261
        1.70995       0.420995       0.357179      0.0451248
        1.76792       0.285775       0.334655      0.0345637
        1.82588       0.334016        0.42431      0.0638468
        1.88385       0.332499       0.441122      0.0768082
        1.94181       0.353664        0.41816      0.0456049
        1.99978       0.755171       0.606014        0.10547
        2.05774       0.475866       0.387929      0.0621808
        2.11571       0.438886       0.396075      0.0302715
        2.17367       0.412289       0.395836      0.0116342
        2.23163       0.365166       0.322675      0.0300456
         2.2896       0.478501       0.416283      0.0439953
        2.34756       0.444317       0.463286      0.0134132
        2.40553       0.461809       0.422073      0.0280971
        2.46349       0.380181       0.330542      0.0351002
        2.52146       0.366524       0.378504      0.0084715
        2.57942       0.554697       0.416722      0.0975634
        2.63739        0.36868       0.311333      0.0405502
        2.69535       0.247757       0.253428     0.00400984
        2.75332       0.264769        0.38729      0.0866352
        2.81128       0.205825       0.309936      0.0736173
        2.86924       0.351428       0.315407       0.025471
        2.92721        0.25191       0.240329     0.00818911
        2.98517       0.327228       0.306781       0.014458
        3.04314       0.453103       0.326389      0.0896002
         3.1011       0.226991       0.263611      0.0258945
        3.15907       0.199515       0.211975     0.00881036
        3.21703       0.135859       0.207343      0.0505466
          3.275       0.223556        0.16581      0.0408326
        3.33296       0.251032       0.247437     0.00254145
        3.39093       0.229147       0.277668      0.0343096
        3.44889       0.319959       0.244282      0.0535116
        3.50685       0.366204       0.271159      0.0672072
        3.56482        0.31365       0.237773      0.0536528
        3.62278        0.16613       0.175994     0.00697487
        3.68075      0.0757168      0.0886158     0.00912098
        3.73871      0.0825057      0.0750379     0.00528057
        3.79668      0.0717233      0.0555496      0.0114365
        3.85464       0.167328       0.112737      0.0386018
        3.91261      0.0587843      0.0704454     0.00824559
        3.97057      0.0411331       0.050997     0.00697487
        4.02854      0.0332259       0.110979        0.05498
         4.0865     0.00567077      0.0381779       0.022986
        4.14446     0.00351428      0.0256383       0.015644
        4.20243     0.00343441      0.0291526      0.0181855
        4.26039      0.0123799      0.0229227     0.00745492
        4.31836      0.0111019      0.0243604     0.00937512
        4.37632      0.0115013      0.0162136     0.00333212
        4.43429      0.0178909      0.0261175     0.00581709
        4.49225      0.0263571      0.0182104     0.00576062
        4.55022      0.0351428      0.0380181     0.00203316
        4.60818      0.0185298      0.0179308    0.000423575
        4.66615      0.0386571      0.0251591     0.00954455
        4.72411      0.0600623       0.035023      0.0177054
        4.78207       0.022763      0.0130188     0.00689015
        4.84004      0.0137376     0.00858603     0.00364274
          4.898      0.0160539       0.010423      0.0039816
        4.95597      0.0128591      0.0070685     0.00409456
        5.01393      0.0109422      0.0063896     0.00321917
         5.0719      0.0722824      0.0379383       0.024285
        5.12986     0.00862596     0.00443279     0.00296502
        5.18783      7.987e-05    0.000119805    2.82383e-05
        5.24579     0.00015974     0.00015974              0
        5.30376      7.987e-05     0.00015974    5.64766e-05
        5.36172      7.987e-05     0.00015974    5.64766e-05
        5.41968      7.987e-05    0.000119805    2.82383e-05
        5.47765      7.987e-05    0.000119805    2.82383e-05
        5.53561      7.987e-05    0.000119805    2.82383e-05
        5.59358     0.00015974    0.000199675    2.82383e-05
        5.65154      7.987e-05     0.00015974    5.64766e-05
        5.70951      7.987e-05    0.000119805    2.82383e-05
        5.76747      7.987e-05    0.000119805    2.82383e-05
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911      7.987e-05    2.66233e-05    2.17379e-05
       0.202876     0.00726817     0.00697532     0.00322139
        0.26084     0.00575064      0.0107825     0.00638261
       0.318805      0.0261974      0.0182902      0.0032439
        0.37677      0.0155747      0.0229227     0.00824585
       0.434734      0.0163734      0.0263571      0.0106909
       0.492699      0.0241207      0.0567876       0.034237
       0.550663      0.0469636      0.0553233      0.0213962
       0.608628      0.0391363      0.0621389     0.00960833
       0.666592      0.0174117      0.0452863      0.0113866
       0.724557      0.0208461      0.0584915      0.0186583
       0.782521      0.0999973      0.0881233     0.00517348
       0.840486       0.137856       0.172253      0.0557151
        0.89845         0.2091       0.198397      0.0431441
       0.956415       0.143047       0.175048      0.0409578
        1.01438       0.163574       0.186869      0.0267305
        1.07234       0.242326       0.287239      0.0353112
        1.13031       0.289529       0.306089      0.0338156
        1.18827       0.289209       0.257315      0.0336462
        1.24624       0.202311       0.253694      0.0273715
         1.3042       0.304065       0.443518      0.0916031
        1.36217       0.248476        0.29291      0.0439594
        1.42013       0.239211       0.210644      0.0150463
         1.4781       0.329783       0.331274       0.038823
        1.53606       0.389686       0.381433     0.00572709
        1.59402       0.392721       0.352174       0.020777
        1.65199       0.280424       0.378957       0.043397
        1.70995       0.305104        0.33982      0.0332547
        1.76792       0.274833       0.314715      0.0282143
        1.82588       0.456777       0.435132      0.0434721
        1.88385       0.354783       0.412342      0.0563399
        1.94181       0.728814       0.521711      0.0898497
        1.99978        0.53465       0.582226      0.0729467
        2.05774       0.563723       0.446527      0.0633054
        2.11571       0.780091       0.524081       0.106446
        2.17367       0.568994       0.453555      0.0477617
        2.23163       0.461649          0.369      0.0428003
         2.2896       0.480818       0.437794      0.0341872
        2.34756       0.484092       0.470221      0.0105843
        2.40553       0.360853       0.401666      0.0250697
        2.46349       0.399909       0.353664      0.0300665
        2.52146       0.401427       0.386145     0.00841536
        2.57942       0.435931       0.423125       0.065252
        2.63739       0.366683       0.329783      0.0309474
        2.69535       0.437129       0.314661      0.0500685
        2.75332       0.297755       0.357445      0.0626869
        2.81128       0.326189       0.315354      0.0492772
        2.86924       0.290088       0.306967      0.0183256
        2.92721       0.172679       0.217779      0.0192043
        2.98517       0.148319        0.25396      0.0441919
        3.04314       0.117169       0.256649      0.0825259
         3.1011       0.182743       0.236655       0.027972
        3.15907       0.166928       0.196959      0.0135945
        3.21703       0.165091       0.193259      0.0356058
          3.275         0.2333       0.188307      0.0328394
        3.33296       0.264609       0.253161     0.00497128
        3.39093       0.155507       0.236948       0.040356
        3.44889      0.0875376       0.192034       0.055611
        3.50685        0.11078       0.217699      0.0625521
        3.56482       0.219243       0.231596      0.0361223
