#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        2.98622        2.98622              0
              2        3.06199        3.02411      0.0267871
              3        3.02232        3.02351      0.0178647
              4        3.02568        3.02405      0.0134067
              5        3.00669        3.02058      0.0111661
              6        3.02135        3.02071      0.0093058
              7        3.09273          3.031      0.0124241
              8        3.04599        3.03287      0.0110115
              9        3.04347        3.03405      0.0098508
             10        3.03243        3.03389     0.00886705
             11         3.0006        3.03086     0.00856169
             12        3.03811        3.03146      0.0078695
             13        3.02878        3.03126     0.00726687
             14        3.00542        3.02941     0.00697814
             15        3.01404        3.02839     0.00658773
             16        2.99956        3.02659     0.00641767
             17        3.05033        3.02798     0.00619026
             18        3.03076        3.02814     0.00584828
             19        3.01413         3.0274     0.00558672
             20         3.0477        3.02841      0.0053988
             21        2.99316        3.02674     0.00539646
             22        3.00663        3.02582     0.00522795
             23        2.96927        3.02336     0.00554887
             24        3.00787        3.02272     0.00535507
             25        3.00624        3.02206     0.00518125
             26         3.0208        3.02201      0.0049822
             27        3.02965        3.02229     0.00480571
             28        3.02016        3.02222     0.00463468
             29        2.99284         3.0212     0.00458424
             30         2.9761         3.0197     0.00467149
             31        2.94952        3.01744     0.00503953
             32        3.00574        3.01707     0.00489529
             33        2.99051        3.01627     0.00481267
             34        2.98418        3.01532     0.00476275
             35        2.97501        3.01417     0.00476389
             36        3.02952         3.0146     0.00465061
             37        3.02095        3.01477     0.00452809
             38        3.00587        3.01454     0.00441498
             39        2.99133        3.01394     0.00434169
             40        2.98936        3.01333     0.00427642
             41        2.96911        3.01225     0.00430596
             42        2.98747        3.01166     0.00424365
             43        2.98716        3.01109     0.00418303
             44        3.02216        3.01134     0.00409552
             45        3.01985        3.01153     0.00400888
             46         3.0047        3.01138     0.00392447
             47        3.04557        3.01211     0.00390783
             48        3.00894        3.01204     0.00382697
             49        3.03077        3.01242      0.0037679
             50          3.043        3.01303     0.00374183
             51        3.01829        3.01314     0.00366988
             52        3.03821        3.01362     0.00363084
             53        2.99466        3.01326     0.00357992
             54         3.0383        3.01373     0.00354354
             55        3.03683        3.01415     0.00350393
             56        3.00691        3.01402     0.00344374
             57        3.03036         3.0143     0.00339523
             58         3.0139         3.0143      0.0033367
             59        3.06253        3.01511     0.00337881
             60         3.0739        3.01609     0.00346162
             61        3.00509        3.01591     0.00340956
             62        3.01469        3.01589     0.00335463
             63        3.03516         3.0162     0.00331528
             64        3.00363          3.016     0.00326929
             65        3.03801        3.01634     0.00323649
             66        3.01147        3.01627     0.00318829
             67        2.97243        3.01561     0.00320714
             68         3.0003        3.01539     0.00316787
             69        3.02305         3.0155     0.00312391
             70        2.98078          3.015      0.0031184
             71        3.01832        3.01505     0.00307483
             72        3.03132        3.01528     0.00304041
             73        3.03291        3.01552     0.00300834
             74        3.07523        3.01632       0.003074
             75        3.04856        3.01675      0.0030629
             76        3.02928        3.01692     0.00302703
             77        3.01376        3.01688       0.002988
             78        3.00958        3.01678     0.00295115
             79        3.02911        3.01694     0.00291792
             80        3.03716        3.01719     0.00289237
             81        3.04667        3.01756     0.00287946
             82        3.05722        3.01804     0.00288468
             83        3.03374        3.01823     0.00285612
             84        3.06722        3.01881     0.00288105
             85        3.05646        3.01926     0.00288101
             86        3.00701        3.01911     0.00285102
             87        2.96632        3.01851     0.00288211
             88        3.00312        3.01833     0.00285466
             89         3.0161        3.01831     0.00282269
             90         3.0042        3.01815     0.00279568
             91        3.02704        3.01825     0.00276666
             92        2.98919        3.01793     0.00275456
             93        3.02274        3.01798     0.00272542
             94        3.02296        3.01804     0.00269694
             95        3.00254        3.01787     0.00267349
             96        3.00568        3.01775     0.00264865
             97        3.06331        3.01822     0.00266267
             98        3.04899        3.01853     0.00265395
             99        3.06759        3.01903       0.002673
            100        3.03494        3.01919     0.00265101
