#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1      -0.294528      -0.294528              0
              2      -0.370445      -0.332487      0.0268408
              3       -0.33062      -0.331864      0.0179011
              4      -0.333957      -0.332387      0.0134335
              5       -0.31498      -0.328906      0.0111888
              6       -0.32967      -0.329033     0.00932475
              7      -0.401086      -0.339327      0.0124377
              8      -0.354373      -0.341207      0.0110243
              9      -0.351751      -0.342379     0.00986141
             10      -0.340628      -0.342204     0.00887683
             11      -0.308955      -0.339181     0.00856903
             12      -0.346617      -0.339801     0.00787731
             13      -0.337171      -0.339598     0.00727396
             14      -0.313781      -0.337754     0.00698424
             15      -0.322322      -0.336725     0.00659397
             16       -0.30792      -0.334925     0.00642292
             17      -0.358712      -0.336324     0.00619564
             18      -0.339137      -0.336481     0.00585341
             19      -0.322503      -0.335745     0.00559138
             20      -0.356064      -0.336761     0.00540332
             21      -0.301516      -0.335083     0.00540039
             22      -0.315066      -0.334173       0.005231
             23       -0.27752       -0.33171      0.0055533
             24      -0.316248      -0.331065     0.00535915
             25      -0.314523      -0.330404     0.00518547
             26      -0.329085      -0.330353     0.00498628
             27      -0.338001      -0.330636     0.00480964
             28      -0.328437      -0.330558     0.00463851
             29      -0.301097      -0.329542     0.00458846
             30       -0.28439      -0.328037     0.00467584
             31      -0.257784      -0.325771     0.00504438
             32       -0.31413      -0.325407     0.00489984
             33      -0.298866      -0.324602     0.00481692
             34       -0.29242      -0.323656     0.00476733
             35      -0.283313      -0.322503     0.00476843
             36      -0.337848       -0.32293     0.00465499
             37      -0.329254        -0.3231     0.00453232
             38      -0.314075      -0.322863     0.00441926
             39      -0.299622      -0.322267     0.00434594
             40      -0.297715      -0.321653     0.00428042
             41      -0.277431      -0.320575     0.00430977
             42      -0.295706      -0.319983     0.00424764
             43      -0.295578      -0.319415      0.0041866
             44      -0.330441      -0.319666     0.00409894
             45      -0.328132      -0.319854     0.00401217
             46      -0.312994      -0.319705     0.00392772
             47      -0.354019      -0.320435     0.00391142
             48       -0.31715      -0.320366     0.00383053
             49       -0.33916       -0.32075     0.00377151
             50       -0.35139      -0.321363     0.00374553
             51      -0.326526      -0.321464     0.00367346
             52      -0.346618      -0.321948     0.00363453
             53       -0.30299       -0.32159     0.00358351
             54      -0.346701      -0.322055     0.00354719
             55      -0.345159      -0.322475     0.00350748
             56      -0.315248      -0.322346     0.00344722
             57      -0.338664      -0.322632     0.00339861
             58      -0.322199      -0.322625     0.00334002
             59      -0.370927      -0.323443     0.00338226
             60      -0.382343      -0.324425     0.00346542
             61      -0.313338      -0.324243     0.00341337
             62       -0.32305      -0.324224     0.00335837
             63      -0.343461      -0.324529     0.00331892
             64      -0.312037      -0.324334      0.0032728
             65      -0.346354      -0.324673     0.00323993
             66      -0.319683      -0.324597     0.00319172
             67      -0.280668      -0.323942     0.00321072
             68      -0.308587      -0.323716     0.00317144
             69       -0.33136      -0.323827     0.00312741
             70      -0.289064       -0.32333     0.00312191
             71      -0.326609      -0.323376     0.00307828
             72      -0.339548      -0.323601     0.00304371
             73      -0.341184      -0.323842     0.00301153
             74      -0.383614      -0.324649     0.00307725
             75      -0.356934       -0.32508     0.00306618
             76       -0.33757      -0.325244     0.00303024
             77      -0.322065      -0.325203     0.00299116
             78      -0.317848      -0.325109      0.0029543
             79      -0.337358      -0.325264     0.00292097
             80      -0.345449      -0.325516     0.00289534
             81      -0.355144      -0.325882      0.0028826
             82      -0.365665      -0.326367     0.00288799
             83      -0.342042      -0.326556     0.00285936
             84      -0.375464      -0.327138     0.00288399
             85       -0.36473       -0.32758     0.00288377
             86      -0.315277      -0.327437     0.00285379
             87      -0.274577       -0.32683     0.00288494
             88      -0.311405      -0.326654     0.00285747
             89      -0.324505       -0.32663     0.00282547
             90      -0.312546      -0.326474     0.00279841
             91      -0.335359      -0.326571     0.00276936
             92      -0.297536      -0.326256     0.00275718
             93      -0.331014      -0.326307     0.00272801
             94       -0.33131       -0.32636     0.00269951
             95       -0.31069      -0.326195     0.00267612
             96      -0.313993      -0.326068     0.00265127
             97      -0.371648      -0.326538     0.00266525
             98       -0.35731      -0.326852     0.00265648
             99      -0.375825      -0.327347     0.00267531
            100      -0.343326      -0.327507     0.00265333
