#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1        1.99081        1.99081              0
              2        2.04133        2.01607      0.0178581
              3        2.01488        2.01567      0.0119098
              4        2.01712        2.01603     0.00893782
              5        2.00446        2.01372     0.00744404
              6        2.01424         2.0138     0.00620387
              7        2.06182        2.02066     0.00828274
              8        2.03066        2.02191     0.00734098
              9        2.02898         2.0227      0.0065672
             10        2.02162        2.02259     0.00591136
             11         2.0004        2.02057      0.0057078
             12        2.02541        2.02098     0.00524633
             13        2.01918        2.02084     0.00484458
             14        2.00362        2.01961     0.00465209
             15        2.00936        2.01892     0.00439182
             16        1.99971        2.01772     0.00427845
             17        2.03355        2.01865     0.00412684
             18        2.02051        2.01876     0.00389885
             19        2.00942        2.01827     0.00372448
             20         2.0318        2.01894      0.0035992
             21        1.99544        2.01782     0.00359764
             22        2.00442        2.01721      0.0034853
             23        1.97951        2.01558     0.00369925
             24        2.00525        2.01515     0.00357004
             25        2.00416        2.01471     0.00345417
             26        2.01387        2.01467     0.00332146
             27        2.01977        2.01486      0.0032038
             28        2.01344        2.01481     0.00308978
             29        1.99523        2.01414     0.00305616
             30        1.98407        2.01313     0.00311433
             31        1.96635        2.01162     0.00335969
             32        2.00383        2.01138     0.00326352
             33        1.99367        2.01084     0.00320845
             34        1.98945        2.01022     0.00317517
             35        1.98334        2.00945     0.00317593
             36        2.01968        2.00973     0.00310041
             37        2.01397        2.00985     0.00301873
             38        2.00392        2.00969     0.00294332
             39        1.99422        2.00929     0.00289446
             40         1.9929        2.00888     0.00285095
             41        1.97941        2.00816     0.00287064
             42        1.99165        2.00777      0.0028291
             43        1.99144        2.00739     0.00278869
             44        2.01477        2.00756     0.00273035
             45        2.01323        2.00769     0.00267258
             46        2.00314        2.00759     0.00261631
             47        2.03038        2.00807     0.00260522
             48        2.00596        2.00803     0.00255131
             49        2.02051        2.00828     0.00251193
             50        2.02866        2.00869     0.00249455
             51         2.0122        2.00876     0.00244659
             52        2.02547        2.00908     0.00242056
             53        1.99644        2.00884     0.00238662
             54        2.02554        2.00915     0.00236236
             55        2.02456        2.00943     0.00233595
             56        2.00461        2.00934     0.00229582
             57        2.02024        2.00954     0.00226349
             58        2.00926        2.00953     0.00222447
             59        2.04169        2.01008     0.00225254
             60        2.04926        2.01073     0.00230774
             61         2.0034        2.01061     0.00227304
             62        2.00979         2.0106     0.00223642
             63        2.02344         2.0108     0.00221019
             64        2.00242        2.01067     0.00217953
             65        2.02534        2.01089     0.00215766
             66        2.00765        2.01085     0.00212553
             67        1.98162        2.01041     0.00213809
             68         2.0002        2.01026     0.00211192
             69        2.01537        2.01033     0.00208261
             70        1.98719           2.01     0.00207893
             71        2.01221        2.01003     0.00204988
             72        2.02088        2.01018     0.00202694
             73        2.02194        2.01035     0.00200556
             74        2.05015        2.01088     0.00204933
             75        2.03237        2.01117     0.00204194
             76        2.01952        2.01128     0.00201802
             77        2.00917        2.01125       0.001992
             78        2.00639        2.01119     0.00196744
             79        2.01941        2.01129     0.00194528
             80        2.02477        2.01146     0.00192825
             81        2.03111         2.0117     0.00191964
             82        2.03815        2.01203     0.00192312
             83         2.0225        2.01215     0.00190408
             84        2.04481        2.01254      0.0019207
             85        2.03764        2.01284     0.00192067
             86        2.00467        2.01274     0.00190068
             87        1.97755        2.01234     0.00192141
             88        2.00208        2.01222     0.00190311
             89        2.01073         2.0122      0.0018818
             90         2.0028         2.0121     0.00186378
             91        2.01803        2.01217     0.00184444
             92        1.99279        2.01195     0.00183637
             93        2.01516        2.01199     0.00181695
             94         2.0153        2.01202     0.00179796
             95        2.00169        2.01192     0.00178232
             96        2.00379        2.01183     0.00176577
             97        2.04221        2.01214     0.00177511
             98        2.03266        2.01235      0.0017693
             99        2.04506        2.01268       0.001782
            100         2.0233        2.01279     0.00176734
