#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1        2.69169        2.69169              0
              2        2.69154        2.69162    5.37091e-05
              3         2.6917        2.69164    4.17774e-05
              4        2.69172        2.69166    3.51113e-05
              5        2.69171        2.69167    2.92008e-05
              6        2.69168        2.69167    2.43911e-05
              7        2.69164        2.69167    2.13106e-05
              8        2.69161        2.69166    1.98115e-05
              9        2.69172        2.69167    1.86675e-05
             10         2.6918        2.69168    2.08968e-05
             11        2.69165        2.69168    1.92452e-05
             12        2.69149        2.69166    2.31194e-05
             13         2.6916        2.69166    2.17726e-05
             14        2.69164        2.69166    2.02446e-05
             15        2.69172        2.69166    1.93259e-05
             16        2.69164        2.69166    1.81739e-05
             17        2.69162        2.69166    1.72989e-05
             18        2.69162        2.69166    1.64407e-05
             19        2.69163        2.69165    1.56295e-05
             20        2.69164        2.69165    1.48777e-05
             21        2.69164        2.69165    1.41793e-05
             22        2.69157        2.69165     1.4057e-05
             23        2.69175        2.69165    1.40667e-05
             24        2.69163        2.69165    1.35243e-05
             25        2.69172        2.69165    1.32533e-05
             26        2.69171        2.69166    1.29404e-05
             27        2.69165        2.69166    1.24622e-05
             28        2.69173        2.69166    1.22648e-05
             29        2.69174        2.69166    1.21629e-05
             30        2.69171        2.69166    1.18557e-05
             31        2.69174        2.69167    1.17269e-05
             32        2.69161        2.69166    1.14976e-05
             33        2.69164        2.69166    1.11703e-05
             34        2.69176        2.69167    1.11917e-05
             35         2.6917        2.69167    1.09118e-05
             36        2.69168        2.69167    1.06109e-05
             37         2.6917        2.69167    1.03562e-05
             38         2.6918        2.69167    1.06267e-05
             39        2.69171        2.69167    1.03893e-05
             40        2.69164        2.69167    1.01595e-05
             41        2.69168        2.69167    9.91245e-06
             42        2.69177        2.69167    9.92437e-06
             43        2.69158        2.69167    9.92994e-06
             44        2.69172        2.69167    9.75715e-06
             45        2.69172        2.69167    9.59142e-06
             46        2.69171        2.69168    9.41351e-06
             47        2.69156        2.69167    9.55385e-06
             48        2.69179        2.69168    9.67622e-06
             49        2.69161        2.69167    9.58034e-06
             50        2.69161        2.69167    9.48207e-06
             51        2.69177        2.69167    9.47914e-06
             52        2.69159        2.69167    9.42575e-06
             53        2.69167        2.69167    9.24856e-06
             54         2.6916        2.69167    9.16658e-06
             55        2.69167        2.69167    9.00011e-06
             56        2.69167        2.69167    8.83978e-06
             57         2.6917        2.69167    8.69572e-06
             58         2.6917        2.69167    8.55689e-06
             59         2.6916        2.69167    8.49498e-06
             60        2.69155        2.69167    8.57664e-06
             61        2.69176        2.69167    8.55152e-06
             62        2.69164        2.69167    8.42637e-06
             63         2.6917        2.69167    8.30275e-06
             64         2.6916        2.69167    8.25576e-06
             65        2.69166        2.69167    8.12979e-06
             66        2.69179        2.69167    8.20899e-06
             67        2.69176        2.69167    8.19756e-06
             68        2.69171        2.69167    8.09739e-06
             69        2.69169        2.69167    7.98411e-06
             70        2.69172        2.69167    7.89822e-06
             71        2.69171        2.69167    7.80571e-06
             72        2.69177        2.69168    7.81055e-06
             73        2.69173        2.69168    7.73505e-06
             74        2.69161        2.69168    7.67488e-06
             75        2.69162        2.69167    7.60668e-06
             76        2.69171        2.69168     7.5177e-06
             77        2.69169        2.69168    7.42379e-06
             78        2.69173        2.69168    7.36302e-06
             79        2.69175        2.69168    7.33075e-06
             80        2.69171        2.69168     7.2525e-06
             81        2.69152        2.69168    7.40866e-06
             82        2.69156        2.69167    7.46264e-06
             83         2.6917        2.69167    7.38082e-06
             84        2.69175        2.69168      7.355e-06
             85        2.69173        2.69168    7.30147e-06
             86        2.69173        2.69168    7.24677e-06
             87        2.69174        2.69168    7.20053e-06
             88        2.69172        2.69168    7.13488e-06
             89        2.69159        2.69168    7.11848e-06
             90        2.69166        2.69168    7.04223e-06
             91        2.69168        2.69168    6.96493e-06
             92        2.69165        2.69168    6.89394e-06
             93        2.69172        2.69168    6.83815e-06
             94        2.69164        2.69168     6.7741e-06
             95        2.69185        2.69168    6.93157e-06
             96        2.69169        2.69168    6.85979e-06
             97        2.69166        2.69168    6.79134e-06
             98        2.69168        2.69168    6.72204e-06
             99        2.69176        2.69168    6.70586e-06
            100        2.69162        2.69168    6.66767e-06
