#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        3.01575        3.01575              0
              2         3.0164        3.01607    0.000229731
              3          3.017        3.01638    0.000295599
              4        3.01756        3.01668    0.000337559
              5        3.01807        3.01696    0.000366931
              6        3.01852        3.01722    0.000387712
              7        3.01893        3.01746    0.000401884
              8        3.01927        3.01769    0.000410631
              9        3.01957         3.0179    0.000414751
             10         3.0198        3.01809    0.000414833
             11        3.01998        3.01826    0.000411347
             12         3.0201        3.01841    0.000404699
             13        3.02016        3.01855    0.000395259
             14        3.02016        3.01866    0.000383398
             15        3.02009        3.01876    0.000369507
             16        3.01996        3.01883    0.000354028
             17        3.01977        3.01889    0.000337484
             18        3.01951        3.01892    0.000320526
             19        3.01919        3.01894    0.000303969
             20         3.0188        3.01893    0.000288844
             21        3.01835         3.0189    0.000276418
             22        3.01783        3.01885    0.000268152
             23        3.01724        3.01878    0.000265546
             24        3.01658        3.01869    0.000269863
             25        3.01586        3.01858    0.000281833
             26        3.01507        3.01844    0.000301509
             27        3.01422        3.01829    0.000328371
             28        3.01331        3.01811    0.000361567
             29        3.01234        3.01791    0.000400158
             30        3.01131        3.01769    0.000443257
             31        3.01022        3.01745    0.000490088
             32        3.00909        3.01719    0.000539989
             33         3.0079        3.01691    0.000592393
             34        3.00668        3.01661    0.000646806
             35        3.00543        3.01629    0.000702782
             36        3.00414        3.01595    0.000759912
             37        3.00284         3.0156    0.000817807
             38        3.00153        3.01522    0.000876089
             39        3.00021        3.01484    0.000934389
             40         2.9989        3.01444    0.000992339
             41        2.99762        3.01403     0.00104957
             42        2.99636        3.01361     0.00110572
             43        2.99514        3.01318     0.00116043
             44        2.99398        3.01274     0.00121333
             45        2.99288         3.0123     0.00126409
             46        2.99187        3.01186     0.00131235
             47        2.99094        3.01141     0.00135781
             48        2.99011        3.01097     0.00140016
             49         2.9894        3.01053     0.00143914
             50         2.9888         3.0101     0.00147449
             51        2.98834        3.00967     0.00150604
             52        2.98801        3.00925      0.0015336
             53        2.98782        3.00885     0.00155707
             54        2.98777        3.00846     0.00157638
             55        2.98788        3.00808     0.00159151
             56        2.98812        3.00773      0.0016025
             57        2.98852        3.00739     0.00160944
             58        2.98905        3.00707     0.00161246
             59        2.98971        3.00678     0.00161176
             60         2.9905        3.00651     0.00160756
             61        2.99141        3.00626     0.00160014
             62        2.99243        3.00604      0.0015898
             63        2.99354        3.00584     0.00157689
             64        2.99474        3.00567     0.00156175
             65        2.99601        3.00552     0.00154478
             66        2.99733        3.00539     0.00152634
             67         2.9987        3.00529     0.00150683
             68         3.0001        3.00522      0.0014866
             69        3.00151        3.00516     0.00146603
             70        3.00293        3.00513     0.00144543
             71        3.00434        3.00512     0.00142512
             72        3.00572        3.00513     0.00140535
             73        3.00707        3.00516     0.00138635
             74        3.00838         3.0052      0.0013683
             75        3.00964        3.00526     0.00135134
             76        3.01083        3.00533     0.00133555
             77        3.01195        3.00542     0.00132097
             78          3.013        3.00551      0.0013076
             79        3.01396        3.00562     0.00129541
             80        3.01483        3.00574     0.00128432
             81         3.0156        3.00586     0.00127422
             82        3.01627        3.00599     0.00126499
             83        3.01684        3.00612     0.00125649
