#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1      -0.324682      -0.324682              0
              2      -0.325291      -0.324987    0.000215285
              3      -0.325852      -0.325275    0.000275888
              4      -0.326359      -0.325546     0.00031291
              5      -0.326813        -0.3258    0.000337644
              6      -0.327216      -0.326036    0.000354418
              7      -0.327565      -0.326254    0.000364965
              8      -0.327854      -0.326454    0.000370081
              9       -0.32809      -0.326636    0.000370933
             10      -0.328266      -0.326799     0.00036793
             11      -0.328383      -0.326943    0.000361572
             12      -0.328442      -0.327068    0.000352361
             13      -0.328437      -0.327173    0.000340635
             14      -0.328375      -0.327259    0.000326936
             15      -0.328251      -0.327325    0.000311761
             16      -0.328061      -0.327371    0.000295652
             17      -0.327804      -0.327397    0.000279356
             18      -0.327484      -0.327401    0.000263878
             19      -0.327095      -0.327385    0.000250482
             20       -0.32664      -0.327348    0.000240715
             21      -0.326113      -0.327289    0.000236325
             22      -0.325524      -0.327209    0.000238811
             23      -0.324871      -0.327107    0.000249117
             24      -0.324155      -0.326984    0.000267393
             25      -0.323371       -0.32684    0.000293176
             26       -0.32252      -0.326674    0.000325593
             27      -0.321609      -0.326486    0.000363569
             28      -0.320634      -0.326277    0.000406248
             29        -0.3196      -0.326047    0.000452804
             30      -0.318513      -0.325796    0.000502553
             31      -0.317377      -0.325524    0.000554889
             32      -0.316193      -0.325233    0.000609371
             33      -0.314969      -0.324922    0.000665566
             34      -0.313712      -0.324592     0.00072305
             35      -0.312428      -0.324244     0.00078146
             36      -0.311125       -0.32388    0.000840442
             37       -0.30981        -0.3235    0.000899648
             38      -0.308496      -0.323105    0.000958702
             39      -0.307186      -0.322697     0.00101731
             40      -0.305893      -0.322277     0.00107512
             41      -0.304632      -0.321846     0.00113176
             42      -0.303413      -0.321407     0.00118686
             43      -0.302253      -0.320962     0.00124004
             44      -0.301157      -0.320512     0.00129097
             45      -0.300138      -0.320059     0.00133932
             46       -0.29921      -0.319606     0.00138477
             47      -0.298381      -0.319154     0.00142705
             48      -0.297669      -0.318707     0.00146583
             49      -0.297074      -0.318265     0.00150093
             50      -0.296608      -0.317832     0.00153213
             51      -0.296281      -0.317409     0.00155928
             52      -0.296091      -0.316999     0.00158226
             53      -0.296047      -0.316604     0.00160104
             54      -0.296151      -0.316225     0.00161557
             55      -0.296399      -0.315865     0.00162591
             56      -0.296788      -0.315524     0.00163217
             57       -0.29732      -0.315205     0.00163449
             58      -0.297991      -0.314908     0.00163303
             59      -0.298781      -0.314635     0.00162807
             60      -0.299691      -0.314386     0.00161987
             61      -0.300709      -0.314161     0.00160876
             62      -0.301823      -0.313962     0.00159507
             63      -0.303025      -0.313789     0.00157917
             64      -0.304298       -0.31364     0.00156145
             65      -0.305623      -0.313517     0.00154229
             66      -0.306994      -0.313418     0.00152208
             67      -0.308391      -0.313343     0.00150121
             68      -0.309805      -0.313291     0.00148004
             69      -0.311226      -0.313261     0.00145889
             70      -0.312636      -0.313252     0.00143808
             71      -0.314023      -0.313263     0.00141786
             72      -0.315379      -0.313293     0.00139848
             73      -0.316693      -0.313339     0.00138009
             74      -0.317949      -0.313401     0.00136285
             75      -0.319137      -0.313478     0.00134682
             76      -0.320267      -0.313567     0.00133206
             77      -0.321311      -0.313668     0.00131855
             78       -0.32227      -0.313778     0.00130625
             79      -0.323139      -0.313897     0.00129508
             80      -0.323913      -0.314022     0.00128493
             81      -0.324589      -0.314152     0.00127567
             82      -0.325152      -0.314286     0.00126715
             83      -0.325616      -0.314423     0.00125921
             84       -0.32597       -0.31456      0.0012517
             85      -0.326215      -0.314698     0.00124446
             86      -0.326347      -0.314833     0.00123734
             87      -0.326369      -0.314966      0.0012302
             88      -0.326281      -0.315094     0.00122293
             89      -0.326087      -0.315218     0.00121541
             90      -0.325777      -0.315335     0.00120755
             91      -0.325354      -0.315445     0.00119929
             92      -0.324827      -0.315547     0.00119058
             93      -0.324199       -0.31564     0.00118141
