#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1         2.0105         2.0105              0
              2        2.01093        2.01072    0.000153154
              3        2.01134        2.01092    0.000197066
              4        2.01171        2.01112    0.000225039
              5        2.01204         2.0113    0.000244621
              6        2.01235        2.01148    0.000258475
              7        2.01262        2.01164    0.000267923
              8        2.01285        2.01179    0.000273754
              9        2.01304        2.01193      0.0002765
             10         2.0132        2.01206    0.000276555
             11        2.01332        2.01217    0.000274232
             12         2.0134        2.01228    0.000269799
             13        2.01344        2.01236    0.000263506
             14        2.01344        2.01244    0.000255599
             15         2.0134        2.01251    0.000246338
             16        2.01331        2.01256    0.000236018
             17        2.01318        2.01259     0.00022499
             18        2.01301        2.01262    0.000213684
             19        2.01279        2.01262    0.000202646
             20        2.01254        2.01262    0.000192563
             21        2.01223         2.0126    0.000184279
             22        2.01188        2.01257    0.000178768
             23        2.01149        2.01252    0.000177031
             24        2.01105        2.01246    0.000179909
             25        2.01057        2.01239    0.000187889
             26        2.01005         2.0123    0.000201006
             27        2.00948        2.01219    0.000218914
             28        2.00887        2.01207    0.000241045
             29        2.00822        2.01194    0.000266772
             30        2.00754        2.01179    0.000295504
             31        2.00681        2.01163    0.000326725
             32        2.00606        2.01146    0.000359993
             33        2.00527        2.01127    0.000394929
             34        2.00446        2.01107    0.000431204
             35        2.00362        2.01086    0.000468521
             36        2.00276        2.01063    0.000506608
             37        2.00189         2.0104    0.000545205
             38        2.00102        2.01015     0.00058406
             39        2.00014        2.00989    0.000622926
             40        1.99927        2.00963    0.000661559
             41        1.99841        2.00935    0.000699714
             42        1.99757        2.00907    0.000737148
             43        1.99676        2.00879    0.000773619
             44        1.99599         2.0085    0.000808889
             45        1.99526         2.0082    0.000842724
             46        1.99458        2.00791    0.000874901
             47        1.99396        2.00761    0.000905206
             48        1.99341        2.00731    0.000933441
             49        1.99293        2.00702    0.000959424
             50        1.99254        2.00673    0.000982996
             51        1.99223        2.00645     0.00100402
             52        1.99201        2.00617      0.0010224
             53        1.99188         2.0059     0.00103805
