#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
              1        2.69107        2.69107              0
              2        2.69111        2.69109    1.44462e-05
              3        2.69115        2.69111    1.97239e-05
              4         2.6912        2.69113    2.47304e-05
              5        2.69125        2.69116    2.94678e-05
              6        2.69131        2.69118    3.35543e-05
              7        2.69136        2.69121    3.72801e-05
              8        2.69142        2.69123    4.11067e-05
              9        2.69148        2.69126    4.45895e-05
             10        2.69154        2.69129    4.79806e-05
             11         2.6916        2.69132    5.12776e-05
             12        2.69166        2.69134     5.4391e-05
             13        2.69172        2.69137     5.7459e-05
             14        2.69178         2.6914    6.03229e-05
             15        2.69184        2.69143    6.29775e-05
             16         2.6919        2.69146    6.55508e-05
             17        2.69197        2.69149    6.81176e-05
             18        2.69203        2.69152    7.06159e-05
             19         2.6921        2.69155    7.31046e-05
             20        2.69216        2.69158    7.55737e-05
             21        2.69223        2.69161    7.80991e-05
             22         2.6923        2.69164    8.05676e-05
             23        2.69237        2.69168    8.29374e-05
             24        2.69243        2.69171    8.51779e-05
             25        2.69249        2.69174    8.73313e-05
             26        2.69255        2.69177    8.94235e-05
             27        2.69261         2.6918    9.14107e-05
             28        2.69268        2.69183    9.33394e-05
             29        2.69274        2.69186    9.51863e-05
             30        2.69279        2.69189    9.69294e-05
             31        2.69284        2.69193    9.85239e-05
             32        2.69289        2.69196    9.99755e-05
             33        2.69294        2.69199    0.000101263
             34        2.69297        2.69201    0.000102347
             35          2.693        2.69204    0.000103213
             36        2.69302        2.69207    0.000103846
             37        2.69303         2.6921    0.000104233
             38        2.69303        2.69212    0.000104351
             39        2.69302        2.69214    0.000104221
             40        2.69301        2.69217    0.000103848
             41        2.69298        2.69218    0.000103218
             42        2.69294         2.6922    0.000102333
             43        2.69289        2.69222    0.000101189
             44        2.69282        2.69223    9.98183e-05
             45        2.69275        2.69224    9.82504e-05
             46        2.69266        2.69225     9.6524e-05
             47        2.69256        2.69226    9.46899e-05
             48        2.69244        2.69226    9.27949e-05
             49        2.69232        2.69226    9.09092e-05
             50         2.6922        2.69226    8.91017e-05
             51        2.69206        2.69226    8.74462e-05
             52        2.69192        2.69225    8.60126e-05
             53        2.69177        2.69224    8.48662e-05
             54        2.69162        2.69223    8.40676e-05
             55        2.69148        2.69222    8.36512e-05
             56        2.69134         2.6922     8.3629e-05
             57         2.6912        2.69219    8.40073e-05
             58        2.69106        2.69217     8.4783e-05
             59        2.69093        2.69214    8.58876e-05
             60        2.69081        2.69212    8.72762e-05
             61         2.6907         2.6921    8.88851e-05
             62        2.69061        2.69208    9.06464e-05
             63        2.69052        2.69205     9.2512e-05
             64        2.69044        2.69203    9.44157e-05
             65        2.69038          2.692    9.62783e-05
             66        2.69034        2.69197    9.80584e-05
             67        2.69031        2.69195    9.96955e-05
             68        2.69029        2.69193    0.000101166
             69        2.69029         2.6919    0.000102453
             70        2.69029        2.69188    0.000103537
             71        2.69031        2.69186      0.0001044
             72        2.69034        2.69184    0.000105044
             73        2.69038        2.69182    0.000105476
             74        2.69043         2.6918    0.000105689
             75         2.6905        2.69178    0.000105682
             76        2.69056        2.69176    0.000105494
             77        2.69064        2.69175    0.000105124
             78        2.69073        2.69174     0.00010459
             79        2.69082        2.69172    0.000103911
             80        2.69091        2.69171    0.000103108
             81        2.69101        2.69171    0.000102201
             82        2.69112         2.6917    0.000101205
             83        2.69123        2.69169    0.000100146
             84        2.69134        2.69169    9.90437e-05
             85        2.69145        2.69169    9.79194e-05
             86        2.69156        2.69168    9.67918e-05
             87        2.69167        2.69168    9.56793e-05
             88        2.69178        2.69169    9.45985e-05
             89        2.69189        2.69169    9.35624e-05
             90        2.69199        2.69169    9.25848e-05
             91        2.69211         2.6917    9.16792e-05
             92        2.69221         2.6917    9.08542e-05
             93        2.69231        2.69171    9.01153e-05
             94        2.69241        2.69172    8.94687e-05
             95        2.69251        2.69172    8.89145e-05
             96         2.6926        2.69173    8.84567e-05
             97        2.69269        2.69174    8.80925e-05
             98        2.69277        2.69175    8.78136e-05
             99        2.69284        2.69176    8.76118e-05
            100        2.69291        2.69178     8.7486e-05
            101        2.69297        2.69179    8.74148e-05
            102        2.69302         2.6918    8.73845e-05
            103        2.69305        2.69181    8.73772e-05
            104        2.69308        2.69182    8.73843e-05
            105         2.6931        2.69184    8.73903e-05
            106         2.6931        2.69185    8.73773e-05
            107        2.69309        2.69186    8.73316e-05
            108        2.69307        2.69187    8.72408e-05
            109        2.69304        2.69188    8.70999e-05
            110          2.693        2.69189     8.6895e-05
            111        2.69293         2.6919    8.66182e-05
            112        2.69286        2.69191     8.6265e-05
            113        2.69277        2.69192    8.58404e-05
            114        2.69268        2.69192    8.53476e-05
            115        2.69257        2.69193    8.47929e-05
            116        2.69246        2.69193    8.41852e-05
            117        2.69233        2.69194    8.35353e-05
            118         2.6922        2.69194    8.28581e-05
            119        2.69207        2.69194    8.21691e-05
            120        2.69193        2.69194    8.14844e-05
            121        2.69179        2.69194    8.08208e-05
            122        2.69165        2.69194    8.01942e-05
            123         2.6915        2.69193    7.96212e-05
            124        2.69136        2.69193    7.91148e-05
            125        2.69122        2.69192    7.86862e-05
            126        2.69109        2.69192    7.83406e-05
            127        2.69096        2.69191    7.80838e-05
            128        2.69084         2.6919    7.79209e-05
            129        2.69072        2.69189    7.78482e-05
            130        2.69062        2.69188    7.78625e-05
            131        2.69053        2.69187    7.79536e-05
            132        2.69045        2.69186    7.81081e-05
            133        2.69037        2.69185    7.83163e-05
            134        2.69031        2.69184    7.85669e-05
            135        2.69028        2.69183    7.88329e-05
            136        2.69024        2.69181    7.91156e-05
            137        2.69022         2.6918    7.93935e-05
            138        2.69021        2.69179    7.96564e-05
            139        2.69021        2.69178    7.98927e-05
            140        2.69023        2.69177    8.00899e-05
            141        2.69025        2.69176    8.02442e-05
            142        2.69029        2.69175    8.03446e-05
            143        2.69034        2.69174    8.03863e-05
            144        2.69039        2.69173    8.03685e-05
            145        2.69046        2.69172    8.02896e-05
            146        2.69054        2.69171    8.01482e-05
            147        2.69062         2.6917    7.99478e-05
            148         2.6907         2.6917    7.96941e-05
            149         2.6908        2.69169    7.93881e-05
            150         2.6909        2.69169    7.90352e-05
            151          2.691        2.69168    7.86413e-05
            152        2.69111        2.69168    7.82125e-05
            153        2.69123        2.69168    7.77564e-05
            154        2.69134        2.69167    7.72812e-05
            155        2.69146        2.69167     7.6795e-05
            156        2.69158        2.69167    7.63049e-05
            157         2.6917        2.69167     7.5819e-05
            158        2.69182        2.69167    7.53447e-05
            159        2.69194        2.69167     7.4889e-05
            160        2.69205        2.69168    7.44585e-05
            161        2.69217        2.69168    7.40587e-05
            162        2.69228        2.69168    7.36942e-05
            163        2.69239        2.69169    7.33681e-05
            164        2.69249        2.69169    7.30843e-05
            165        2.69259         2.6917    7.28457e-05
            166         2.6927         2.6917    7.26559e-05
            167        2.69279        2.69171    7.25091e-05
            168        2.69287        2.69172     7.2408e-05
            169        2.69296        2.69172    7.23508e-05
            170        2.69303        2.69173    7.23332e-05
            171         2.6931        2.69174    7.23518e-05
            172        2.69316        2.69175    7.24037e-05
            173        2.69322        2.69176    7.24827e-05
            174        2.69327        2.69177    7.25851e-05
            175        2.69331        2.69177    7.27021e-05
            176        2.69334        2.69178    7.28296e-05
            177        2.69336        2.69179    7.29635e-05
            178        2.69338         2.6918    7.30996e-05
            179        2.69339        2.69181    7.32275e-05
            180        2.69339        2.69182    7.33449e-05
            181        2.69338        2.69183    7.34471e-05
            182        2.69336        2.69184    7.35263e-05
            183        2.69333        2.69184    7.35773e-05
            184         2.6933        2.69185    7.35998e-05
            185        2.69325        2.69186    7.35885e-05
            186         2.6932        2.69187    7.35428e-05
            187        2.69314        2.69187    7.34627e-05
            188        2.69307        2.69188    7.33477e-05
            189          2.693        2.69189    7.31967e-05
            190        2.69291        2.69189    7.30107e-05
            191        2.69283         2.6919    7.27923e-05
            192        2.69273         2.6919    7.25429e-05
            193        2.69263         2.6919    7.22654e-05
            194        2.69252        2.69191    7.19631e-05
            195        2.69242        2.69191    7.16414e-05
            196        2.69231        2.69191    7.13045e-05
            197        2.69219        2.69191    7.09565e-05
            198        2.69207        2.69191    7.06027e-05
            199        2.69196        2.69191    7.02482e-05
            200        2.69184        2.69191    6.98981e-05
            201        2.69172        2.69191    6.95573e-05
            202        2.69159        2.69191    6.92311e-05
            203        2.69147        2.69191    6.89239e-05
            204        2.69135        2.69191    6.86396e-05
            205        2.69124         2.6919    6.83825e-05
            206        2.69112         2.6919     6.8155e-05
            207        2.69102         2.6919    6.79571e-05
            208        2.69092        2.69189     6.7791e-05
            209        2.69083        2.69189    6.76551e-05
            210        2.69075        2.69188    6.75497e-05
            211        2.69067        2.69187     6.7474e-05
            212        2.69059        2.69187    6.74258e-05
            213        2.69053        2.69186    6.74034e-05
            214        2.69047        2.69186    6.74034e-05
            215        2.69041        2.69185     6.7423e-05
            216        2.69037        2.69184    6.74559e-05
            217        2.69034        2.69183    6.74978e-05
            218        2.69032        2.69183    6.75433e-05
            219        2.69031        2.69182    6.75893e-05
            220        2.69031        2.69181    6.76308e-05
