#     TEMP:    TE_AVE:      ERROR:
           2    0.192703 0.000205804
        1.95    0.200242  0.00022073
         1.9    0.208184 0.000232462
        1.85    0.216544 0.000246847
         1.8    0.225466  0.00026955
        1.75    0.234565 0.000290867
         1.7    0.244467 0.000308443
        1.65    0.254671 0.000331654
         1.6    0.264842 0.000359246
        1.55    0.276307 0.000388033
         1.5    0.288686 0.000417125
        1.45    0.299088 0.000454363
         1.4    0.311179 0.000493696
        1.35    0.323484 0.000532536
         1.3    0.339269 0.000572917
        1.25    0.349169 0.000628399
         1.2     0.36015 0.000698049
        1.15    0.376943  0.00073328
         1.1      0.3918 0.000805381
        1.05    0.398763 0.000891197
           1    0.410735  0.00096211
        0.95     0.42046  0.00104344
         0.9    0.419752   0.0011454
        0.85    0.429756  0.00126838
         0.8    0.434703  0.00137386
        0.75    0.426678  0.00152936
         0.7    0.408482  0.00161257
        0.65    0.379307  0.00178133
         0.6    0.359026  0.00209067
        0.55    0.270055  0.00210514
         0.5    0.163177  0.00207838
