#     TEMP:    TE_AVE:      ERROR:
           2     1.53394    0.011741
        1.95     1.62877   0.0126844
         1.9     1.68051   0.0130305
        1.85     1.79818   0.0139152
         1.8     1.89869   0.0145984
        1.75     2.01035   0.0153616
         1.7     2.17676   0.0170057
        1.65     2.27368   0.0178069
         1.6     2.41215   0.0186582
        1.55     2.52663     0.01988
         1.5     2.83146   0.0223972
        1.45     3.08549   0.0252219
         1.4     3.26432   0.0261457
        1.35     3.41662   0.0277961
         1.3     3.84873   0.0305006
        1.25     4.33276   0.0338942
         1.2     5.07855   0.0416895
        1.15     5.25179   0.0414095
         1.1     5.76864   0.0453119
        1.05     6.92829   0.0561537
           1     7.46344   0.0592091
        0.95     8.94505   0.0722779
         0.9     10.8929   0.0844397
        0.85     13.2276    0.102315
         0.8     14.6509    0.114616
        0.75     19.6157    0.143678
         0.7     24.9984    0.166869
        0.65     32.0758    0.204061
         0.6     43.0988    0.235599
        0.55     60.0187    0.256008
         0.5     84.3292    0.215889
