#     TEMP:    TE_AVE:      ERROR:
           2   -0.002442  0.00165913
        1.95    0.004788  0.00165091
         1.9   -0.002256    0.001715
        1.85   -0.001086   0.0017316
         1.8   -0.002196   0.0017231
        1.75   -0.006512  0.00176269
         1.7    0.001058  0.00178771
        1.65     0.00616  0.00183572
         1.6    0.008182  0.00188431
        1.55    0.000436  0.00188441
         1.5   -0.004062  0.00193324
        1.45   -0.010768  0.00201557
         1.4    0.002636  0.00205361
        1.35    0.004758  0.00209349
         1.3   -0.004842   0.0021262
        1.25    -0.00284  0.00222042
         1.2    0.013326  0.00232316
        1.15    0.010374  0.00229682
         1.1    0.011944  0.00250176
        1.05    -0.00137  0.00256885
           1    0.005188  0.00278704
        0.95    0.013502  0.00280803
         0.9    0.041076  0.00306544
        0.85    0.023012  0.00315939
         0.8     0.00314  0.00340774
        0.75   -0.016226  0.00373308
         0.7    0.019092  0.00412983
        0.65    0.109274  0.00454875
         0.6    0.032982  0.00515294
        0.55   -0.019932  0.00572346
         0.5   -0.072648  0.00612902
