#     TEMP:    TE_AVE:      ERROR:
           2   0.0270472 0.000213151
        1.95    0.028494 0.000203685
         1.9    0.030022 0.000223202
        1.85   0.0317114 0.000218692
         1.8    0.033175 0.000256275
        1.75   0.0357612 0.000264822
         1.7   0.0380292 0.000262465
        1.65   0.0407692 0.000271559
         1.6   0.0437727 0.000293314
        1.55   0.0466878 0.000310457
         1.5   0.0507066 0.000335578
        1.45    0.054895 0.000324037
         1.4   0.0592538 0.000392785
        1.35   0.0648313 0.000457607
         1.3   0.0723014 0.000421995
        1.25   0.0786746 0.000507059
         1.2   0.0876072 0.000535893
        1.15   0.0979202 0.000606657
         1.1    0.110622 0.000710796
        1.05    0.125777 0.000772192
           1    0.147643 0.000844089
        0.95    0.170301  0.00103934
         0.9    0.200763  0.00123108
        0.85    0.241212  0.00151487
         0.8    0.292293  0.00161919
        0.75    0.357731  0.00205453
         0.7    0.446617  0.00277604
        0.65    0.552198  0.00297517
         0.6    0.668712  0.00335762
        0.55    0.789757  0.00362208
         0.5    0.889436   0.0033093
