#     TEMP:    TE_AVE:      ERROR:
           2    0.196747 1.32182e-05
        1.95    0.204521 1.47692e-05
         1.9    0.212656 1.63784e-05
        1.85    0.221239 1.73071e-05
         1.8    0.230214 1.82558e-05
        1.75    0.239655 2.24888e-05
         1.7    0.249509  2.1721e-05
        1.65    0.259827 2.70109e-05
         1.6    0.270671 2.60012e-05
        1.55     0.28191 2.82575e-05
         1.5    0.293628 3.17504e-05
        1.45    0.305826 3.80158e-05
         1.4    0.318297 4.52503e-05
        1.35    0.331238 4.20412e-05
         1.3    0.344367 5.50687e-05
        1.25    0.357633 6.34615e-05
         1.2    0.370925 6.32847e-05
        1.15    0.383797 8.21601e-05
         1.1    0.395926 0.000102604
        1.05    0.407417 0.000110562
           1    0.417606 0.000130913
        0.95    0.424725 0.000157406
         0.9    0.429179 0.000194492
        0.85    0.428278 0.000270651
         0.8      0.4221 0.000368777
        0.75    0.406666 0.000455822
         0.7    0.377581 0.000574796
        0.65    0.332946   0.0008048
         0.6    0.269648  0.00100159
        0.55    0.192829  0.00125468
         0.5    0.114292  0.00120933
