#     TEMP:    TE_AVE:      ERROR:
           2     1.57274   0.0761587
        1.95     1.65506   0.0796844
         1.9     1.74269   0.0834131
        1.85     1.84147   0.0875015
         1.8     1.94537   0.0917843
        1.75     2.06578   0.0965606
         1.7      2.1951    0.101629
        1.65     2.34369     0.10723
         1.6     2.50499    0.113233
        1.55     2.68715    0.119782
         1.5     2.89881     0.12709
        1.45     3.13071    0.134917
         1.4     3.40784    0.143752
        1.35     3.72135    0.153413
         1.3     4.09524    0.164288
        1.25     4.53225    0.176345
         1.2     5.05634    0.189934
        1.15     5.68505    0.205118
         1.1     6.44155    0.222019
        1.05     7.41386    0.242047
           1     8.64894    0.264985
        0.95     10.2327    0.290902
         0.9     12.3218    0.321096
        0.85     15.1896     0.35609
         0.8     19.1028    0.395403
        0.75     24.4963    0.438189
         0.7     32.4408    0.483956
        0.65     43.0888    0.519545
         0.6     56.9713    0.532393
        0.55      73.267    0.507201
         0.5     90.6088    0.431946
