#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462636   -0.462636           0
           2    -0.46242   -0.462528 7.61752e-05
           3   -0.463462    -0.46284  0.00025927
           4   -0.462593   -0.462778 0.000201663
           5   -0.463239    -0.46287  0.00018121
           6   -0.462709   -0.462843 0.000152982
           7   -0.462966   -0.462861 0.000132136
           8   -0.463205   -0.462904 0.000122423
           9   -0.462966   -0.462911 0.000109013
          10   -0.463506    -0.46297 0.000113224
          11   -0.462365   -0.462915 0.000115514
          12   -0.463241   -0.462942 0.000109022
          13   -0.463488   -0.462984 0.000108414
          14   -0.462995   -0.462985 0.000100673
          15   -0.462313    -0.46294 0.000103458
          16   -0.462854   -0.462935 9.71321e-05
          17   -0.463002   -0.462939 9.14985e-05
          18   -0.462874   -0.462935 8.64859e-05
          19   -0.462454    -0.46291 8.55648e-05
          20   -0.464247   -0.462977 0.000104164
          21   -0.463836   -0.463018 0.000106936
          22   -0.462538   -0.462996 0.000104272
          23   -0.462434   -0.462971 0.000102564
          24   -0.463295   -0.462985 9.91741e-05
          25   -0.463089   -0.462989 9.52941e-05
          26   -0.462153   -0.462957 9.69046e-05
          27   -0.464649    -0.46302 0.000111766
          28   -0.462789   -0.463011 0.000108078
          29   -0.462899   -0.463007 0.000104421
          30   -0.463925   -0.463038  0.00010532
          31   -0.463441   -0.463051 0.000102722
          32    -0.46194   -0.463016 0.000105214
          33    -0.46379    -0.46304 0.000104604
          34    -0.46275   -0.463031 0.000101874
          35   -0.463401   -0.463042  9.9508e-05
          36   -0.462203   -0.463019 9.94336e-05
          37   -0.463013   -0.463018 9.67463e-05
          38   -0.462594   -0.463007 9.48426e-05
          39   -0.463696   -0.463025 9.40398e-05
          40   -0.462269   -0.463006 9.35673e-05
          41   -0.463635   -0.463021 9.25357e-05
          42   -0.461656   -0.462989 9.58704e-05
          43   -0.464017   -0.463013  9.6579e-05
          44   -0.462011    -0.46299 9.70306e-05
          45   -0.462802   -0.462986 9.49639e-05
          46   -0.464735   -0.463024 0.000100223
          47   -0.463145   -0.463026 9.81241e-05
          48   -0.463372   -0.463034 9.63438e-05
          49   -0.463205   -0.463037 9.44412e-05
          50   -0.463249   -0.463041 9.26477e-05
          51   -0.462752   -0.463036 9.10047e-05
          52   -0.463016   -0.463035 8.92554e-05
          53   -0.462789   -0.463031 8.76924e-05
          54   -0.463166   -0.463033 8.61042e-05
          55   -0.462759   -0.463028 8.46832e-05
          56   -0.463246   -0.463032 8.32602e-05
          57    -0.46293    -0.46303 8.18188e-05
          58   -0.463014    -0.46303 8.04086e-05
          59   -0.463049    -0.46303 7.90464e-05
          60   -0.463061   -0.463031 7.77306e-05
          61   -0.463102   -0.463032 7.64652e-05
          62   -0.463225   -0.463035  7.5295e-05
          63   -0.462836   -0.463032 7.41661e-05
          64   -0.462746   -0.463027 7.31418e-05
          65   -0.462821   -0.463024 7.20855e-05
          66   -0.462079    -0.46301 7.24028e-05
          67   -0.463925   -0.463024 7.25986e-05
          68   -0.463083   -0.463024 7.15362e-05
          69   -0.462956   -0.463023 7.05063e-05
          70   -0.462498   -0.463016 6.98977e-05
          71   -0.462479   -0.463008 6.93205e-05
          72    -0.46335   -0.463013 6.85199e-05
          73   -0.463379   -0.463018 6.77639e-05
          74   -0.463027   -0.463018 6.68483e-05
          75   -0.462575   -0.463012 6.62182e-05
          76   -0.463007   -0.463012 6.53469e-05
          77   -0.462263   -0.463003 6.52181e-05
          78   -0.462845   -0.463001 6.44133e-05
          79   -0.462616   -0.462996 6.37812e-05
          80   -0.463797   -0.463006 6.37648e-05
          81   -0.463286   -0.463009 6.30714e-05
          82   -0.462744   -0.463006 6.23851e-05
          83   -0.463423   -0.463011 6.18352e-05
          84   -0.463906   -0.463022 6.20098e-05
          85   -0.463241   -0.463024 6.13341e-05
          86   -0.462031   -0.463013 6.16986e-05
          87   -0.462802    -0.46301 6.10368e-05
          88   -0.463351   -0.463014  6.0466e-05
          89   -0.463025   -0.463014 5.97867e-05
          90   -0.461909   -0.463002 6.03712e-05
          91   -0.462954   -0.463001   5.971e-05
          92   -0.462537   -0.462996  5.9274e-05
          93   -0.463095   -0.462997  5.8646e-05
          94   -0.463967   -0.463008 5.89226e-05
          95   -0.463766   -0.463016 5.88405e-05
          96   -0.462915   -0.463015  5.8237e-05
          97   -0.462961   -0.463014 5.76393e-05
          98   -0.463019   -0.463014 5.70511e-05
          99   -0.463862   -0.463023 5.71134e-05
         100   -0.462402   -0.463017 5.68787e-05
           1   -0.472745   -0.472745           0
           2   -0.472968   -0.472856 7.87038e-05
           3   -0.472547   -0.472753 9.92299e-05
           4   -0.472801   -0.472765 7.51412e-05
           5   -0.474187    -0.47305 0.000261342
           6   -0.473165   -0.473069 0.000218486
           7   -0.473025   -0.473062 0.000187365
           8   -0.473446    -0.47311 0.000169958
           9    -0.47372   -0.473178 0.000164026
          10   -0.473935   -0.473254 0.000164161
          11   -0.473081   -0.473238 0.000149984
          12   -0.473231   -0.473238 0.000137487
          13   -0.472963   -0.473216 0.000128527
          14   -0.472772   -0.473185 0.000123211
          15   -0.473144   -0.473182 0.000115028
          16   -0.473004   -0.473171 0.000108374
          17    -0.47287   -0.473153 0.000103432
          18   -0.472704   -0.473128 0.000100644
          19   -0.473331   -0.473139 9.59136e-05
          20   -0.473089   -0.473136 9.11507e-05
          21   -0.473493   -0.473153 8.83768e-05
          22   -0.473558   -0.473172 8.62518e-05
          23   -0.471075   -0.473081 0.000121482
          24   -0.474103   -0.473123 0.000123668
          25   -0.473939   -0.473156 0.000122952
          26   -0.472477    -0.47313 0.000120961
          27   -0.473046   -0.473127 0.000116521
          28   -0.472706   -0.473112 0.000113323
          29   -0.472148   -0.473078 0.000114179
          30   -0.472305   -0.473053 0.000113243
          31   -0.473238   -0.473059 0.000109748
          32   -0.472285   -0.473034 0.000108948
          33   -0.473022   -0.473034 0.000105648
          34    -0.47382   -0.473057 0.000105038
          35   -0.472733   -0.473048 0.000102445
          36   -0.472861   -0.473043 9.97311e-05
          37   -0.472414   -0.473026 9.84714e-05
          38   -0.474419   -0.473062 0.000102483
          39    -0.47336    -0.47307 0.000100138
          40   -0.474056   -0.473095 0.000100621
          41   -0.474329   -0.473125 0.000102569
          42   -0.473604   -0.473136 0.000100761
          43   -0.472042   -0.473111 0.000101583
          44   -0.472795   -0.473104 9.95275e-05
          45   -0.472707   -0.473095 9.77057e-05
          46   -0.473064   -0.473094 9.55838e-05
          47    -0.47206   -0.473072 9.60487e-05
          48   -0.472978    -0.47307 9.40675e-05
          49    -0.47285   -0.473066 9.22551e-05
          50   -0.472868   -0.473062 9.04946e-05
          51   -0.473318   -0.473067 8.88596e-05
          52   -0.472924   -0.473064 8.71931e-05
          53   -0.472492   -0.473053 8.62127e-05
          54   -0.472676   -0.473046 8.48979e-05
          55    -0.47356   -0.473056 8.38662e-05
          56   -0.472504   -0.473046 8.29442e-05
          57   -0.472752   -0.473041 8.16491e-05
          58   -0.472352   -0.473029 8.10998e-05
          59   -0.473123    -0.47303  7.9741e-05
          60   -0.473539   -0.473039 7.88613e-05
          61   -0.473273   -0.473043 7.76619e-05
          62   -0.472455   -0.473033 7.69849e-05
          63   -0.473394   -0.473039 7.59754e-05
          64   -0.473191   -0.473041 7.48255e-05
          65   -0.473378   -0.473046 7.38534e-05
          66   -0.472924   -0.473045 7.27577e-05
          67   -0.473153   -0.473046 7.16897e-05
          68   -0.472331   -0.473036 7.14034e-05
          69   -0.473697   -0.473045 7.10098e-05
          70   -0.473263   -0.473048 7.00634e-05
          71   -0.472484    -0.47304 6.95252e-05
          72     -0.4716    -0.47302 7.13798e-05
          73   -0.473542   -0.473028 7.07593e-05
          74   -0.472701   -0.473023 6.99405e-05
          75   -0.472946   -0.473022 6.90155e-05
          76   -0.471815   -0.473006 6.99118e-05
          77   -0.473476   -0.473012 6.92692e-05
          78   -0.471588   -0.472994  7.0746e-05
