#     TEMP:    TE_AVE:      ERROR:
           2    0.027282  0.00108693
        1.95   0.0275724  0.00111122
         1.9   0.0296883  0.00115104
        1.85   0.0315661  0.00107611
         1.8   0.0334166  0.00118611
        1.75   0.0360772  0.00124365
         1.7   0.0380663  0.00114364
        1.65   0.0399348  0.00141102
         1.6   0.0411436  0.00142716
        1.55   0.0487743  0.00177275
         1.5   0.0502892  0.00174119
        1.45   0.0571786  0.00183666
         1.4   0.0587266  0.00170931
        1.35   0.0663211  0.00190538
         1.3   0.0726299  0.00223149
        1.25   0.0752856  0.00211776
         1.2   0.0906396   0.0027075
        1.15    0.100722  0.00286179
         1.1    0.113028  0.00334373
        1.05    0.130719  0.00360175
           1    0.141608  0.00444317
        0.95    0.167864  0.00522414
         0.9    0.191572  0.00623596
        0.85    0.236902   0.0073325
         0.8    0.297187  0.00859526
        0.75    0.382432  0.00980901
         0.7    0.451312    0.012423
        0.65    0.557424   0.0130976
         0.6    0.652217   0.0175603
        0.55    0.796589   0.0156686
         0.5    0.859832   0.0244765
