#     TEMP:    TE_AVE:      ERROR:
           2    0.196803 6.48152e-05
        1.95    0.204502 7.82216e-05
         1.9    0.212686 7.55329e-05
        1.85    0.221239 8.58241e-05
         1.8    0.230091 8.66043e-05
        1.75    0.239641 0.000103885
         1.7    0.249529 0.000112832
        1.65    0.259765 0.000136449
         1.6    0.270786 0.000128693
        1.55     0.28175 0.000144539
         1.5    0.293821 0.000182242
        1.45    0.305551 0.000164244
         1.4      0.3183 0.000198391
        1.35    0.331259 0.000251268
         1.3    0.343657 0.000283302
        1.25    0.357488 0.000282876
         1.2    0.370863 0.000336941
        1.15    0.383543 0.000389517
         1.1    0.394917  0.00052259
        1.05    0.407646 0.000581797
           1    0.417562 0.000628522
        0.95    0.425366 0.000687009
         0.9    0.429178 0.000931786
        0.85    0.427823  0.00148696
         0.8    0.421021   0.0016122
        0.75    0.401722   0.0022581
         0.7    0.376445  0.00345606
        0.65     0.33578  0.00390241
         0.6    0.267589  0.00533186
        0.55     0.18734  0.00591508
         0.5    0.118859  0.00598626
