#     TEMP:    TE_AVE:      ERROR:
           2     1.56034   0.0755967
        1.95     1.66757   0.0796878
         1.9     1.74487   0.0831523
        1.85     1.85464   0.0875467
         1.8     1.93761   0.0911433
        1.75      2.0674   0.0962808
         1.7     2.19345    0.101141
        1.65     2.35929    0.107051
         1.6     2.51043    0.112769
        1.55     2.68158    0.118782
         1.5     2.89455    0.125794
        1.45     3.15356    0.134201
         1.4     3.39301    0.142268
        1.35      3.7153    0.151793
         1.3      4.0646    0.161614
        1.25      4.5207    0.173682
         1.2     5.05275    0.186102
        1.15     5.65677    0.199798
         1.1     6.60369    0.217898
        1.05     7.49726    0.234018
           1     8.47269    0.250243
        0.95     10.2431    0.273356
         0.9     12.0635    0.283885
        0.85      15.231    0.285336
         0.8     19.2141    0.300614
        0.75     25.3346    0.277295
         0.7     32.7792    0.227496
        0.65     43.0996    0.277678
         0.6     56.8614     0.53916
        0.55     73.9147    0.583543
         0.5     89.9853    0.549631
