#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46399    -0.46399           0
           2   -0.460478   -0.462234  0.00124161
           3    -0.46185   -0.462106 0.000834287
           4   -0.463107   -0.462356 0.000662175
           5   -0.462108   -0.462306 0.000531603
           6   -0.460023   -0.461926 0.000562944
           7   -0.453685   -0.460749  0.00119198
           8   -0.462061   -0.460913  0.00105421
           9   -0.461897   -0.461022 0.000942727
          10   -0.462937   -0.461214 0.000867686
          11   -0.460624    -0.46116 0.000790457
          12    -0.46933   -0.461841 0.000974623
          13   -0.462335   -0.461879 0.000900394
          14   -0.461635   -0.461861 0.000836248
          15   -0.465096   -0.462077 0.000807826
          16   -0.461697   -0.462053 0.000757687
          17   -0.463428   -0.462134 0.000717419
          18   -0.464247   -0.462252 0.000687094
          19   -0.461948   -0.462236 0.000651117
          20   -0.464637   -0.462356 0.000629536
          21    -0.46621   -0.462539 0.000625745
          22   -0.465944   -0.462694 0.000616146
          23   -0.465061   -0.462797 0.000597887
          24   -0.460613   -0.462706 0.000579858
          25   -0.460957   -0.462636 0.000560868
          26   -0.462486    -0.46263 0.000539325
          27   -0.462618    -0.46263  0.00051935
          28   -0.465502   -0.462732 0.000510831
          29    -0.45698   -0.462534  0.00053033
          30   -0.465765   -0.462642 0.000523472
          31   -0.463069   -0.462655 0.000506768
          32   -0.461495   -0.462619 0.000492226
          33   -0.461815   -0.462595 0.000477913
          34   -0.462559   -0.462594 0.000463858
          35   -0.464052   -0.462635 0.000452471
          36   -0.463008   -0.462646 0.000440021
          37   -0.462057    -0.46263 0.000428416
          38   -0.462524   -0.462627 0.000417151
          39   -0.467012   -0.462739 0.000421333
          40   -0.464861   -0.462793 0.000414125
          41    -0.45961   -0.462715 0.000411235
          42   -0.462722   -0.462715 0.000401444
          43   -0.464508   -0.462757 0.000394266
          44   -0.466408    -0.46284 0.000393944
          45   -0.463783   -0.462861 0.000385746
          46   -0.460709   -0.462814 0.000380186
          47   -0.458997   -0.462733 0.000380671
          48     -0.4613   -0.462703 0.000373908
          49   -0.457894   -0.462605 0.000378936
          50   -0.458776   -0.462528 0.000379016
          51   -0.465977   -0.462596  0.00037757
          52   -0.461922   -0.462583 0.000370532
          53   -0.461479   -0.462562 0.000364125
          54   -0.466456   -0.462634 0.000364452
          55   -0.470113    -0.46277 0.000382351
          56   -0.459559   -0.462713 0.000379798
          57   -0.462781   -0.462714 0.000373137
          58   -0.463653    -0.46273 0.000367055
          59   -0.468162   -0.462822 0.000372199
          60   -0.461075   -0.462793 0.000367133
          61   -0.469077   -0.462896  0.00037529
          62   -0.468321   -0.462984 0.000379301
          63   -0.462721   -0.462979 0.000373304
          64   -0.462275   -0.462968 0.000367633
          65   -0.462799   -0.462966 0.000361986
          66   -0.461086   -0.462937 0.000357621
          67   -0.459033   -0.462879 0.000357001
          68   -0.463944   -0.462895 0.000352094
          69   -0.460716   -0.462863 0.000348404
          70   -0.462895   -0.462864 0.000343427
          71    -0.46181   -0.462849  0.00033891
          72   -0.462436   -0.462843 0.000334252
          73   -0.462165   -0.462834 0.000329802
          74   -0.459601    -0.46279 0.000328225
          75   -0.466502    -0.46284 0.000327558
          76   -0.460362   -0.462807 0.000324866
          77   -0.466009   -0.462849 0.000323298
          78   -0.465633   -0.462884 0.000321118
          79    -0.46647    -0.46293 0.000320245
          80   -0.465842   -0.462966 0.000318304
          81   -0.458523   -0.462911 0.000319067
          82   -0.459279   -0.462867 0.000318235
          83    -0.46186   -0.462855 0.000314632
          84   -0.460984   -0.462832 0.000311674
          85   -0.463909   -0.462845 0.000308265
          86   -0.465661   -0.462878 0.000306414
          87   -0.463519   -0.462885 0.000302981
          88   -0.462002   -0.462875 0.000299704
          89   -0.461677   -0.462862 0.000296638
          90   -0.460019    -0.46283 0.000295019
          91   -0.463223   -0.462834 0.000291808
          92   -0.463637   -0.462843 0.000288767
          93   -0.467386   -0.462892 0.000289764
          94   -0.459879    -0.46286 0.000288448
          95   -0.465677    -0.46289 0.000286932
          96   -0.464841    -0.46291 0.000284662
          97   -0.458338   -0.462863 0.000285603
          98    -0.46263    -0.46286 0.000282698
          99   -0.459331   -0.462825 0.000282081
         100   -0.458125   -0.462778 0.000283149
           1   -0.472267   -0.472267           0
           2   -0.471625   -0.471946 0.000227193
           3   -0.478058   -0.473984  0.00167044
           4   -0.476071   -0.474505  0.00133184
           5   -0.466091   -0.472823  0.00184412
           6   -0.473233   -0.472891  0.00153803
           7    -0.46936   -0.472387  0.00139857
