#   N_BLOCK:  ACCEPTANCE:
           1    0.534511
           2    0.533116
           3    0.533924
           4     0.53428
           5    0.534045
           6    0.534065
           7    0.534034
           8    0.533895
           9    0.533911
          10     0.53393
          11    0.533941
          12    0.533865
          13     0.53376
          14     0.53373
          15    0.533734
          16    0.533724
          17    0.533742
          18    0.533578
          19    0.533707
          20    0.533642
          21    0.533609
          22    0.533585
          23    0.533511
          24    0.533505
          25    0.533511
          26    0.533545
          27    0.533564
          28     0.53357
          29    0.533588
          30    0.533593
          31    0.533603
          32    0.533553
          33    0.533566
          34    0.533568
          35     0.53356
          36    0.533559
          37    0.533495
          38    0.533477
          39    0.533458
          40    0.533455
          41     0.53341
          42    0.533393
          43    0.533338
          44    0.533352
          45    0.533392
          46    0.533404
          47    0.533398
          48    0.533447
          49    0.533447
          50    0.533464
          51    0.533483
          52    0.533484
          53    0.533534
          54    0.533593
          55    0.533564
          56    0.533544
          57    0.533534
          58    0.533567
          59    0.533614
          60    0.533596
          61    0.533599
          62    0.533604
          63    0.533603
          64    0.533591
          65    0.533577
          66     0.53356
          67    0.533577
          68    0.533581
          69    0.533561
          70    0.533556
          71    0.533537
          72     0.53353
          73    0.533523
          74    0.533508
          75    0.533507
          76    0.533511
          77    0.533523
          78     0.53354
          79    0.533515
          80    0.533494
          81    0.533484
          82    0.533467
          83    0.533462
          84    0.533457
          85    0.533449
          86    0.533453
          87    0.533455
          88    0.533442
          89    0.533429
          90    0.533419
          91    0.533417
          92     0.53342
          93    0.533413
          94    0.533424
          95    0.533456
          96    0.533466
          97     0.53348
          98    0.533495
          99     0.53351
         100    0.533512
           1    0.533379
           2    0.533288
           3    0.533177
           4    0.533054
           5    0.532957
           6    0.532867
           7    0.532797
           8    0.532726
           9     0.53264
          10    0.532543
          11    0.532448
          12    0.532381
          13    0.532307
          14     0.53223
          15    0.532161
          16    0.532106
          17    0.532024
          18    0.531961
          19    0.531897
          20    0.531821
          21    0.531735
          22    0.531654
          23    0.531599
          24    0.531537
          25    0.531477
          26    0.531424
          27    0.531371
          28    0.531308
          29    0.531247
          30    0.531176
          31    0.531124
          32    0.531051
          33     0.53098
          34    0.530933
          35    0.530873
          36    0.530821
          37    0.530752
          38    0.530689
          39    0.530647
          40    0.530589
          41     0.53053
          42    0.530489
          43    0.530438
          44    0.530396
          45    0.530333
          46    0.530287
          47    0.530238
          48    0.530205
          49    0.530156
          50    0.530132
          51    0.530083
          52    0.530039
          53    0.529987
          54    0.529926
          55    0.529883
          56    0.529842
          57    0.529819
          58    0.529781
          59    0.529729
          60    0.529692
          61    0.529668
          62    0.529632
          63    0.529595
          64    0.529547
          65    0.529518
          66    0.529473
          67    0.529438
          68    0.529408
          69    0.529372
          70    0.529317
          71    0.529281
          72     0.52926
          73    0.529211
          74    0.529184
          75    0.529154
          76    0.529127
          77    0.529091
          78    0.529062
          79    0.529024
          80    0.528988
          81     0.52896
          82    0.528935
          83    0.528906
          84    0.528875
          85    0.528849
          86    0.528832
          87    0.528795
          88    0.528753
          89     0.52871
          90    0.528685
          91    0.528658
          92     0.52863
          93    0.528617
          94    0.528589
          95    0.528559
          96    0.528539
          97    0.528511
          98    0.528492
          99    0.528461
         100    0.528444
           1    0.528348
           2    0.528276
           3    0.528207
           4    0.528135
           5    0.528077
           6    0.527998
           7    0.527941
           8    0.527883
           9    0.527809
          10    0.527732
          11    0.527669
          12    0.527608
          13    0.527544
          14    0.527484
          15    0.527419
          16    0.527343
          17     0.52727
          18    0.527208
          19    0.527146
          20    0.527073
          21    0.527004
          22    0.526939
          23    0.526898
          24    0.526834
          25    0.526784
          26    0.526726
          27    0.526659
          28    0.526606
          29    0.526543
          30     0.52649
          31    0.526439
          32    0.526376
          33    0.526322
          34    0.526256
          35    0.526201
          36    0.526151
          37    0.526095
          38    0.526035
          39    0.525975
          40    0.525922
          41    0.525869
          42    0.525818
          43    0.525761
          44    0.525711
          45    0.525656
          46    0.525602
          47    0.525543
          48    0.525498
          49    0.525444
          50    0.525383
          51    0.525334
          52    0.525293
          53    0.525244
          54    0.525199
          55    0.525154
          56    0.525107
          57    0.525066
          58    0.525013
          59    0.524971
          60    0.524924
          61    0.524877
          62    0.524825
          63    0.524784
          64    0.524745
          65    0.524691
          66    0.524644
          67    0.524602
          68    0.524553
          69    0.524507
          70    0.524474
          71     0.52443
          72    0.524391
          73    0.524345
          74    0.524307
          75    0.524267
          76    0.524226
          77    0.524193
          78    0.524155
          79    0.524112
          80     0.52408
          81    0.524043
          82     0.52401
          83    0.523971
          84    0.523932
          85    0.523888
          86    0.523854
          87    0.523818
          88     0.52378
          89    0.523744
          90    0.523707
          91    0.523665
          92    0.523635
          93      0.5236
          94    0.523565
          95    0.523527
          96    0.523496
          97    0.523461
          98    0.523439
          99      0.5234
         100    0.523369
           1    0.523267
           2    0.523198
           3    0.523127
           4    0.523055
           5    0.522979
           6    0.522916
           7    0.522845
           8    0.522779
           9    0.522706
          10    0.522642
          11    0.522579
          12    0.522521
          13    0.522451
          14    0.522391
          15    0.522323
          16    0.522262
          17    0.522204
          18    0.522142
          19    0.522075
          20    0.522015
          21    0.521959
          22    0.521899
          23    0.521841
          24    0.521787
          25    0.521728
          26    0.521669
          27    0.521614
          28    0.521553
          29    0.521492
          30    0.521433
          31    0.521375
          32    0.521312
          33    0.521253
          34    0.521199
          35    0.521146
          36    0.521091
          37    0.521032
          38    0.520982
          39    0.520924
          40    0.520869
          41    0.520815
          42    0.520769
          43    0.520712
          44    0.520657
          45    0.520597
          46     0.52054
          47     0.52049
          48    0.520435
          49    0.520385
          50    0.520333
          51     0.52029
          52    0.520234
          53    0.520181
          54    0.520135
          55    0.520088
          56    0.520038
          57    0.519989
          58    0.519936
          59    0.519885
          60    0.519837
          61     0.51979
          62    0.519739
          63    0.519693
          64    0.519643
          65     0.51959
          66    0.519544
          67    0.519501
          68    0.519458
          69    0.519408
          70    0.519368
          71    0.519319
          72    0.519274
          73    0.519228
          74    0.519182
          75    0.519133
          76    0.519095
          77    0.519051
          78    0.519004
          79    0.518962
          80    0.518923
          81    0.518878
          82    0.518835
          83    0.518784
          84    0.518734
          85    0.518689
          86    0.518647
          87    0.518597
          88    0.518556
          89    0.518517
          90    0.518475
          91    0.518438
          92    0.518398
          93    0.518362
          94    0.518317
          95    0.518282
          96    0.518246
          97    0.518207
          98    0.518155
          99    0.518115
         100    0.518083
           1    0.517981
           2    0.517917
           3    0.517852
           4    0.517781
           5    0.517714
           6     0.51765
           7    0.517591
           8    0.517522
           9    0.517455
          10    0.517391
          11    0.517332
          12    0.517269
          13    0.517206
          14    0.517139
          15    0.517074
          16    0.517013
          17    0.516952
          18    0.516888
          19    0.516832
          20    0.516773
          21    0.516715
          22    0.516651
          23     0.51659
          24    0.516525
          25    0.516464
          26    0.516403
          27    0.516346
          28    0.516288
          29     0.51623
          30    0.516178
          31    0.516119
          32     0.51606
          33    0.515999
          34    0.515941
          35    0.515881
          36    0.515822
          37    0.515769
          38    0.515714
          39    0.515657
          40    0.515604
          41    0.515546
          42    0.515487
          43     0.51543
          44    0.515376
          45    0.515324
          46    0.515276
          47    0.515223
          48    0.515167
          49    0.515115
          50    0.515055
          51       0.515
          52    0.514945
          53    0.514891
          54    0.514843
          55    0.514793
          56    0.514739
          57    0.514685
          58    0.514629
          59    0.514578
          60    0.514525
          61    0.514472
          62    0.514428
          63    0.514383
          64    0.514338
          65    0.514286
          66    0.514233
          67    0.514183
          68    0.514133
          69    0.514089
          70    0.514039
          71    0.513987
          72    0.513939
          73    0.513893
          74    0.513844
          75    0.513795
          76    0.513749
          77    0.513706
          78    0.513664
          79    0.513618
          80    0.513572
          81    0.513527
          82    0.513483
          83    0.513436
          84    0.513389
          85    0.513342
          86    0.513288
          87    0.513245
          88    0.513203
          89     0.51316
          90    0.513116
          91    0.513074
          92    0.513028
          93    0.512988
          94    0.512943
          95    0.512901
          96    0.512857
          97    0.512814
          98    0.512767
          99     0.51272
         100    0.512673
           1    0.512576
           2    0.512508
           3    0.512442
           4    0.512379
           5    0.512309
           6    0.512243
           7    0.512178
           8    0.512113
           9    0.512047
          10    0.511979
          11    0.511912
          12    0.511844
          13    0.511784
          14     0.51172
          15    0.511662
          16    0.511598
          17     0.51154
          18    0.511471
          19    0.511407
          20    0.511345
          21    0.511282
          22    0.511222
          23    0.511161
          24    0.511099
          25    0.511034
          26    0.510973
          27    0.510913
          28     0.51085
          29    0.510792
          30    0.510738
          31    0.510682
          32    0.510626
          33    0.510568
          34    0.510511
          35    0.510453
          36    0.510394
