#     TEMP:    TE_AVE:      ERROR:
           2   0.0274508 0.000496436
        1.95   0.0292355  0.00056205
         1.9   0.0296951 0.000512082
        1.85   0.0311197 0.000597849
         1.8   0.0336425 0.000576918
        1.75   0.0359621  0.00066072
         1.7   0.0387666 0.000652102
        1.65   0.0396189 0.000724765
         1.6   0.0437632 0.000805616
        1.55   0.0451053 0.000793107
         1.5   0.0508105 0.000849381
        1.45   0.0547711 0.000947438
         1.4   0.0602238 0.000859237
        1.35   0.0666946  0.00109857
         1.3   0.0715425  0.00107402
        1.25   0.0763133  0.00113053
         1.2   0.0887329   0.0014966
        1.15    0.102959  0.00146841
         1.1    0.109155  0.00178879
        1.05    0.123248  0.00174022
           1    0.150082  0.00200125
        0.95    0.174859  0.00229441
         0.9     0.19886  0.00262029
        0.85    0.241114   0.0034307
         0.8    0.295558  0.00414657
        0.75    0.364559  0.00481432
         0.7    0.436482  0.00692019
        0.65    0.538552  0.00728569
         0.6    0.664195  0.00790744
        0.55    0.794236  0.00747233
         0.5    0.904613  0.00766684
