#     TEMP:    TE_AVE:      ERROR:
           2     0.19673 3.61129e-05
        1.95    0.204508 4.15791e-05
         1.9    0.212671 4.79476e-05
        1.85    0.221243 5.07904e-05
         1.8    0.230234 5.40527e-05
        1.75    0.239669 5.67951e-05
         1.7    0.249537 6.20812e-05
        1.65    0.259759 6.53517e-05
         1.6    0.270603 8.99799e-05
        1.55    0.282024 8.69659e-05
         1.5    0.293681 8.94831e-05
        1.45    0.305597 0.000112412
         1.4    0.318342 0.000113184
        1.35    0.330916 0.000129897
         1.3    0.344405 0.000157305
        1.25    0.357557 0.000186029
         1.2    0.370996 0.000196701
        1.15    0.383578 0.000212684
         1.1    0.395726 0.000244506
        1.05    0.407426 0.000291563
           1     0.41718 0.000413112
        0.95    0.424223 0.000439867
         0.9     0.42988 0.000525519
        0.85    0.428801 0.000585821
         0.8    0.422565 0.000943919
        0.75    0.403669  0.00117539
         0.7    0.377726  0.00171737
        0.65    0.332847  0.00214699
         0.6    0.270613  0.00280842
        0.55    0.194129  0.00322884
         0.5    0.111739  0.00291749
