#     TEMP:    TE_AVE:      ERROR:
           2     1.57411    0.076145
        1.95     1.65565   0.0796412
         1.9     1.74225   0.0833362
        1.85     1.84441   0.0874994
         1.8     1.94803   0.0917449
        1.75       2.069   0.0965616
         1.7     2.19473    0.101518
        1.65     2.33952    0.107003
         1.6      2.5113    0.113227
        1.55      2.6826    0.119574
         1.5     2.89441    0.126812
        1.45     3.14839    0.135053
         1.4     3.41466    0.143683
        1.35     3.72455    0.153016
         1.3     4.11116    0.164196
        1.25     4.51977    0.175619
         1.2      5.0457    0.189088
        1.15     5.73893    0.205042
         1.1     6.51452    0.222037
        1.05     7.42128    0.240801
           1     8.61302    0.261546
        0.95     10.2829     0.28625
         0.9     12.2394    0.314208
        0.85     15.1347    0.347805
         0.8     19.1039      0.3743
        0.75     24.8064    0.404594
         0.7     32.3638    0.399366
        0.65     42.9954    0.426473
         0.6     56.9627    0.403022
        0.55      73.126    0.339774
         0.5     90.9847    0.313273
