#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461027   -0.461027           0
           2    -0.46455   -0.462788  0.00124553
           3   -0.460008   -0.461862   0.0011234
           4   -0.462109   -0.461924 0.000844254
           5   -0.464017   -0.462342 0.000772239
           6   -0.461334   -0.462174 0.000661557
           7   -0.463707   -0.462393 0.000602217
           8   -0.464416   -0.462646 0.000577608
           9   -0.463407   -0.462731 0.000519572
          10   -0.463359   -0.462793 0.000471398
          11   -0.462793   -0.462793 0.000428544
          12   -0.463363   -0.462841 0.000395449
          13   -0.465168    -0.46302 0.000403502
          14   -0.463921   -0.463084 0.000379776
          15   -0.463434   -0.463107 0.000355171
          16   -0.464105    -0.46317 0.000338399
          17   -0.463635   -0.463197 0.000319598
          18   -0.465618   -0.463332 0.000328918
          19   -0.460103   -0.463162 0.000352775
          20   -0.463399   -0.463174 0.000335336
          21   -0.464256   -0.463225 0.000323305
          22   -0.462761   -0.463204 0.000309298
          23    -0.46443   -0.463257 0.000300411
          24   -0.464503   -0.463309 0.000292342
          25   -0.462909   -0.463293 0.000281086
          26   -0.463067   -0.463285  0.00027041
          27   -0.463107   -0.463278 0.000260475
          28   -0.464915   -0.463336 0.000257651
          29   -0.462146   -0.463295 0.000252012
          30   -0.461636    -0.46324 0.000249607
          31   -0.462816   -0.463226 0.000241929
          32   -0.466842   -0.463339 0.000259415
          33   -0.462484   -0.463313 0.000252846
          34   -0.462463   -0.463288 0.000246642
          35   -0.464103   -0.463312 0.000240691
          36   -0.463639   -0.463321 0.000234177
          37   -0.464188   -0.463344 0.000229017
          38   -0.463814   -0.463357 0.000223324
          39   -0.462494   -0.463335  0.00021869
          40    -0.46341   -0.463336 0.000213231
          41   -0.464908   -0.463375 0.000211449
          42   -0.463704   -0.463383  0.00020656
          43   -0.466719    -0.46346 0.000215841
          44   -0.464202   -0.463477 0.000211593
          45   -0.460081   -0.463402 0.000219939
          46   -0.462752   -0.463387 0.000215611
          47   -0.465408    -0.46343 0.000215268
          48   -0.458903   -0.463336 0.000230524
          49   -0.460489   -0.463278 0.000233027
          50   -0.462468   -0.463262 0.000228929
          51   -0.461953   -0.463236 0.000225874
