#   N_BLOCK:  ACCEPTANCE:
           1    0.533813
           2    0.534882
           3    0.533523
           4    0.533495
           5    0.533116
           6    0.533196
           7    0.533722
           8    0.534067
           9    0.534135
          10     0.53428
          11    0.534404
          12     0.53417
          13    0.534094
          14    0.533926
          15    0.534065
          16    0.534117
          17    0.534039
          18    0.534192
          19    0.534014
          20    0.533895
          21    0.533855
          22    0.533915
          23    0.534011
          24    0.534031
          25     0.53393
          26    0.533915
          27    0.533965
          28    0.533922
          29    0.533854
          30    0.533865
          31    0.533823
          32    0.533768
          33    0.533777
          34    0.533733
          35     0.53373
          36    0.533709
          37    0.533714
          38    0.533755
          39     0.53374
          40    0.533724
          41    0.533649
          42    0.533717
          43    0.533717
          44    0.533601
          45    0.533578
          46    0.533611
          47    0.533694
          48    0.533725
          49    0.533743
          50    0.533642
          51    0.533631
          52    0.533597
          53    0.533631
          54    0.533673
          55    0.533585
          56    0.533535
          57    0.533533
          58    0.533543
          59    0.533531
          60    0.533505
          61    0.533479
          62     0.53346
          63    0.533498
          64    0.533517
          65    0.533545
          66    0.533529
          67    0.533532
          68    0.533565
          69    0.533598
          70     0.53357
          71      0.5336
          72    0.533583
          73    0.533608
          74    0.533582
          75    0.533593
          76    0.533602
          77    0.533595
          78    0.533608
          79    0.533567
          80    0.533553
          81     0.53354
          82    0.533548
          83    0.533549
          84    0.533576
          85    0.533568
          86    0.533562
          87    0.533564
          88    0.533561
          89    0.533567
          90    0.533559
          91    0.533502
          92    0.533508
          93    0.533514
          94    0.533482
          95    0.533477
          96    0.533497
          97    0.533472
          98    0.533477
          99    0.533476
         100    0.533455
           1    0.533237
           2    0.533137
           3    0.533072
           4    0.532966
           5    0.532861
           6    0.532753
           7     0.53266
           8    0.532578
           9    0.532479
          10     0.53242
          11    0.532375
          12    0.532254
          13    0.532196
          14    0.532117
          15    0.532019
          16    0.531953
          17    0.531874
          18    0.531824
          19    0.531747
          20     0.53168
          21    0.531606
          22    0.531534
          23    0.531478
          24    0.531446
          25    0.531384
          26     0.53132
          27    0.531288
          28    0.531222
          29    0.531134
          30     0.53109
          31    0.531044
          32    0.531007
          33    0.530954
          34    0.530927
          35    0.530857
          36    0.530801
          37     0.53074
          38    0.530695
          39    0.530634
          40     0.53058
          41     0.53052
          42    0.530475
          43    0.530432
          44    0.530389
          45    0.530351
          46    0.530316
          47    0.530275
          48    0.530228
          49    0.530175
          50    0.530139
          51    0.530088
          52    0.530039
          53        0.53
          54    0.529964
          55    0.529915
          56    0.529875
          57     0.52984
          58      0.5298
          59    0.529766
          60    0.529735
          61    0.529704
          62    0.529665
          63    0.529631
          64    0.529588
          65    0.529555
          66    0.529513
          67    0.529498
          68    0.529454
          69    0.529413
          70    0.529377
          71    0.529324
          72     0.52929
          73    0.529254
          74    0.529209
          75     0.52916
          76    0.529099
          77    0.529075
          78    0.529043
          79    0.529011
          80    0.528975
          81    0.528945
          82    0.528907
          83    0.528872
          84    0.528837
          85    0.528818
          86    0.528788
          87    0.528753
          88     0.52873
          89    0.528709
          90    0.528689
          91     0.52867
          92    0.528657
          93    0.528635
          94    0.528616
          95    0.528569
          96    0.528546
          97    0.528517
          98    0.528479
          99    0.528443
         100    0.528412
           1    0.528254
           2    0.528164
           3    0.528079
           4    0.527987
           5    0.527912
           6    0.527857
           7    0.527782
           8    0.527709
           9    0.527645
          10    0.527568
          11    0.527511
          12     0.52745
          13    0.527375
          14    0.527303
          15     0.52723
          16    0.527175
          17    0.527122
          18    0.527042
          19    0.526977
          20    0.526901
          21    0.526843
          22    0.526776
          23    0.526703
          24    0.526638
          25    0.526588
          26    0.526535
          27    0.526471
          28    0.526418
          29    0.526371
          30    0.526306
          31    0.526257
          32      0.5262
          33    0.526133
          34    0.526076
          35    0.526026
          36    0.525993
          37    0.525941
          38    0.525877
          39    0.525832
          40    0.525788
          41    0.525722
          42    0.525681
          43    0.525632
          44    0.525589
          45    0.525543
          46     0.52549
          47    0.525447
          48    0.525393
          49    0.525354
          50    0.525291
          51    0.525243
          52    0.525198
          53    0.525146
          54    0.525107
          55    0.525054
          56    0.524995
          57    0.524948
          58    0.524893
          59    0.524832
          60    0.524793
          61    0.524759
          62    0.524697
          63    0.524656
          64     0.52462
          65    0.524578
          66    0.524543
          67    0.524514
          68    0.524479
          69    0.524442
          70    0.524398
          71    0.524362
          72    0.524321
          73    0.524265
          74    0.524235
          75    0.524183
          76    0.524141
          77    0.524108
          78    0.524071
          79    0.524035
          80     0.52399
          81    0.523956
          82    0.523909
          83    0.523862
          84    0.523825
          85    0.523784
          86    0.523753
          87    0.523713
          88    0.523689
          89    0.523659
          90    0.523608
          91    0.523565
          92    0.523525
          93    0.523484
          94    0.523463
          95    0.523421
          96    0.523381
          97    0.523352
          98    0.523322
          99    0.523292
         100    0.523256
           1    0.523112
           2     0.52303
           3    0.522963
           4    0.522902
           5    0.522837
           6    0.522778
           7     0.52271
           8    0.522642
           9    0.522578
          10    0.522509
          11    0.522447
          12    0.522393
          13    0.522322
          14    0.522259
          15    0.522198
          16    0.522134
          17    0.522076
          18    0.522005
          19    0.521933
          20     0.52187
          21    0.521802
          22    0.521739
          23    0.521668
          24    0.521604
          25    0.521552
          26    0.521487
          27    0.521428
          28    0.521366
          29    0.521312
          30    0.521251
          31    0.521195
          32    0.521135
          33    0.521092
          34    0.521038
          35    0.520981
          36    0.520924
          37    0.520857
          38    0.520808
          39    0.520755
          40    0.520692
          41    0.520622
          42    0.520573
          43    0.520521
          44    0.520462
          45    0.520411
          46    0.520357
          47    0.520306
          48    0.520251
          49    0.520199
          50    0.520145
          51    0.520097
          52    0.520066
          53    0.520014
          54    0.519977
          55    0.519926
          56    0.519876
          57    0.519825
          58    0.519773
          59    0.519718
          60    0.519662
          61    0.519606
          62    0.519554
          63    0.519511
          64    0.519459
          65    0.519412
          66    0.519377
          67    0.519327
          68    0.519294
          69    0.519251
          70    0.519189
          71    0.519152
          72    0.519111
          73    0.519082
          74    0.519026
          75    0.518992
          76    0.518948
          77    0.518902
          78    0.518858
          79    0.518812
          80    0.518768
          81     0.51872
          82    0.518678
          83    0.518625
          84     0.51858
          85    0.518541
          86    0.518495
          87    0.518447
          88    0.518406
          89    0.518375
          90    0.518334
          91    0.518297
          92    0.518262
          93    0.518212
          94     0.51817
          95    0.518128
          96    0.518086
          97    0.518044
          98    0.518007
          99    0.517974
         100    0.517941
           1    0.517807
           2    0.517737
           3    0.517668
           4    0.517601
           5    0.517542
           6    0.517473
           7    0.517416
           8    0.517356
           9     0.51729
          10    0.517226
          11    0.517167
          12    0.517096
          13    0.517024
          14    0.516961
          15    0.516901
          16    0.516842
          17    0.516781
          18    0.516716
          19    0.516649
          20    0.516593
          21    0.516529
          22    0.516462
          23    0.516396
          24    0.516331
          25    0.516273
          26    0.516205
          27    0.516139
          28    0.516075
          29     0.51601
          30    0.515949
          31    0.515891
          32    0.515832
          33    0.515775
          34    0.515725
          35     0.51567
          36    0.515621
          37     0.51556
          38    0.515504
          39    0.515443
          40    0.515386
          41    0.515337
          42     0.51528
          43    0.515217
          44    0.515162
          45    0.515102
          46    0.515049
          47    0.514998
          48    0.514942
          49    0.514887
          50    0.514839
          51    0.514785
          52    0.514727
          53    0.514673
          54    0.514618
          55    0.514576
          56    0.514516
          57    0.514472
          58    0.514427
          59    0.514373
          60    0.514334
          61    0.514287
          62    0.514242
          63    0.514197
          64    0.514141
          65    0.514089
          66    0.514033
          67    0.513982
          68    0.513934
          69    0.513887
          70    0.513834
          71    0.513787
          72    0.513735
          73    0.513688
          74    0.513643
          75    0.513591
          76    0.513543
          77    0.513494
          78    0.513445
          79    0.513398
          80    0.513355
          81    0.513304
          82    0.513257
          83    0.513211
          84    0.513169
          85    0.513122
          86    0.513078
          87    0.513042
          88    0.512997
          89    0.512951
          90     0.51291
          91     0.51287
          92    0.512822
          93     0.51278
          94    0.512729
          95    0.512693
          96    0.512651
          97    0.512611
          98    0.512573
          99    0.512527
         100    0.512487
           1    0.512357
           2    0.512289
           3    0.512226
           4    0.512155
           5    0.512091
           6    0.512028
           7    0.511964
           8    0.511901
           9    0.511841
          10    0.511787
          11    0.511722
          12    0.511658
          13    0.511604
          14    0.511553
          15    0.511493
          16    0.511436
          17    0.511382
          18    0.511315
          19    0.511253
          20    0.511192
          21    0.511131
          22    0.511073
          23    0.511017
          24     0.51096
          25    0.510902
          26    0.510842
          27    0.510788
          28    0.510735
          29    0.510681
          30    0.510619
          31    0.510563
          32    0.510506
          33    0.510459
          34     0.51041
          35    0.510353
          36    0.510293
          37    0.510228
          38    0.510164
          39    0.510106
          40    0.510058
          41    0.509994
          42    0.509935
          43    0.509882
          44    0.509823
          45    0.509764
          46    0.509706
          47    0.509656
          48    0.509594
          49    0.509543
          50    0.509487
          51    0.509431
          52    0.509377
          53    0.509334
          54    0.509288
          55     0.50923
          56    0.509175
          57    0.509114
          58    0.509066
          59    0.509014
          60    0.508965
          61    0.508918
          62    0.508868
          63    0.508814
          64    0.508758
          65    0.508708
          66    0.508659
          67     0.50861
          68    0.508559
          69    0.508507
          70    0.508457
          71    0.508404
          72    0.508355
          73    0.508302
          74    0.508248
          75    0.508197
          76    0.508145
          77    0.508094
          78    0.508045
          79    0.507994
          80    0.507939
          81    0.507883
          82    0.507831
          83    0.507776
          84    0.507722
          85    0.507673
