#     TEMP:    TE_AVE:      ERROR:
           2   0.0280513 0.000848695
        1.95   0.0284138 0.000796218
         1.9   0.0308669  0.00101034
        1.85   0.0332051 0.000916882
         1.8   0.0344034  0.00102164
        1.75   0.0356523  0.00094064
         1.7   0.0352734  0.00106917
        1.65   0.0383793  0.00107031
         1.6   0.0449319  0.00115584
        1.55     0.04647  0.00142524
         1.5   0.0503715  0.00134613
        1.45   0.0524369  0.00140213
         1.4   0.0600726  0.00154554
        1.35   0.0639767  0.00154868
         1.3   0.0688061  0.00173073
        1.25   0.0776323  0.00189998
         1.2    0.090421  0.00209983
        1.15    0.094653    0.002159
         1.1    0.110581  0.00255497
        1.05    0.126362  0.00312417
           1    0.140857   0.0033089
        0.95    0.172445  0.00371331
         0.9    0.201106  0.00436598
        0.85    0.233372  0.00530041
         0.8    0.292675   0.0070802
        0.75    0.355287  0.00775137
         0.7    0.437358   0.0109432
        0.65     0.56376  0.00946439
         0.6    0.684699   0.0125212
        0.55    0.802266   0.0113901
         0.5    0.882845   0.0147977
