#     TEMP:    TE_AVE:      ERROR:
           2    0.196682 5.19683e-05
        1.95    0.204496 5.49606e-05
         1.9    0.212675 7.16739e-05
        1.85    0.221235 8.22028e-05
         1.8    0.230128  7.9273e-05
        1.75    0.239727 0.000108603
         1.7    0.249635 0.000100736
        1.65    0.259757 0.000107027
         1.6    0.270713 0.000123366
        1.55    0.281851 0.000135192
         1.5    0.293474 0.000154872
        1.45    0.306296 0.000168263
         1.4    0.318079  0.00017862
        1.35    0.331466 0.000198333
         1.3    0.344563 0.000244072
        1.25    0.357528 0.000255636
         1.2    0.370578 0.000292116
        1.15    0.383893 0.000348384
         1.1    0.396735 0.000415617
        1.05    0.407581 0.000540929
           1    0.417663 0.000624999
        0.95     0.42481 0.000727647
         0.9    0.428753 0.000715313
        0.85    0.428592  0.00109752
         0.8    0.421367   0.0013565
        0.75    0.406381  0.00182868
         0.7    0.376243  0.00263097
        0.65    0.330156  0.00330904
         0.6    0.262386  0.00408785
        0.55    0.196281  0.00426985
         0.5    0.113837  0.00451567
