#     TEMP:    TE_AVE:      ERROR:
           2     1.57554   0.0760641
        1.95     1.65314   0.0794937
         1.9     1.74617   0.0833385
        1.85     1.83824   0.0872201
         1.8     1.94365   0.0915336
        1.75     2.05998   0.0962129
         1.7     2.18684     0.10122
        1.65     2.33958    0.106832
         1.6     2.50501    0.112878
        1.55     2.69896    0.119566
         1.5     2.88934    0.126395
        1.45     3.11764    0.134024
         1.4     3.38905    0.142535
        1.35      3.7241    0.152562
         1.3      4.0608    0.162692
        1.25     4.53115    0.174693
         1.2     5.06359    0.188211
        1.15     5.66789    0.202415
         1.1     6.42053    0.218626
        1.05     7.37026     0.23592
           1     8.62722    0.257795
        0.95      10.227    0.281667
         0.9     12.3981    0.303105
        0.85      15.283    0.327074
         0.8     19.2314    0.341602
        0.75     24.3513    0.350751
         0.7     32.7415    0.244448
        0.65     43.5745    0.199652
         0.6     58.0617    0.107875
        0.55     72.9237    0.153786
         0.5     90.6714    0.257277
