#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461735   -0.461735           0
           2   -0.458835   -0.460285  0.00102523
           3   -0.467275   -0.462615  0.00202141
           4   -0.463392   -0.462809  0.00152537
           5   -0.462704   -0.462788  0.00122044
           6   -0.462212   -0.462692   0.0010208
           7   -0.457145     -0.4619  0.00114185
           8   -0.460806   -0.461763  0.00100727
           9   -0.461275   -0.461709 0.000896811
          10   -0.463855   -0.461924 0.000832415
          11   -0.462135   -0.461943 0.000756962
          12   -0.463814   -0.462099 0.000709754
          13   -0.463588   -0.462213 0.000664339
          14   -0.463739   -0.462322 0.000625759
          15   -0.460102   -0.462174 0.000601295
          16   -0.462656   -0.462204 0.000564469
          17    -0.46442   -0.462335 0.000546099
          18   -0.459994   -0.462205 0.000531014
          19   -0.466765   -0.462445 0.000554673
          20   -0.466474   -0.462646 0.000562345
          21   -0.463463   -0.462685 0.000536909
          22   -0.462748   -0.462688 0.000512512
          23   -0.462426   -0.462676 0.000490355
          24   -0.463232     -0.4627 0.000470469
          25   -0.465045   -0.462793 0.000460911
          26   -0.463306   -0.462813 0.000443605
          27   -0.462864   -0.462815 0.000427179
          28   -0.463331   -0.462833 0.000412319
          29   -0.464122   -0.462878 0.000400489
          30   -0.461767   -0.462841 0.000388847
          31   -0.462344   -0.462825 0.000376633
          32    -0.46696   -0.462954 0.000386397
          33    -0.46382    -0.46298 0.000375578
          34   -0.465158   -0.463044 0.000369954
          35   -0.464438   -0.463084 0.000361519
          36   -0.462736   -0.463075 0.000351606
          37   -0.465421   -0.463138 0.000347776
          38   -0.460931    -0.46308 0.000343439
          39   -0.465824    -0.46315 0.000341764
          40   -0.463934    -0.46317 0.000333781
          41   -0.466754   -0.463257 0.000336892
          42   -0.462316   -0.463235 0.000329615
          43   -0.463145   -0.463233 0.000321956
          44   -0.467783   -0.463336 0.000330831
          45   -0.463135   -0.463332  0.00032351
          46   -0.460605   -0.463272 0.000321863
          47   -0.457642   -0.463153 0.000336572
          48   -0.460633     -0.4631 0.000333629
          49   -0.460411   -0.463045 0.000331303
          50   -0.469466   -0.463174 0.000348674
          51   -0.462987    -0.46317 0.000341857
          52    -0.46379   -0.463182 0.000335491
          53   -0.464713   -0.463211 0.000330402
          54   -0.460158   -0.463154 0.000329086
          55   -0.465895   -0.463204 0.000326853
          56   -0.464525   -0.463228 0.000321867
          57   -0.462779    -0.46322 0.000316316
          58   -0.462954   -0.463215 0.000310895
          59    -0.46464   -0.463239 0.000306563
          60   -0.467434   -0.463309 0.000309324
          61   -0.464304   -0.463326 0.000304682
          62   -0.464143   -0.463339 0.000300053
          63   -0.460209   -0.463289 0.000299375
          64   -0.462737    -0.46328 0.000294822
          65   -0.463548   -0.463285 0.000290315
          66   -0.464369   -0.463301 0.000286381
          67   -0.464082   -0.463313 0.000282344
          68   -0.461604   -0.463288 0.000279307
          69   -0.464007   -0.463298 0.000275454
          70   -0.465992   -0.463336 0.000274193
          71   -0.461116   -0.463305 0.000272109
          72   -0.463367   -0.463306 0.000268331
          73   -0.460141   -0.463263 0.000268135
          74   -0.464084   -0.463274 0.000264741
          75   -0.460749    -0.46324 0.000263342
          76   -0.463011   -0.463237 0.000259894
          77   -0.463587   -0.463242 0.000256559
          78   -0.463391   -0.463244 0.000253277
          79   -0.467093   -0.463292 0.000254714
          80   -0.467064   -0.463339 0.000255858
          81   -0.464784   -0.463357 0.000253319
          82   -0.461851   -0.463339 0.000250895
          83   -0.463889   -0.463345  0.00024796
          84   -0.461206    -0.46332 0.000246312
          85   -0.460638   -0.463288 0.000245428
          86   -0.463609   -0.463292 0.000242602
          87   -0.462984   -0.463289 0.000239839
          88   -0.465028   -0.463308 0.000237927
          89   -0.463155   -0.463307  0.00023526
          90    -0.46458   -0.463321 0.000233071
          91   -0.466525   -0.463356 0.000233155
          92   -0.461503   -0.463336 0.000231489
          93   -0.461873    -0.46332 0.000229534
          94   -0.467305   -0.463363 0.000230973
          95   -0.462799   -0.463357 0.000228618
          96   -0.458177   -0.463303 0.000232515
          97   -0.465705   -0.463327 0.000231433
          98   -0.461169   -0.463305 0.000230117
          99   -0.464198   -0.463314  0.00022797
         100   -0.465512   -0.463336 0.000226746
           1   -0.474521   -0.474521           0
           2   -0.478294   -0.476408  0.00133396
           3   -0.469434   -0.474083  0.00209606
           4   -0.476013   -0.474566  0.00162664
           5   -0.478405   -0.475334  0.00147139
           6   -0.474499   -0.475194  0.00123272
           7   -0.474611   -0.475111  0.00105943
           8   -0.471146   -0.474615  0.00103648
           9   -0.475877   -0.474756 0.000930754
          10   -0.472125   -0.474493 0.000874076
          11   -0.470318   -0.474113 0.000873108
          12    -0.47524   -0.474207  0.00080538
          13   -0.472427    -0.47407 0.000754974
          14   -0.476495   -0.474243 0.000720646
          15   -0.475102   -0.474301 0.000674875
          16   -0.474642   -0.474322 0.000633034
          17     -0.4772   -0.474491 0.000618014
          18   -0.469443   -0.474211 0.000644171
          19   -0.472239   -0.474107 0.000618572
          20    -0.47278   -0.474041 0.000591191
          21   -0.472345    -0.47396 0.000568528
          22   -0.473082    -0.47392 0.000544085
          23   -0.472122   -0.473842 0.000526012
          24   -0.470131   -0.473687 0.000526324
          25   -0.474288   -0.473711 0.000505819
          26   -0.472605   -0.473669  0.00048815
          27   -0.468235   -0.473467 0.000509869
          28   -0.473673   -0.473475 0.000491713
          29   -0.475925   -0.473559 0.000481961
          30   -0.474585   -0.473593 0.000467107
          31   -0.469878   -0.473474 0.000467161
          32   -0.470357   -0.473376 0.000462602
          33   -0.472195    -0.47334 0.000449967
          34   -0.470747   -0.473264 0.000443151
          35   -0.474179    -0.47329 0.000431259
          36   -0.474368    -0.47332 0.000420317
          37   -0.473763   -0.473332 0.000409127
          38    -0.47019    -0.47325 0.000406633
          39   -0.474876   -0.473291 0.000398339
          40   -0.474596   -0.473324 0.000389713
          41   -0.471482   -0.473279 0.000382788
          42   -0.474387   -0.473305 0.000374582
          43   -0.471913   -0.473273 0.000367268
          44   -0.470068     -0.4732 0.000366071
          45   -0.472033   -0.473174 0.000358854
          46    -0.47217   -0.473152 0.000351716
          47    -0.47268   -0.473142 0.000344376
          48    -0.47239   -0.473127 0.000337558
