#   N_BLOCK:  ACCEPTANCE:
           1    0.509912
           2    0.511229
           3    0.511571
           4    0.511446
           5    0.511956
           6    0.511491
           7    0.511299
           8    0.511046
           9    0.510907
          10    0.510875
          11    0.510983
          12    0.510905
          13    0.510822
          14    0.510713
          15    0.510779
          16    0.510652
          17     0.51071
          18    0.510695
          19    0.510654
          20    0.510639
          21    0.510741
          22    0.510707
          23    0.510608
          24    0.510612
          25     0.51057
          26    0.510527
          27    0.510586
          28    0.510572
          29     0.51059
          30    0.510522
          31     0.51054
          32    0.510473
          33    0.510399
          34    0.510501
          35    0.510426
          36    0.510394
          37    0.510425
          38    0.510429
          39    0.510404
          40    0.510367
          41    0.510427
          42    0.510452
          43    0.510446
          44    0.510498
          45    0.510545
          46    0.510609
          47    0.510552
          48     0.51048
          49    0.510451
          50    0.510439
          51    0.510522
          52    0.510492
          53    0.510485
          54    0.510437
          55    0.510435
          56    0.510437
          57    0.510383
          58    0.510398
          59     0.51041
          60    0.510395
          61    0.510408
          62    0.510383
          63    0.510459
          64    0.510481
          65    0.510518
          66    0.510531
          67    0.510553
          68    0.510546
          69    0.510526
          70    0.510509
          71    0.510517
          72    0.510494
          73     0.51047
          74    0.510466
          75     0.51047
          76    0.510487
          77    0.510514
          78    0.510526
          79    0.510527
          80     0.51051
          81    0.510445
          82    0.510445
          83    0.510444
          84    0.510424
          85    0.510429
          86    0.510428
          87    0.510432
          88    0.510473
          89    0.510481
          90    0.510475
          91    0.510447
          92    0.510436
          93    0.510417
          94    0.510397
          95    0.510378
          96    0.510364
          97    0.510339
          98    0.510316
          99    0.510301
         100    0.510299
