#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.07077     1.07077           0
           2     1.00058     1.03568   0.0248167
           3    0.997508     1.02295   0.0195354
           4     1.08968     1.03964   0.0205765
           5    0.991788     1.03007   0.0185536
           6     1.11731     1.04461   0.0203771
           7      1.1126     1.05432   0.0196449
           8     1.05445     1.05434   0.0171893
           9      1.1323       1.063   0.0173254
          10     1.06357     1.06306    0.015593
          11     1.02765     1.05984   0.0145038
          12     1.07456     1.06106    0.013347
          13     1.08399     1.06283   0.0124362
          14     1.04364     1.06146   0.0116232
          15     1.11488     1.06502    0.011381
          16     1.10373     1.06744   0.0109238
          17     1.02841     1.06514   0.0105197
          18     1.09784     1.06696   0.0100909
          19     1.12655      1.0701   0.0100354
          20     1.12195     1.07269  0.00986295
          21     1.07476     1.07279  0.00939378
          22     1.08362     1.07328  0.00897968
          23     1.09346     1.07416  0.00863202
          24     1.09352     1.07496  0.00830998
          25     1.11649     1.07662  0.00814186
          26     1.06813      1.0763  0.00783526
          27     1.03414     1.07474   0.0076991
          28     1.09751     1.07555  0.00746698
          29      1.0156     1.07348  0.00749015
          30     1.13948     1.07568  0.00755663
          31     1.03129     1.07425   0.0074473
          32     1.15563     1.07679  0.00763643
          33     1.20135     1.08057  0.00828544
          34    0.950688     1.07675  0.00887879
          35     1.09692     1.07732  0.00864379
          36     1.17485     1.08003  0.00881795
          37     1.12546     1.08126  0.00866467
          38     1.09922     1.08173  0.00844954
          39     1.03658     1.08058  0.00831182
          40     1.14079     1.08208  0.00823919
          41      1.0407     1.08107  0.00809981
          42     1.08892     1.08126  0.00790911
          43     1.13795     1.08258   0.0078343
          44     1.08595     1.08265  0.00765662
          45     1.06585     1.08228  0.00749557
          46     1.07289     1.08208   0.0073354
          47     1.11535     1.08278  0.00721342
          48     1.16935     1.08459  0.00728512
          49     1.16043     1.08614  0.00729903
          50     1.07215     1.08586  0.00715841
          51    0.983872     1.08386    0.007292
          52     1.05174     1.08324  0.00717788
          53     1.08959     1.08336  0.00704345
          54     1.23974     1.08625  0.00748475
          55     1.17221     1.08782  0.00751007
          56     1.11684     1.08834  0.00739382
          57      1.2005      1.0903   0.0075214
          58      1.0284     1.08924  0.00746707
          59     1.08023     1.08908  0.00734207
          60     1.09764     1.08923  0.00722109
          61     1.10406     1.08947   0.0071068
          62     1.12351     1.09002  0.00701336
          63     1.01128     1.08877   0.0070125
          64     1.03225     1.08789  0.00695832
          65     1.00947     1.08668  0.00695506
          66     1.00899      1.0855  0.00694858
          67      1.0794     1.08541  0.00684546
          68     1.07317     1.08523  0.00674716
          69     1.15692     1.08627   0.0067289
          70     1.11094     1.08662  0.00664199
          71     1.10049     1.08682  0.00655131
          72     1.13267     1.08745  0.00649119
          73     1.13905     1.08816  0.00644063
          74     1.04175     1.08753  0.00638407
          75     1.05206     1.08706  0.00631644
          76     1.00318     1.08596  0.00632902
          77      1.0405     1.08537   0.0062743
          78     1.01282     1.08444  0.00626242
          79     1.05041     1.08401  0.00619795
          80     1.26858     1.08631   0.0065358
          81     1.24078     1.08822  0.00672755
          82     1.08999     1.08824  0.00664554
          83     1.09647     1.08834  0.00656621
          84     1.10208      1.0885  0.00649008
          85    0.968749      1.0871  0.00656487
          86     1.14101     1.08772   0.0065184
          87     1.05815     1.08738  0.00645233
          88    0.945752     1.08577  0.00657667
          89     1.10442     1.08598  0.00650611
          90     1.10078     1.08615   0.0064359
          91     1.13663      1.0867  0.00638904
          92     1.11691     1.08703  0.00632803
          93     1.04388     1.08657  0.00627697
          94     1.15611     1.08731  0.00625364
          95     1.14732     1.08794  0.00621963
          96     1.08536     1.08791   0.0061549
          97     1.10959     1.08813  0.00609551
          98     1.20594     1.08934   0.0061507
          99     1.13893     1.08984  0.00610894
         100     1.12956     1.09023  0.00606075
