#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.47356    -5.47356           0
           2    -5.49151    -5.48253  0.00634647
           3    -5.47881    -5.48129  0.00435073
           4    -5.46059    -5.47612  0.00554402
           5    -5.48056      -5.477  0.00450582
           6    -5.46059    -5.47427  0.00450923
           7    -5.45917    -5.47211  0.00435069
           8    -5.46988    -5.47183  0.00381582
           9    -5.46101    -5.47063  0.00357631
          10    -5.47454    -5.47102  0.00324001
          11    -5.47928    -5.47177  0.00303126
          12    -5.47173    -5.47177  0.00277866
          13    -5.46654    -5.47137  0.00259384
          14    -5.47624    -5.47171   0.0024318
          15    -5.46167    -5.47105  0.00236007
          16    -5.46379    -5.47059  0.00225576
          17    -5.47467    -5.47083  0.00213578
          18    -5.47121    -5.47085  0.00201723
          19    -5.46238    -5.47041  0.00195976
          20    -5.46361    -5.47007  0.00189104
          21    -5.46838    -5.46999  0.00180269
          22    -5.47066    -5.47002  0.00172101
          23     -5.4713    -5.47007  0.00164708
          24    -5.46693    -5.46994  0.00158366
          25    -5.46369    -5.46969  0.00153995
          26     -5.4767    -5.46996  0.00150415
          27    -5.47905     -5.4703  0.00148567
          28    -5.46323    -5.47005  0.00145388
          29    -5.48817    -5.47067  0.00153218
          30    -5.45445    -5.47013  0.00157367
          31    -5.46954    -5.47011  0.00152302
          32    -5.44981    -5.46948  0.00160208
          33    -5.44663    -5.46878  0.00169651
          34      -5.487    -5.46932  0.00172914
          35    -5.46833    -5.46929  0.00167997
          36    -5.45641    -5.46893  0.00167098
          37    -5.46525    -5.46883  0.00162878
          38    -5.46707    -5.46879  0.00158657
          39    -5.47927    -5.46906  0.00156851
          40    -5.45499     -5.4687  0.00156825
          41    -5.47832    -5.46894  0.00154745
          42    -5.47024    -5.46897  0.00151091
          43    -5.46017    -5.46877  0.00148958
          44     -5.4657     -5.4687  0.00145736
          45    -5.47022    -5.46873  0.00142536
          46    -5.46922    -5.46874  0.00139442
          47    -5.46707     -5.4687   0.0013652
          48    -5.45188    -5.46835    0.001381
          49    -5.46417    -5.46827  0.00135545
          50    -5.48011    -5.46851  0.00134888
          51    -5.48839     -5.4689  0.00137762
          52    -5.47001    -5.46892   0.0013513
          53    -5.46237    -5.46879  0.00133144
          54    -5.44456    -5.46834  0.00138033
          55     -5.4575    -5.46815  0.00136924
          56    -5.45869    -5.46798  0.00135517
          57    -5.44232    -5.46753  0.00140414
          58    -5.47884    -5.46772  0.00139342
          59    -5.46803    -5.46773  0.00136981
          60    -5.46673    -5.46771  0.00134708
          61    -5.46349    -5.46764  0.00132678
          62    -5.46456    -5.46759  0.00130631
          63    -5.47969    -5.46779  0.00129961
          64    -5.47612    -5.46792  0.00128581
          65    -5.48046    -5.46811  0.00128044
          66    -5.48314    -5.46834  0.00128113
          67    -5.46511    -5.46829  0.00126291
          68    -5.47109    -5.46833  0.00124501
          69    -5.45756    -5.46817  0.00123671
          70    -5.46191    -5.46808  0.00122227
          71    -5.46474    -5.46804  0.00120597
          72    -5.46361    -5.46798  0.00119078
          73    -5.45337    -5.46777  0.00119116
          74    -5.48061    -5.46795  0.00118763
          75     -5.4751    -5.46804  0.00117561
          76     -5.4879     -5.4683  0.00118883
          77    -5.47288    -5.46836  0.00117488
          78     -5.4819    -5.46854  0.00117257
          79    -5.47634    -5.46864  0.00116187
          80    -5.43308    -5.46819  0.00122941
          81    -5.44386    -5.46789  0.00125041
          82    -5.46446    -5.46785  0.00123586
          83    -5.46671    -5.46784  0.00122105
          84    -5.46546    -5.46781  0.00120684
          85    -5.49174    -5.46809  0.00122503
          86    -5.46354    -5.46804  0.00121193
          87    -5.47097    -5.46807  0.00119847
          88    -5.49642    -5.46839  0.00122737
          89     -5.4684    -5.46839  0.00121358
          90    -5.46555    -5.46836  0.00120051
          91    -5.45399     -5.4682  0.00119766
          92    -5.46028    -5.46812  0.00118773
          93    -5.48062    -5.46825  0.00118255
          94    -5.45562    -5.46812  0.00117758
          95     -5.4556    -5.46799  0.00117254
          96    -5.46909      -5.468  0.00116038
          97    -5.46021    -5.46792  0.00115119
          98    -5.44353    -5.46767  0.00116603
          99    -5.45607    -5.46755  0.00116012
         100    -5.46331    -5.46751  0.00114929
