#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0355413  -0.0355413           0
           2  -0.0359359  -0.0357386 0.000139529
           3   -0.036386  -0.0359544 0.000199244
           4   -0.036776  -0.0361598 0.000232317
           5  -0.0370723  -0.0363423 0.000247361
           6  -0.0374781  -0.0365316 0.000268989
           7  -0.0378284  -0.0367168 0.000287363
           8  -0.0381771  -0.0368994 0.000303933
           9  -0.0390307  -0.0371362 0.000350484
          10  -0.0401379  -0.0374364  0.00042496
          11  -0.0403489  -0.0377011 0.000461499
          12  -0.0410201  -0.0379777 0.000499086
          13  -0.0414298  -0.0382433 0.000526621
          14   -0.042059  -0.0385158 0.000555072
          15  -0.0424767  -0.0387799 0.000577469
          16  -0.0429972  -0.0390434 0.000598517
          17  -0.0433808  -0.0392986 0.000615293
          18  -0.0439058  -0.0395545 0.000632109
          19  -0.0440556  -0.0397914 0.000641698
          20  -0.0449135  -0.0400475 0.000658739
          21  -0.0462205  -0.0403415 0.000689845
          22  -0.0467443  -0.0406325 0.000717258
          23  -0.0473472  -0.0409245 0.000743116
          24  -0.0473748  -0.0411932 0.000759201
          25   -0.048138   -0.041471 0.000777997
          26  -0.0491328  -0.0417657 0.000801944
          27  -0.0505113  -0.0420896 0.000835098
          28   -0.051536   -0.042427 0.000870757
          29  -0.0515097  -0.0427402 0.000895287
          30  -0.0522171  -0.0430561 0.000919487
          31  -0.0539909  -0.0434088 0.000955092
          32  -0.0544334  -0.0437533 0.000985425
          33  -0.0547118  -0.0440854  0.00100997
          34  -0.0566419  -0.0444547  0.00104561
          35  -0.0598149  -0.0448936    0.001104
          36  -0.0624126  -0.0453802   0.0011757
          37   -0.069987  -0.0460453  0.00131867
          38   -0.070151  -0.0466796  0.00142843
          39  -0.0690519  -0.0472533  0.00150258
          40  -0.0719776  -0.0478714  0.00158707
          41   -0.074682  -0.0485253  0.00167767
          42  -0.0765267   -0.049192  0.00176524
          43  -0.0797256  -0.0499021  0.00186153
          44  -0.0828603  -0.0506511  0.00196416
          45  -0.0823032  -0.0513545  0.00204257
          46  -0.0890277  -0.0521735  0.00215611
          47   -0.089331  -0.0529641  0.00225052
          48  -0.0890163  -0.0537152  0.00232559
          49  -0.0853136    -0.05436  0.00236585
          50  -0.0833982  -0.0549408  0.00238875
          51  -0.0888394  -0.0556055  0.00243263
          52  -0.0915968  -0.0562976  0.00248236
          53  -0.0928284  -0.0569869  0.00252941
          54  -0.0944053  -0.0576798  0.00257573
          55  -0.0961687  -0.0583796  0.00262224
          56  -0.0962321  -0.0590555  0.00266111
          57    -0.09654  -0.0597132  0.00269445
          58  -0.0932934  -0.0602921  0.00270949
          59  -0.0948134  -0.0608772  0.00272601
          60  -0.0919473  -0.0613951  0.00272932
          61  -0.0912262  -0.0618841  0.00272803
          62  -0.0976129  -0.0624604  0.00274422
          63   -0.097447  -0.0630157  0.00275628
          64  -0.0943759  -0.0635057  0.00275643
          65  -0.0911866  -0.0639316  0.00274672
          66  -0.0941278  -0.0643891  0.00274294
          67   -0.094999   -0.064846  0.00273979
          68  -0.0973192  -0.0653235   0.0027408
          69  -0.0961589  -0.0657704  0.00273727
          70  -0.0993407    -0.06625  0.00273985
          71  -0.0978315  -0.0666948  0.00273713
          72  -0.0977442   -0.067126  0.00273288
          73  -0.0977931  -0.0675461  0.00272754
          74  -0.0988886  -0.0679697  0.00272337
          75     -0.1059  -0.0684754  0.00273361
          76   -0.107098  -0.0689836  0.00274447
          77   -0.112686  -0.0695512   0.0027669
          78   -0.121455  -0.0702166   0.0028103
          79    -0.12611  -0.0709241   0.0028624
          80   -0.133157   -0.071702  0.00293042
          81    -0.13869  -0.0725291  0.00300868
          82   -0.132586  -0.0732615  0.00305984
          83   -0.137852  -0.0740397  0.00312036
          84   -0.144225  -0.0748752  0.00319312
          85   -0.155806  -0.0758273  0.00329445
          86   -0.151886  -0.0767117  0.00337277
          87   -0.149422  -0.0775475  0.00343598
          88   -0.152551  -0.0783998  0.00350105
          89   -0.156669  -0.0792792  0.00357046
          90   -0.154444  -0.0801144  0.00362715
          91    -0.15291  -0.0809143  0.00367445
          92   -0.150686  -0.0816727  0.00371195
          93   -0.157619  -0.0824894  0.00376079
          94   -0.137204  -0.0830714  0.00376556
          95   -0.153461  -0.0838124  0.00379812
          96   -0.138325  -0.0843802  0.00380076
          97    -0.16194  -0.0851798  0.00384477
          98   -0.171141   -0.086057  0.00390431
          99   -0.166178  -0.0868663  0.00394786
         100   -0.185933  -0.0878569  0.00403076
         101   -0.186719  -0.0888357  0.00410798
         102   -0.185803  -0.0897864  0.00417626
         103   -0.190104  -0.0907604  0.00424777
         104   -0.197757  -0.0917892  0.00432972
         105   -0.191183  -0.0927358  0.00439074
         106   -0.184899  -0.0936053  0.00443457
         107   -0.176417  -0.0943792  0.00446015
         108   -0.172345  -0.0951011   0.0044769
         109   -0.180331   -0.095883  0.00450359
         110   -0.174737  -0.0965999  0.00451934
         111   -0.172307  -0.0972819   0.0045298
         112   -0.190809   -0.098117  0.00456568
         113   -0.194895  -0.0989734   0.0046049
         114   -0.195415  -0.0998194  0.00464157
         115   -0.189955   -0.100603  0.00466691
         116   -0.191868    -0.10139  0.00469253
         117   -0.183562   -0.102092  0.00470468
         118   -0.180645   -0.102758  0.00471168
         119   -0.181563    -0.10342  0.00471839
         120   -0.185261   -0.104102   0.0047281
         121   -0.182083   -0.104747  0.00473275
         122   -0.182377   -0.105383  0.00473654
         123   -0.182522    -0.10601  0.00473937
         124    -0.18049   -0.106611  0.00473905
         125    -0.16983   -0.107117  0.00472805
         126   -0.180387   -0.107698  0.00472615
         127   -0.175482   -0.108232  0.00471898
         128   -0.176696   -0.108767  0.00471233
         129   -0.171608   -0.109254  0.00470091
         130   -0.175053    -0.10976  0.00469192
         131    -0.17753   -0.110277  0.00468454
         132    -0.17556   -0.110772  0.00467508
         133   -0.182798   -0.111313  0.00467119
         134   -0.174892   -0.111788  0.00466037
         135   -0.174339   -0.112251  0.00464882
         136   -0.167633   -0.112658  0.00463244
         137   -0.168769   -0.113068   0.0046167
         138   -0.170606   -0.113485  0.00460203
         139   -0.176177   -0.113936  0.00459097
         140   -0.178163   -0.114395  0.00458104
         141   -0.181333   -0.114869  0.00457309
         142   -0.189663   -0.115396  0.00457111
         143   -0.183038   -0.115869  0.00456356
         144   -0.185931   -0.116356  0.00455773
         145   -0.188028    -0.11685  0.00455302
         146   -0.164338   -0.117175  0.00453344
         147   -0.159138   -0.117461  0.00451158
         148   -0.176762   -0.117861  0.00449885
         149   -0.171267    -0.11822  0.00448291
         150   -0.178578   -0.118622  0.00447105
         151   -0.170746   -0.118967  0.00445474
         152   -0.162073   -0.119251  0.00443445
         153   -0.180531   -0.119652  0.00442352
         154   -0.175307   -0.120013  0.00440954
         155   -0.184712    -0.12043   0.0044008
         156   -0.168041   -0.120736  0.00438316
         157   -0.180273   -0.121115  0.00437161
         158     -0.1951   -0.121583  0.00436895
         159   -0.191189   -0.122021  0.00436335
         160    -0.18769   -0.122431  0.00435534
         161   -0.191857   -0.122862  0.00434958
         162   -0.191771   -0.123288  0.00434348
         163   -0.192859   -0.123715  0.00433776
         164   -0.201967   -0.124192  0.00433747
         165   -0.203494   -0.124672  0.00433773
         166   -0.173599   -0.124967   0.0043216
         167   -0.205753   -0.125451  0.00432271
         168   -0.193501   -0.125856  0.00431592
         169    -0.19983   -0.126294  0.00431252
         170   -0.209489   -0.126783  0.00431483
         171   -0.215906   -0.127304  0.00432096
         172   -0.216542   -0.127823  0.00432687
         173   -0.212348   -0.128312  0.00432936
         174   -0.212922   -0.128798   0.0043317
