#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0364499   0.0364499           0
           2   0.0364106   0.0364302 1.38768e-05
           3   0.0363658   0.0364088  1.9816e-05
           4   0.0363271   0.0363883 2.30997e-05
           5   0.0362976   0.0363702  2.4594e-05
           6   0.0362573   0.0363514 2.67452e-05
           7   0.0362224    0.036333 2.85728e-05
           8   0.0361879   0.0363148 3.02149e-05
           9   0.0361032   0.0362913 3.48239e-05
          10   0.0359941   0.0362616 4.21599e-05
          11    0.035973   0.0362354 4.57672e-05
          12   0.0359067    0.036208 4.94717e-05
          13   0.0358658   0.0361817 5.21987e-05
          14   0.0358036   0.0361546 5.50126e-05
          15   0.0357624   0.0361285 5.72226e-05
          16    0.035711   0.0361024 5.92969e-05
          17   0.0356731   0.0360772 6.09497e-05
          18   0.0356212   0.0360518 6.26065e-05
          19   0.0356063   0.0360284  6.3552e-05
          20    0.035522   0.0360031 6.52237e-05
          21    0.035394   0.0359741 6.82626e-05
          22   0.0353422   0.0359453 7.09456e-05
          23   0.0352853   0.0359166 7.34351e-05
          24   0.0352807   0.0358901 7.50033e-05
          25   0.0352065   0.0358628 7.68271e-05
          26   0.0351124   0.0358339 7.91076e-05
          27    0.034979   0.0358023  8.2271e-05
          28   0.0348812   0.0357694 8.56573e-05
          29   0.0348801   0.0357387 8.80209e-05
          30    0.034812   0.0357078 9.03449e-05
          31   0.0346467   0.0356736 9.36911e-05
          32   0.0346026   0.0356401 9.65558e-05
          33   0.0345792    0.035608 9.88371e-05
          34   0.0343935   0.0355722 0.000102181
          35   0.0341331   0.0355311 0.000107216
          36   0.0338753   0.0354851 0.000113677
          37   0.0334244   0.0354294 0.000123497
          38   0.0333951   0.0353759 0.000131339
          39   0.0333823   0.0353248  0.00013756
          40   0.0331418   0.0352702 0.000144543
          41   0.0329567   0.0352138 0.000151632
          42   0.0328624   0.0351578 0.000158019
          43   0.0327005   0.0351006 0.000164353
          44   0.0327559   0.0350474 0.000169036
          45   0.0326105   0.0349932 0.000173737
          46   0.0328221    0.034946 0.000176255
          47   0.0328646   0.0349017 0.000177981
          48   0.0328475   0.0348589 0.000179345
          49   0.0345001   0.0348516 0.000175834
          50   0.0347261   0.0348491 0.000172335
          51   0.0327577   0.0348081 0.000173767
          52    0.032203    0.034758   0.0001775
          53   0.0321027   0.0347079 0.000181083
          54    0.031755   0.0346532 0.000185803
          55   0.0329933    0.034623  0.00018486
          56   0.0317508   0.0345717  0.00018854
          57   0.0329182   0.0345427  0.00018745
          58   0.0321616   0.0345017 0.000188661
          59   0.0318092    0.034456 0.000190903
          60   0.0320043   0.0344152 0.000192044
          61   0.0320934   0.0343771 0.000192631
          62   0.0330534   0.0343558 0.000190704
          63   0.0325085   0.0343264 0.000189917
          64   0.0320282   0.0342905 0.000190315
          65   0.0317512   0.0342515 0.000191354
          66    0.031657   0.0342122  0.00019245
          67   0.0314305   0.0341706 0.000194005
          68   0.0316061   0.0341329 0.000194783
          69   0.0328016   0.0341136 0.000192913
          70   0.0322196   0.0340866 0.000192046
          71   0.0321204   0.0340589 0.000191327
          72   0.0317691   0.0340271 0.000191295
          73   0.0319055    0.033998 0.000190869
          74   0.0313883   0.0339627  0.00019152
          75   0.0316024   0.0339313 0.000191535
          76   0.0313886   0.0338978 0.000191914
          77   0.0310079   0.0338603 0.000193057
          78   0.0301815   0.0338131 0.000196258
          79   0.0301031   0.0337662 0.000199314
          80   0.0304851   0.0337251 0.000200998
          81   0.0295995   0.0336742 0.000204868
          82   0.0339968   0.0336781 0.000202407
          83   0.0350239   0.0336944 0.000200617
          84   0.0330231   0.0336864 0.000198388
          85   0.0295132   0.0336373 0.000202038
          86   0.0310831   0.0336076 0.000201859
          87   0.0335375   0.0336068 0.000199541
          88   0.0309883    0.033577 0.000199479
          89   0.0289572   0.0335251  0.00020388
          90   0.0281324   0.0334652 0.000210235
          91   0.0286485   0.0334123 0.000214485
          92   0.0284309   0.0333581 0.000218881
          93   0.0294347   0.0333159 0.000220556
          94   0.0370013   0.0333551 0.000221666
          95   0.0320635   0.0333415  0.00021975
          96   0.0377149   0.0333871 0.000222132
          97   0.0313429    0.033366  0.00022084
          98   0.0322167   0.0333543 0.000218897
          99   0.0338535   0.0333593 0.000216744
         100   0.0296903   0.0333226  0.00021766
         101   0.0314672   0.0333043 0.000216279
         102   0.0292232   0.0332643 0.000217828
         103   0.0253682   0.0331876 0.000228806
         104    0.025929   0.0331178 0.000237012
         105   0.0276904   0.0330661 0.000240325
         106   0.0280237   0.0330185  0.00024272
         107   0.0272381   0.0329645  0.00024639
         108    0.026356   0.0329033 0.000251592
         109   0.0257071   0.0328373 0.000257801
         110   0.0323377   0.0328328 0.000255497
         111   0.0340211   0.0328435  0.00025342
         112   0.0295234   0.0328138 0.000252885
         113   0.0268928   0.0327614 0.000256018
         114   0.0272763   0.0327133 0.000258254
         115   0.0268828   0.0326626 0.000260937
         116   0.0264568   0.0326091 0.000264115
         117   0.0280801   0.0325704 0.000264679
         118   0.0256093   0.0325114  0.00026893
         119   0.0280308   0.0324738 0.000269293
         120   0.0275859    0.032433 0.000270112
         121   0.0279827   0.0323963 0.000270372
         122   0.0275713   0.0323567 0.000271033
         123   0.0271322   0.0323142 0.000272138
