#   N_BLOCK:  ACCEPTANCE:
           1    0.942991
           2    0.945634
           3     0.94659
           4    0.946667
           5    0.946081
           6    0.945481
           7    0.944647
           8    0.944553
           9    0.945083
          10    0.945224
          11    0.945148
          12    0.945258
          13     0.94538
          14    0.945781
          15    0.945917
          16     0.94599
          17    0.945942
          18    0.946138
          19     0.94609
          20    0.945772
          21    0.945662
          22    0.945734
          23    0.945806
          24    0.945646
          25    0.945308
          26    0.945453
          27    0.945594
          28    0.945577
          29    0.945474
          30    0.945414
          31    0.945435
          32    0.945268
          33    0.945149
          34    0.945033
          35    0.944995
          36    0.945102
          37    0.945207
          38    0.945248
          39    0.945183
          40    0.945272
          41    0.945252
          42    0.945194
          43    0.945109
          44    0.945022
          45    0.944959
          46    0.944986
          47     0.94503
          48    0.945079
          49    0.945042
          50    0.945065
          51    0.945041
          52     0.94501
          53    0.944949
          54    0.944914
          55     0.94487
          56    0.944916
          57    0.944986
          58    0.944982
          59     0.94502
          60    0.945049
          61    0.944967
          62    0.945021
          63    0.944967
          64    0.944957
          65    0.944898
          66    0.944854
          67    0.944907
          68    0.944923
          69    0.944907
          70    0.944931
          71    0.945019
          72    0.945066
          73    0.945079
          74     0.94505
          75     0.94507
          76     0.94505
          77    0.944962
          78    0.944963
          79    0.944922
          80    0.944905
          81    0.944897
          82     0.94484
          83    0.944854
          84    0.944942
          85    0.944989
          86    0.945025
          87    0.944987
          88    0.945029
          89    0.945056
          90    0.945048
          91    0.945066
          92    0.945046
          93     0.94503
          94    0.945001
          95    0.945022
          96    0.945015
          97    0.945003
          98    0.945018
          99    0.945006
         100    0.945037
