#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.434222   -0.434222           0
           2   -0.382118    -0.40817   0.0184214
           3   -0.375772    -0.39737   0.0151186
           4   -0.400613   -0.398181   0.0113607
           5   -0.407136   -0.399972  0.00922864
           6   -0.416673   -0.402755  0.00809942
           7    -0.44848   -0.409287  0.00920697
           8   -0.418539   -0.410444   0.0081284
           9   -0.373301   -0.406317  0.00820632
          10   -0.401518   -0.405837   0.0073997
          11   -0.413132     -0.4065  0.00675665
          12   -0.388679   -0.405015  0.00635472
          13   -0.386733   -0.403609   0.0060195
          14   -0.359713   -0.400473  0.00635387
          15   -0.384632   -0.399417   0.0060174
          16   -0.389188   -0.398778  0.00567517
          17   -0.405217   -0.399157  0.00535396
          18    -0.37163   -0.397627   0.0052704
          19    -0.40786   -0.398166  0.00502045
          20   -0.452036   -0.400859  0.00544423
          21   -0.420053   -0.401773  0.00526114
          22   -0.401926    -0.40178    0.005022
          23   -0.380809   -0.400869  0.00488572
          24   -0.445361   -0.402722  0.00502156
          25   -0.471632   -0.405479  0.00552565
          26   -0.379788   -0.404491  0.00540075
          27   -0.369801   -0.403206  0.00535136
          28   -0.395613   -0.402935  0.00516711
          29   -0.419279   -0.403498  0.00501958
          30   -0.420603   -0.404068  0.00488453
          31   -0.398853     -0.4039  0.00472986
          32    -0.44898   -0.405309  0.00478725
          33   -0.431786   -0.406111  0.00470894
          34   -0.430433   -0.406827  0.00462445
          35   -0.414209   -0.407038  0.00449713
          36   -0.386768   -0.406475  0.00440732
          37   -0.389322   -0.406011  0.00431251
          38    -0.40469   -0.405976  0.00419917
          39   -0.418881   -0.406307  0.00410451
          40   -0.379111   -0.405627  0.00405782
          41   -0.414467   -0.405843  0.00396457
          42   -0.416858   -0.406105  0.00387884
          43   -0.437737   -0.406841  0.00385777
          44   -0.443566   -0.407675  0.00385933
          45   -0.434677   -0.408275  0.00381992
          46   -0.408327   -0.408277  0.00373688
          47   -0.397558   -0.408048  0.00366433
          48   -0.387281   -0.407616  0.00361344
          49   -0.418315   -0.407834  0.00354629
          50   -0.393381   -0.407545  0.00348712
          51   -0.413435   -0.407661  0.00342066
          52   -0.418939   -0.407877  0.00336175
          53   -0.417238   -0.408054  0.00330295
          54   -0.421542   -0.408304  0.00325122
          55    -0.42064   -0.408528  0.00319983
          56   -0.394206   -0.408272   0.0031529
          57   -0.372782    -0.40765  0.00315846
          58   -0.406024   -0.407622  0.00310413
          59   -0.389128   -0.407308   0.0030673
          60   -0.398952   -0.407169  0.00301934
          61    -0.45779   -0.407999  0.00308178
          62   -0.381574   -0.407573   0.0030614
          63   -0.425859   -0.407863  0.00302654
          64   -0.403481   -0.407794  0.00298002
          65   -0.439888   -0.408288   0.0029748
          66    -0.44305   -0.408815  0.00297598
          67   -0.401771    -0.40871  0.00293342
          68   -0.416211    -0.40882  0.00289236
          69   -0.418529   -0.408961  0.00285386
          70   -0.391474   -0.408711    0.002824
          71   -0.372731   -0.408204  0.00282933
          72   -0.379537   -0.407806  0.00281791
          73   -0.401948   -0.407726  0.00278045
          74   -0.437296   -0.408125  0.00277144
          75   -0.399388   -0.408009  0.00273694
          76   -0.428735   -0.408282  0.00271448
          77   -0.463088   -0.408993  0.00277097
          78   -0.413129   -0.409046  0.00273595
          79   -0.433836    -0.40936  0.00271926
          80   -0.405178   -0.409308  0.00268577
          81   -0.413472   -0.409359   0.0026531
          82   -0.447707   -0.409827  0.00266165
          83   -0.421259   -0.409965  0.00263314
          84   -0.363001   -0.409406  0.00266049
          85   -0.379129   -0.409049  0.00265292
          86   -0.379515   -0.408706  0.00264421
          87   -0.424845   -0.408891  0.00262032
          88   -0.383614   -0.408604  0.00260624
          89   -0.398168   -0.408487  0.00257959
          90   -0.414929   -0.408559  0.00255192
          91    -0.38812   -0.408334  0.00253374
          92   -0.418465   -0.408444  0.00250859
          93   -0.426677    -0.40864  0.00248927
          94   -0.431834   -0.408887  0.00247499
          95   -0.399614   -0.408789  0.00245086
          96   -0.408352   -0.408785  0.00242533
          97   -0.407145   -0.408768  0.00240039
          98   -0.386022   -0.408536  0.00238709
          99   -0.408082   -0.408531  0.00236298
         100   -0.400912   -0.408455  0.00234058
