#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0285994   0.0285994           0
           2    0.029537   0.0290682 0.000331481
           3   0.0295145    0.029217 0.000252165
           4   0.0287836   0.0291086  0.00021112
           5   0.0307351   0.0294339 0.000336412
           6   0.0300647    0.029539 0.000296313
           7   0.0290315   0.0294665 0.000262705
           8   0.0292539     0.02944 0.000231207
           9   0.0291021   0.0294024 0.000208542
          10   0.0288096   0.0293431 0.000195933
          11   0.0295873   0.0293653 0.000179374
          12   0.0295134   0.0293777 0.000164849
          13   0.0292701   0.0293694 0.000152376
          14   0.0300007   0.0294145 0.000148013
          15   0.0298278    0.029442 0.000140687
          16   0.0286963   0.0293954 0.000139401
          17    0.029543   0.0294041 0.000131471
          18   0.0292722   0.0293968 0.000124371
          19   0.0291624   0.0293845 0.000118435
          20   0.0284683   0.0293386 0.000121048
          21   0.0294854   0.0293456 0.000115486
          22   0.0287826     0.02932 0.000113037
          23   0.0299163    0.029346 0.000111055
          24   0.0286246   0.0293159  0.00011042
          25   0.0282086   0.0292716 0.000114542
          26   0.0290243   0.0292621 0.000110531
          27   0.0306868   0.0293149 0.000118364
          28    0.029849   0.0293339 0.000115664
          29   0.0294807    0.029339 0.000111786
          30   0.0289912   0.0293274 0.000108659
          31   0.0295468   0.0293345 0.000105384
          32   0.0283269    0.029303 0.000106692
          33   0.0288971   0.0292907 0.000104165
          34   0.0296556   0.0293014 0.000101653
          35   0.0287281   0.0292851  0.00010006
          36   0.0291171   0.0292804 9.73889e-05
          37   0.0286531   0.0292634 9.62212e-05
          38   0.0284933   0.0292432 9.57998e-05
          39   0.0290426    0.029238 9.34813e-05
          40   0.0297714   0.0292514 9.20902e-05
          41   0.0286826   0.0292375  9.0883e-05
          42   0.0293991   0.0292413 8.88005e-05
          43   0.0285687   0.0292257 8.81023e-05
          44   0.0286754   0.0292132 8.69831e-05
          45   0.0285735    0.029199 8.62037e-05
          46   0.0284083   0.0291818 8.60262e-05
          47   0.0284936   0.0291671 8.54327e-05
          48   0.0292226   0.0291683 8.36607e-05
          49   0.0298074   0.0291813 8.29637e-05
          50   0.0300847   0.0291994 8.32486e-05
          51   0.0293682   0.0292027  8.1682e-05
          52   0.0293424   0.0292054 8.01554e-05
          53   0.0302087   0.0292243 8.08474e-05
          54   0.0288559   0.0292175 7.96376e-05
          55   0.0298811   0.0292296 7.90983e-05
          56   0.0288765   0.0292233 7.79367e-05
          57   0.0297232    0.029232 7.70612e-05
          58   0.0297293   0.0292406  7.6208e-05
          59   0.0303257    0.029259 7.71038e-05
          60   0.0289883   0.0292545 7.59507e-05
          61   0.0275929   0.0292273 7.94399e-05
          62   0.0298359   0.0292371 7.87629e-05
          63   0.0298289   0.0292465  7.8071e-05
          64   0.0293169   0.0292476 7.68589e-05
          65   0.0287078   0.0292393 7.61237e-05
          66   0.0282485   0.0292242  7.6436e-05
          67   0.0275934   0.0291999 7.90759e-05
          68   0.0275066    0.029175   8.174e-05
          69   0.0289622   0.0291719 8.06136e-05
          70   0.0301746   0.0291862 8.07244e-05
          71   0.0289246   0.0291826 7.96715e-05
          72   0.0297836   0.0291909 7.90012e-05
          73   0.0292218   0.0291913 7.79201e-05
          74   0.0277169   0.0291714 7.93737e-05
          75   0.0291535   0.0291712 7.83158e-05
          76   0.0284001    0.029161 7.79397e-05
          77   0.0286555   0.0291545 7.72036e-05
          78    0.028861   0.0291507 7.63054e-05
          79   0.0293175   0.0291528 7.53687e-05
          80   0.0301676   0.0291655 7.54866e-05
          81   0.0288056    0.029161 7.46853e-05
          82   0.0283313   0.0291509 7.44568e-05
          83    0.027497    0.029131 7.61797e-05
          84   0.0289059   0.0291283 7.53199e-05
          85   0.0287405   0.0291238 7.45719e-05
          86   0.0292903   0.0291257 7.37299e-05
          87   0.0298593   0.0291341 7.33631e-05
          88    0.028801   0.0291303  7.2627e-05
          89   0.0286051   0.0291244 7.20504e-05
          90   0.0290318   0.0291234 7.12572e-05
          91   0.0297253     0.02913 7.07804e-05
          92   0.0289194   0.0291277  7.0048e-05
          93   0.0278611   0.0291141 7.06064e-05
          94   0.0292657   0.0291157 6.98737e-05
          95   0.0281886    0.029106 6.98164e-05
          96   0.0298667   0.0291139 6.95374e-05
          97    0.030251   0.0291256 6.98016e-05
          98   0.0299392   0.0291339 6.95813e-05
          99    0.030021   0.0291429  6.9453e-05
         100   0.0278832   0.0291303 6.98915e-05
