#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.2934      1.2934           0
           2     1.85438     1.57389    0.198337
           3     2.35849     1.83542    0.251164
           4      3.2183     2.18114    0.353732
           5        3.48     2.44092     0.36615
           6     4.01279     2.70289    0.387679
           7     4.07049     2.89826    0.378336
           8     4.44888     3.09209    0.377442
           9     4.74189      3.2754    0.377402
          10     4.74349     3.42221    0.367107
          11     5.30612     3.59348    0.371542
          12     5.31959     3.73732    0.367371
          13     5.36404     3.86245    0.359792
          14     5.64381     3.98969    0.355881
          15     5.84977      4.1137      0.3531
          16     6.11227     4.23861    0.352433
          17      5.6975     4.32442     0.34199
          18     5.58972     4.39472    0.330136
          19     6.25615     4.49269    0.326974
          20     6.74553     4.60533    0.329457
          21     6.66138     4.70324    0.327994
          22     6.95225     4.80546     0.32863
          23     7.08061     4.90438    0.328893
          24     6.68887     4.97874    0.323484
          25     6.70984     5.04798     0.31787
          26     6.85307     5.11741    0.313134
          27     6.85636     5.18181    0.308089
          28     6.81417     5.24011    0.302551
          29     6.70924     5.29077    0.296329
          30     6.85682     5.34297    0.291013
          31     7.08743     5.39925    0.287015
          32     6.44273     5.43185    0.279892
          33     6.59641     5.46714    0.273626
          34     6.88101     5.50873    0.268719
          35     6.95404     5.55002    0.264196
          36      7.4831     5.60372    0.262257
          37     7.28284      5.6491    0.259066
          38      7.4498     5.69649    0.256545
          39     7.42057      5.7407    0.253747
          40     7.34756     5.78087    0.250563
          41     8.05122     5.83624    0.250496
          42      8.1845     5.89215    0.250694
          43     8.44642     5.95155    0.251803
          44     7.96054     5.99721    0.250186
          45     7.76369     6.03647    0.247687
          46     7.58936     6.07023    0.244592
          47     7.42046     6.09895    0.241069
          48     7.14557     6.12076    0.237031
          49     7.20917     6.14297    0.233232
          50     7.46167     6.16935    0.230054
          51     7.48128     6.19507    0.226976
          52      7.6952     6.22392    0.224437
          53     7.70402     6.25184    0.221933
          54     7.19528     6.26932     0.21851
          55     7.19521     6.28615    0.215185
          56     6.75811     6.29458    0.211507
          57     7.00353     6.30702    0.208162
          58     7.03489     6.31957    0.204951
          59     7.42103     6.33823    0.202325
          60     6.92793     6.34806    0.199192
          61     7.26485     6.36309    0.196493
          62     7.11142     6.37516    0.193694
          63      7.3963     6.39137    0.191296
          64     7.33636     6.40614    0.188876
          65     7.15824     6.41771    0.186325
          66     7.11094     6.42821    0.183797
          67     7.28037     6.44093    0.181494
          68     7.10563      6.4507    0.179088
          69     7.41684     6.46471    0.177039
          70     7.55776     6.48032    0.175197
          71     7.33256     6.49232     0.17314
          72     7.19799     6.50213    0.171012
          73     7.33001     6.51347    0.169045
          74     6.78812     6.51718    0.166802
          75     7.11967     6.52521    0.164771
          76     7.39556     6.53666       0.163
          77      7.2555       6.546    0.161151
          78     7.33053     6.55606    0.159398
          79     7.59006     6.56915    0.157917
          80     7.83307     6.58494    0.156731
          81     8.13249     6.60405    0.155957
          82     8.16752     6.62312    0.155216
          83     7.81173     6.63744    0.154005
          84     7.59541     6.64884    0.152593
          85     7.73019     6.66156    0.151327
          86     7.62953     6.67282    0.149986
          87     7.59464     6.68341    0.148636
          88      7.3401     6.69088    0.147134
          89     7.47448     6.69968    0.145744
          90      7.3187     6.70656    0.144287
          91     7.55316     6.71586    0.143001
          92     7.35249     6.72278    0.141614
          93     6.94903     6.72521    0.140112
          94     7.08381     6.72903    0.138673
          95     7.01116       6.732    0.137245
          96     7.12057     6.73605    0.135875
          97     7.25361     6.74138    0.134579
          98     7.39842     6.74809    0.133373
          99     7.16826     6.75233    0.132093
         100     6.96601     6.75447    0.130789
         101      7.1084     6.75797    0.129541
         102     7.54929     6.76573    0.128504
         103     7.09842     6.76896    0.127297
         104      7.0625     6.77178    0.126104
         105     7.24023     6.77624    0.124982
         106     7.12242     6.77951    0.123845
         107     7.04026     6.78195    0.122712
         108     7.20194     6.78584    0.121637
         109     7.41133     6.79157    0.120657
         110     7.72319     6.80004    0.119857
         111     7.59803     6.80723    0.118992
         112     7.38415     6.81238    0.118041
         113     7.13751     6.81526    0.117032
         114     7.30413     6.81955    0.116084
         115     7.61641     6.82648    0.115281
         116     7.55005     6.83272    0.114456
         117     7.40072     6.83757     0.11358
         118     8.02995     6.84768    0.113066
         119     7.93945     6.85685    0.112488
         120      8.3098     6.86896      0.1122
         121      7.5422     6.87452    0.111411
         122     7.78913     6.88202    0.110749
         123     7.21708     6.88474    0.109883
         124     6.95613     6.88532    0.108998
         125     7.08533     6.88692    0.108138
         126     7.43111     6.89124    0.107366
         127     7.69669     6.89758    0.106707
         128     7.40193     6.90152    0.105946
         129     7.50358     6.90619    0.105228
         130     7.64273     6.91185    0.104571
         131      7.4995     6.91634    0.103869
         132     7.62286     6.92169     0.10322
         133     7.65965     6.92724    0.102593
         134     7.21034     6.92935    0.101849
         135     7.25592     6.93177    0.101123
         136     7.62281     6.93685    0.100507
         137     7.45734     6.94065   0.0998453
         138     6.95651     6.94077   0.0991219
         139     6.67939     6.93889   0.0984266
         140     6.39528       6.935   0.0978001
         141     6.66988     6.93312   0.0971246
         142     6.86403     6.93264   0.0964418
         143     6.90318     6.93243   0.0957676
         144     7.05912     6.93331   0.0951066
         145     6.90828     6.93314   0.0944508
         146     6.91553     6.93302    0.093804
         147     7.37515     6.93603   0.0932141
         148     7.43788     6.93942   0.0926459
         149     7.29696     6.94182   0.0920552
         150     7.49627     6.94551   0.0915157
         151     7.88342     6.95172   0.0911201
         152     8.12202     6.95942   0.0908454
         153     8.01822     6.96634   0.0905148
         154     8.39418     6.97561   0.0904007
         155     8.23087     6.98371   0.0901794
         156     8.57407     6.99391   0.0901758
         157     8.04891     7.00063   0.0898514
         158     7.52233     7.00393   0.0893434
         159     7.47291     7.00688   0.0888302
         160      7.9627     7.01285   0.0884756
         161     7.78046     7.01762   0.0880544
         162     7.64304     7.02148   0.0875955
         163     7.80393     7.02628   0.0871895
         164     7.84855      7.0313   0.0868019
         165     8.13127     7.03796   0.0865315
         166     7.80854      7.0426   0.0861346
