#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -8.64949    -8.64949           0
           2    -8.54556    -8.59752   0.0367424
           3    -8.45264    -8.54923   0.0464221
           4    -8.29335    -8.48526   0.0654312
           5    -8.24498     -8.4372   0.0677304
           6    -8.14416    -8.38836   0.0719272
           7    -8.13104     -8.3516   0.0704219
           8    -8.06382    -8.31563   0.0702082
           9    -8.01288    -8.28199   0.0700038
          10    -8.01273    -8.25506   0.0679849
          11    -7.91569    -8.22421   0.0684479
          12    -7.91127    -8.19813   0.0675292
          13    -7.90072    -8.17526   0.0660964
          14    -7.85517    -8.15239   0.0652098
          15    -7.81741    -8.13006   0.0645733
          16    -7.76795    -8.10743   0.0643815
          17    -7.84075    -8.09174   0.0624763
          18    -7.85704     -8.0787   0.0603506
          19    -7.73408    -8.06056    0.059838
          20    -7.64706    -8.03989   0.0603123
          21     -7.6596    -8.02178   0.0600975
          22    -7.60506    -8.00284   0.0602771
          23      -7.584    -7.98463   0.0603445
          24    -7.65117    -7.97073   0.0594081
          25     -7.6502    -7.95791   0.0583989
          26    -7.62885    -7.94526   0.0575079
          27    -7.62702    -7.93347    0.056573
          28    -7.63489    -7.92281   0.0555484
          29    -7.65042    -7.91341   0.0544213
          30    -7.62563    -7.90382    0.053446
          31    -7.58826    -7.89364   0.0526824
          32    -7.70244    -7.88767   0.0513738
          33    -7.67774     -7.8813   0.0502093
          34    -7.63229    -7.87398   0.0492639
          35    -7.61339    -7.86654   0.0484157
          36    -7.52274    -7.85699   0.0480034
          37    -7.56329    -7.84905   0.0473578
          38    -7.53018    -7.84066    0.046849
          39    -7.53193    -7.83274   0.0463118
          40    -7.54899    -7.82565    0.045694
          41    -7.42195     -7.8158   0.0456281
          42    -7.40485    -7.80602   0.0455787
          43    -7.35159    -7.79545   0.0457275
          44    -7.42958    -7.78713    0.045438
          45    -7.47123    -7.78011   0.0449672
          46    -7.49468    -7.77391   0.0444157
          47    -7.52188    -7.76855   0.0437932
          48    -7.57263    -7.76446   0.0430706
          49    -7.56527     -7.7604   0.0423831
          50    -7.52178    -7.75563   0.0418032
          51    -7.51147    -7.75084   0.0412568
          52    -7.47166    -7.74547   0.0408112
          53    -7.47177    -7.74031   0.0403666
          54    -7.56899    -7.73713   0.0397435
          55    -7.56828    -7.73406   0.0391393
          56    -7.65018    -7.73257    0.038469
          57    -7.60511    -7.73033   0.0378591
          58     -7.5978    -7.72804   0.0372752
          59    -7.53016    -7.72469    0.036794
          60    -7.62229    -7.72298   0.0362203
          61    -7.55024    -7.72015   0.0357371
          62    -7.58681      -7.718   0.0352253
          63    -7.53344    -7.71507   0.0347878
          64    -7.54251    -7.71238   0.0343486
          65     -7.5708     -7.7102   0.0338891
          66    -7.57811     -7.7082   0.0334347
          67    -7.54797     -7.7058   0.0330211
          68    -7.58344    -7.70401   0.0325845
          69    -7.52578    -7.70142   0.0322145
          70    -7.49645    -7.69849   0.0318871
          71    -7.53571     -7.6962   0.0315203
          72     -7.5596     -7.6943   0.0311395
          73    -7.53354     -7.6921   0.0307907
          74    -7.62707    -7.69122   0.0303872
          75    -7.57487    -7.68967   0.0300216
          76    -7.52347    -7.68748   0.0297061
          77    -7.54804    -7.68567   0.0293755
          78    -7.53664    -7.68376   0.0290609
          79      -7.492    -7.68134   0.0287943
          80    -7.44647     -7.6784   0.0285836
          81    -7.40355    -7.67501   0.0284314
          82    -7.39559     -7.6716   0.0282882
          83    -7.45861    -7.66903   0.0280635
          84    -7.49766    -7.66699   0.0278035
          85    -7.46999    -7.66468   0.0275728
          86    -7.48016    -7.66253   0.0273355
          87    -7.48573     -7.6605   0.0270968
          88    -7.53088    -7.65902   0.0268289
          89    -7.50716    -7.65732   0.0265816
          90    -7.53909      -7.656   0.0263187
          91    -7.49529    -7.65424   0.0260887
          92    -7.53533    -7.65295   0.0258371
          93    -7.60838    -7.65247   0.0255637
          94    -7.58717    -7.65177   0.0253012
          95    -7.60421    -7.65127   0.0250398
          96    -7.58771    -7.65061   0.0247877
          97    -7.55801    -7.64965   0.0245506
          98    -7.53355    -7.64847   0.0243286
          99    -7.57245     -7.6477    0.024095
         100    -7.60153    -7.64724   0.0238585
         101      -7.583     -7.6466   0.0236307
         102    -7.50391    -7.64521   0.0234404
         103    -7.58853    -7.64466   0.0232193
         104    -7.59629    -7.64419   0.0230007
         105      -7.563    -7.64342   0.0227946
         106    -7.58426    -7.64286   0.0225864
         107    -7.60566    -7.64251    0.022378
         108    -7.56971    -7.64184    0.022181
         109    -7.52499    -7.64077   0.0220034
         110    -7.46857     -7.6392   0.0218589
         111    -7.49155    -7.63787   0.0217025
         112     -7.5294     -7.6369   0.0215303
         113    -7.57441    -7.63635   0.0213468
         114    -7.55133     -7.6356   0.0211726
         115    -7.48662    -7.63431   0.0210281
         116    -7.49416     -7.6331   0.0208815
