#   N_BLOCK:  ACCEPTANCE:
           1    0.250074
           2    0.250991
           3    0.251116
           4    0.250763
           5    0.250468
           6    0.250423
           7     0.25036
           8    0.250444
           9    0.250399
          10    0.250293
          11      0.2504
          12    0.250413
          13    0.250337
          14    0.250358
          15    0.250389
          16    0.250365
          17    0.250387
          18    0.250363
          19    0.250415
          20    0.250442
          21    0.250478
          22    0.250376
          23    0.250323
          24     0.25037
          25     0.25036
          26    0.250432
          27    0.250433
          28    0.250444
          29    0.250451
          30    0.250445
          31    0.250392
          32    0.250357
          33    0.250322
          34    0.250325
          35     0.25028
          36    0.250317
          37     0.25036
          38    0.250357
          39    0.250344
          40     0.25034
          41    0.250391
          42     0.25041
          43    0.250435
          44    0.250454
          45    0.250461
          46    0.250478
          47    0.250462
          48    0.250451
          49    0.250452
          50    0.250468
          51    0.250467
          52    0.250454
          53    0.250453
          54    0.250476
          55    0.250501
          56    0.250516
          57    0.250511
          58    0.250506
          59    0.250518
          60    0.250541
          61    0.250561
          62    0.250574
          63    0.250589
          64    0.250587
          65    0.250601
          66    0.250606
          67    0.250612
          68    0.250605
          69    0.250611
          70    0.250602
          71    0.250607
          72    0.250627
          73    0.250635
          74    0.250641
          75    0.250617
          76    0.250617
          77    0.250619
          78    0.250622
          79    0.250609
          80     0.25061
          81    0.250631
          82    0.250648
          83    0.250669
          84    0.250669
          85    0.250653
          86    0.250662
          87    0.250673
          88    0.250657
          89    0.250668
          90    0.250649
          91    0.250644
          92    0.250652
          93    0.250644
          94    0.250636
          95    0.250634
          96    0.250624
          97    0.250619
          98    0.250626
          99    0.250614
         100    0.250609
