#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.55265    -7.55265           0
           2    -7.53575     -7.5442  0.00597677
           3    -7.54857    -7.54566  0.00415773
           4    -7.53709    -7.54352  0.00362825
           5    -7.54715    -7.54424  0.00297455
           6    -7.55817    -7.54656  0.00326126
           7     -7.5566      -7.548  0.00309433
           8    -7.54927    -7.54816  0.00271166
           9     -7.5491    -7.54826  0.00241239
          10    -7.54427    -7.54786  0.00220386
          11    -7.55734    -7.54872  0.00216548
          12    -7.56024    -7.54968  0.00218727
          13    -7.53724    -7.54873  0.00221855
          14    -7.55176    -7.54894  0.00207061
          15    -7.55439    -7.54931  0.00196416
          16    -7.55357    -7.54957  0.00185936
          17    -7.54924    -7.54955   0.0017501
          18    -7.52113    -7.54797  0.00225552
          19    -7.55128    -7.54815  0.00214351
          20    -7.55546    -7.54851  0.00206731
          21    -7.55208    -7.54868  0.00197582
          22    -7.55285    -7.54887  0.00189505
          23    -7.54444    -7.54868  0.00182245
          24    -7.54372    -7.54847  0.00175821
          25    -7.54065    -7.54816  0.00171548
          26    -7.54931     -7.5482  0.00165006
          27    -7.54115    -7.54794  0.00160951
          28    -7.54062    -7.54768  0.00157315
          29     -7.5457    -7.54761  0.00152039
          30    -7.54174    -7.54742  0.00148227
          31    -7.54822    -7.54744  0.00143468
          32    -7.55058    -7.54754  0.00139319
          33    -7.54383    -7.54743   0.0013555
          34    -7.56498    -7.54794  0.00141055
          35    -7.56119    -7.54832  0.00142012
          36     -7.5458    -7.54825   0.0013824
          37    -7.54681    -7.54821  0.00134559
          38    -7.53643     -7.5479  0.00134544
          39    -7.54837    -7.54792  0.00131099
          40    -7.56302    -7.54829  0.00133146
          41    -7.52894    -7.54782  0.00138011
          42    -7.53024     -7.5474  0.00140929
          43    -7.54673    -7.54739   0.0013766
          44    -7.53711    -7.54715  0.00136499
          45    -7.53828    -7.54696  0.00134881
          46    -7.52549    -7.54649  0.00139791
          47    -7.53191    -7.54618  0.00140216
          48    -7.55182     -7.5463  0.00137786
          49    -7.54834    -7.54634  0.00135037
          50    -7.54392    -7.54629  0.00132423
          51    -7.54528    -7.54627  0.00129841
          52    -7.53894    -7.54613  0.00128108
          53    -7.54672    -7.54614  0.00125695
          54    -7.53821    -7.54599  0.00124222
          55    -7.53393    -7.54577  0.00123885
          56    -7.53767    -7.54563  0.00122515
          57    -7.54732    -7.54566  0.00120402
          58     -7.5361    -7.54549  0.00119447
          59     -7.5358    -7.54533  0.00118549
          60    -7.54952     -7.5454  0.00116778
          61    -7.53879    -7.54529  0.00115365
          62    -7.54271    -7.54525   0.0011358
          63    -7.54459    -7.54524  0.00111782
          64    -7.55787    -7.54544  0.00111762
          65      -7.555    -7.54558  0.00111006
          66    -7.56077    -7.54581  0.00111684
          67    -7.53686    -7.54568  0.00110813
          68    -7.54433    -7.54566  0.00109202
          69    -7.53914    -7.54557  0.00108028
          70    -7.55612    -7.54572  0.00107531
          71    -7.56004    -7.54592  0.00107892
          72    -7.54065    -7.54585  0.00106641
          73    -7.53774    -7.54573  0.00105757
          74    -7.55363    -7.54584  0.00104864
          75    -7.54761    -7.54586  0.00103493
          76    -7.54554    -7.54586  0.00102132
          77    -7.55747    -7.54601  0.00101912
          78      -7.544    -7.54599  0.00100638
          79     -7.5468      -7.546 0.000993694
          80    -7.56241     -7.5462  0.00100222
          81    -7.55123    -7.54626 0.000991769
          82    -7.54565    -7.54626 0.000979703
          83    -7.53421    -7.54611 0.000978595
          84     -7.5491    -7.54615 0.000967592
          85    -7.55235    -7.54622 0.000958958
          86    -7.55222    -7.54629 0.000950343
          87    -7.55663    -7.54641 0.000946829
          88    -7.54922    -7.54644 0.000936607
          89     -7.5487    -7.54646 0.000926429
          90    -7.55234    -7.54653 0.000918436
          91    -7.54119    -7.54647 0.000910217
          92    -7.53748    -7.54637 0.000905549
          93    -7.54879     -7.5464 0.000896186
          94    -7.54673     -7.5464 0.000886659
          95    -7.55696    -7.54651  0.00088426
          96    -7.54914    -7.54654 0.000875472
          97    -7.56483    -7.54673 0.000886521
          98    -7.51952    -7.54645 0.000919923
          99     -7.5412     -7.5464 0.000912158
         100    -7.54602     -7.5464 0.000903044
