#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.26892     7.26892           0
           2     7.35628      7.3126   0.0308875
           3     7.28792     7.30438   0.0216595
           4     7.35064     7.31594   0.0190843
           5     7.29701     7.31216   0.0156386
           6     7.23635     7.29952   0.0174029
           7     7.24508     7.29174   0.0165639
           8     7.28428     7.29081   0.0145197
           9     7.28829     7.29053   0.0129091
          10     7.31073     7.29255   0.0117751
          11     7.23737     7.28753   0.0117247
          12     7.22912     7.28267   0.0117146
          13     7.35222     7.28802    0.011973
          14     7.27009     7.28674    0.011186
          15     7.25518     7.28463   0.0106362
          16       7.261     7.28315   0.0100735
          17     7.28406     7.28321  0.00948108
          18     7.43938     7.29188   0.0122993
          19     7.26856     7.29066   0.0117131
          20      7.2504     7.28864   0.0112991
          21     7.26971     7.28774    0.010797
          22      7.2671      7.2868   0.0103469
          23     7.31118     7.28786  0.00995116
          24     7.31575     7.28903  0.00960413
          25     7.33291     7.29078    0.009379
          26     7.28234     7.29046  0.00902389
          27     7.32424     7.29171  0.00877599
          28     7.33209     7.29315  0.00858026
          29     7.30294     7.29349  0.00829103
          30     7.32662     7.29459  0.00808789
          31     7.29082     7.29447   0.0078279
          32     7.27627      7.2939  0.00760392
          33     7.31813     7.29464  0.00740886
          34     7.19805     7.29179  0.00771631
          35     7.22069     7.28976  0.00775871
          36     7.30758     7.29026  0.00755895
          37     7.29655     7.29043  0.00735657
          38     7.35284     7.29207  0.00734401
          39     7.29096     7.29204  0.00715576
          40      7.2101     7.28999   0.0072642
          41     7.39551     7.29257  0.00752911
          42     7.38946     7.29487  0.00769518
          43     7.29786     7.29494  0.00751654
          44      7.3507     7.29621  0.00745175
          45     7.34571     7.29731  0.00736689
          46     7.41559     7.29988  0.00764233
          47     7.37912     7.30157  0.00766343
          48     7.26988     7.30091  0.00753216
          49       7.289     7.30066  0.00738236
          50     7.31357     7.30092  0.00723922
          51     7.30837     7.30107  0.00709875
          52     7.33925      7.3018  0.00700011
          53     7.30054     7.30178  0.00686807
          54     7.34476     7.30257  0.00678684
          55     7.37074     7.30381  0.00677568
          56     7.35105     7.30466  0.00670699
          57     7.29639     7.30451  0.00659089
          58     7.35931     7.30546  0.00654463
          59     7.35841     7.30636  0.00649494
          60     7.28092     7.30593  0.00640051
          61     7.34565     7.30658  0.00632862
          62     7.31992      7.3068  0.00623019
          63     7.31121     7.30687   0.0061317
          64     7.23947     7.30581  0.00612566
          65     7.25335     7.30501  0.00608435
          66     7.22158     7.30374  0.00612206
          67     7.35428      7.3045  0.00607698
          68     7.31185     7.30461  0.00598858
          69     7.33858      7.3051  0.00592199
          70     7.24909      7.3043   0.0058912
          71     7.22408     7.30317  0.00591558
          72     7.33291     7.30358  0.00584783
          73     7.34913      7.3042  0.00580091
          74     7.26373     7.30366  0.00574825
          75     7.29494     7.30354  0.00567278
          76     7.30718     7.30359  0.00559834
          77     7.23969     7.30276   0.0055868
          78     7.31818     7.30296  0.00551867
          79     7.29985     7.30292  0.00544896
          80     7.21652     7.30184  0.00548682
          81     7.27201     7.30147  0.00543143
          82     7.30615     7.30153  0.00536549
          83     7.36982     7.30235  0.00536357
          84     7.28735     7.30217  0.00530269
          85     7.26602     7.30175  0.00525734
          86     7.26599     7.30133  0.00521262
          87     7.24409     7.30067  0.00519405
          88     7.28864     7.30054  0.00513683
          89      7.2908     7.30043  0.00508027
          90     7.27103      7.3001  0.00503431
          91     7.32767      7.3004   0.0049881
          92      7.3504     7.30095   0.0049634
          93     7.28895     7.30082   0.0049117
          94     7.29919      7.3008  0.00485948
          95     7.24039     7.30016  0.00484976
          96     7.28548     7.30001  0.00480166
          97     7.19943     7.29897  0.00486283
          98     7.44909     7.30051  0.00504871
          99     7.32765     7.30078  0.00500515
         100      7.2998     7.30077  0.00495511
