#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.60278    -6.60278           0
           2    -6.40883    -6.50581   0.0685719
           3    -6.34991    -6.45384   0.0623716
           4    -6.29026    -6.41295   0.0586737
           5    -6.19986    -6.37033   0.0604666
           6    -6.17898    -6.33844   0.0581943
           7    -6.11305    -6.30624   0.0581099
           8    -6.08409    -6.27847   0.0570967
           9    -6.05167    -6.25327   0.0560386
          10    -6.00933    -6.22888   0.0554906
          11    -6.00481    -6.20851   0.0540554
          12    -5.96542    -6.18825   0.0532113
          13    -6.08964    -6.18066   0.0496558
          14      -6.007    -6.16826   0.0476331
          15    -6.02978    -6.15903   0.0453434
          16     -6.0565    -6.15262   0.0429599
          17    -6.02818     -6.1453   0.0410517
          18     -6.0304    -6.13892   0.0392642
          19      -6.024    -6.13287   0.0376605
          20    -6.02641    -6.12755   0.0361517
          21     -5.9886    -6.12093   0.0350305
          22    -5.99044      -6.115   0.0339366
          23    -6.01457    -6.11063   0.0327408
          24    -6.03699    -6.10756     0.03152
          25    -5.99347      -6.103   0.0305878
          26    -5.91576     -6.0958   0.0302473
          27    -5.91688    -6.08917   0.0298441
          28     -5.8882    -6.08199   0.0296288
          29    -5.85075    -6.07402   0.0296607
          30    -5.85954    -6.06687   0.0295211
          31    -5.80981    -6.05858   0.0297106
          32    -5.85767     -6.0523   0.0294381
          33    -5.92045     -6.0483   0.0288159
          34    -5.88368    -6.04346   0.0283722
          35    -5.86126    -6.03826   0.0280351
          36    -5.76961    -6.03079    0.028232
          37    -5.78845    -6.02424   0.0282186
          38    -5.79441     -6.0182   0.0281167
          39    -5.80812    -6.01281    0.027907
          40    -5.77489    -6.00686    0.027836
          41    -5.83535    -6.00268   0.0274696
          42    -5.90428    -6.00034   0.0269153
          43    -5.81606    -5.99605   0.0266283
          44    -5.84953    -5.99272   0.0262305
          45     -5.8397    -5.98932   0.0258671
          46    -5.95866    -5.98865   0.0253133
          47    -5.90172     -5.9868   0.0248422
          48    -5.93839    -5.98579   0.0243451
          49    -5.90509    -5.98415    0.023904
          50    -5.83998    -5.98126   0.0235991
          51    -5.83935    -5.97848   0.0232999
          52    -5.81691    -5.97537   0.0230581
          53    -5.80046    -5.97207    0.022858
          54    -5.80443    -5.96897   0.0226445
          55     -5.7854    -5.96563   0.0224774
          56    -5.77116    -5.96216   0.0223427
          57    -5.72628    -5.95802   0.0223307
          58    -5.75001    -5.95443   0.0222318
          59    -5.66705    -5.94956   0.0223823
          60    -5.64833    -5.94454   0.0225653
          61    -5.73537    -5.94111   0.0224544
          62    -5.76031     -5.9382   0.0222808
          63    -5.75997    -5.93537    0.022106
          64    -5.76407    -5.93269    0.021922
          65    -5.69012    -5.92896   0.0219001
          66    -5.64882    -5.92472   0.0219758
          67    -5.57779    -5.91954   0.0222494
          68    -5.57505    -5.91447   0.0224916
          69    -5.53157    -5.90892   0.0228399
          70    -5.56724    -5.90404   0.0230293
          71    -5.66493    -5.90067   0.0229499
          72    -5.59813    -5.89647   0.0230126
          73    -5.73408    -5.89425   0.0228046
          74    -5.67271    -5.89125   0.0226921
          75    -5.70553    -5.88878   0.0225243
          76    -5.63919    -5.88549    0.022466
          77    -5.57146    -5.88141   0.0225414
          78    -5.57807    -5.87753   0.0225854
          79    -5.61482     -5.8742    0.022543
          80    -5.60506    -5.87084   0.0225108
          81    -5.49029    -5.86614   0.0227179
          82    -5.50009    -5.86167   0.0228752
          83    -5.54093    -5.85781   0.0229237
          84    -5.54882    -5.85413    0.022944
          85    -5.66011    -5.85185   0.0227874
          86    -5.60704      -5.849   0.0226995
          87    -5.59267    -5.84606    0.022629
          88    -5.46722    -5.84175   0.0227777
          89    -5.49398    -5.83784   0.0228544
