#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        1.65325        1.65325              0
              2        1.65647        1.65486     0.00113865
              3        1.63814        1.64929     0.00461167
              4        1.62389        1.64294     0.00649689
              5        1.64946        1.64424     0.00532691
              6        1.64888        1.64501     0.00449486
              7        1.65196        1.64601     0.00396087
              8        1.64282        1.64561     0.00348573
              9         1.6462        1.64567     0.00309904
             10        1.65243        1.64635     0.00286174
             11        1.63135        1.64499     0.00290849
             12        1.65326        1.64568     0.00274668
             13        1.62645         1.6442     0.00290656
             14        1.62682        1.64296     0.00295203
             15        1.67132        1.64485     0.00330573
             16        1.62856        1.64383     0.00325199
             17        1.64664        1.64399     0.00306492
             18        1.65245        1.64446     0.00293046
             19        1.64359        1.64442     0.00277659
             20        1.64806         1.6446     0.00264371
             21        1.64838        1.64478     0.00252394
             22        1.64272        1.64469     0.00241095
             23        1.63744        1.64437     0.00232662
             24         1.6699        1.64544     0.00246086
             25         1.6314        1.64487     0.00242566
             26        1.65215        1.64515     0.00234848
             27        1.64827        1.64527     0.00226433
             28        1.64186        1.64515     0.00218674
             29        1.61091        1.64397     0.00240901
             30         1.6377        1.64376     0.00233775
             31        1.62577        1.64318     0.00233323
             32        1.63891        1.64304     0.00226413
             33        1.64668        1.64315      0.0021982
             34        1.65049        1.64337     0.00214411
             35        1.64294        1.64336     0.00208289
             36        1.65612        1.64371     0.00205497
             37        1.61581        1.64296     0.00213333
             38        1.64343        1.64297     0.00207723
             39        1.61371        1.64222     0.00215522
             40         1.6439        1.64226     0.00210175
             41        1.66792        1.64289      0.0021416
             42        1.65306        1.64313     0.00210425
             43        1.66348         1.6436     0.00210785
             44        1.65378        1.64383     0.00207259
             45        1.66191        1.64424     0.00206509
             46        1.64225        1.64419     0.00202065
             47        1.67861        1.64493     0.00210618
             48        1.65785        1.64519     0.00207944
             49        1.66683        1.64564     0.00208334
             50        1.64399         1.6456     0.00204194
             51        1.63616        1.64542     0.00201028
             52         1.6462        1.64543     0.00197168
             53        1.62439        1.64504     0.00197406
             54        1.64537        1.64504     0.00193751
             55         1.6475        1.64509      0.0019028
             56        1.63884        1.64498     0.00187209
             57        1.64371        1.64495     0.00183938
             58        1.65718        1.64516     0.00181971
             59         1.6288        1.64489     0.00180987
             60        1.66024        1.64514     0.00179771
             61        1.64583        1.64515     0.00176828
             62         1.6428        1.64512     0.00174017
             63        1.65188        1.64522     0.00171585
             64        1.62755        1.64495     0.00171112
             65        1.66363        1.64523     0.00170877
             66        1.64695        1.64526     0.00168308
             67        1.62958        1.64503     0.00167415
             68        1.64265        1.64499     0.00164989
             69         1.6598        1.64521     0.00163988
             70        1.65019        1.64528     0.00161799
             71        1.65312        1.64539     0.00159897
             72        1.66029        1.64559     0.00159011
             73        1.67984        1.64606     0.00163605
             74        1.67148        1.64641      0.0016496
             75         1.6247        1.64612      0.0016528
             76        1.63849        1.64602      0.0016341
             77        1.64422        1.64599     0.00161304
             78         1.6462          1.646     0.00159236
             79         1.6284        1.64577     0.00158771
             80        1.67443        1.64613     0.00160776
             81        1.66396        1.64635      0.0016029
             82        1.64853        1.64638     0.00158357
             83        1.62437        1.64611     0.00158655
             84        1.60906        1.64567     0.00162784
             85        1.66594        1.64591     0.00162606
             86        1.65211        1.64598     0.00160875
             87        1.64584        1.64598     0.00159026
             88        1.66715        1.64622     0.00159027
             89        1.62972        1.64604     0.00158318
             90        1.65558        1.64614     0.00156914
             91        1.67469        1.64646     0.00158295
             92        1.65707        1.64657     0.00156995
             93        1.62624        1.64635     0.00156821
             94        1.63629        1.64625     0.00155518
             95        1.62432        1.64602     0.00155584
             96        1.63515         1.6459     0.00154374
             97        1.63594         1.6458     0.00153124
             98        1.63424        1.64568     0.00152015
             99         1.6269        1.64549     0.00151659
            100        1.64404        1.64548     0.00150149
