#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
              1        1.06222        1.06222              0
              2         1.1243        1.09326      0.0219475
              3        1.19647        1.12766      0.0316715
              4        1.30985        1.17321      0.0460443
              5        1.12561        1.16369      0.0378066
              6        1.15077        1.16154      0.0315668
              7        1.08836        1.15108      0.0287363
              8        1.18269        1.15503      0.0254144
              9        1.12972        1.15222      0.0227457
             10        1.10032        1.14703      0.0210549
             11        1.25703        1.15703      0.0213841
             12        1.07343        1.15006      0.0207059
             13        1.21397        1.15498       0.019688
             14        1.28078        1.16397      0.0202286
             15        1.03335        1.15526      0.0206694
             16        1.16873         1.1561      0.0193947
             17        1.07032        1.15105      0.0188989
             18        1.04795        1.14533      0.0186968
             19        1.19231         1.1478      0.0178755
             20        1.21248        1.15103      0.0172718
             21        1.16629        1.15176      0.0164647
             22        1.14797        1.15159      0.0157172
             23        1.15583        1.15177      0.0150349
             24        1.09323        1.14933      0.0146049
             25         1.2068        1.15163      0.0142005
             26        1.14419        1.15135      0.0136572
             27         1.1049        1.14962      0.0132593
             28        1.19154        1.15112      0.0128699
             29        1.39396         1.1595      0.0149033
             30        1.21933        1.16149      0.0145394
             31        1.18819        1.16235      0.0140959
             32        1.18571        1.16308      0.0136742
             33        1.14275        1.16247      0.0132737
             34        1.14455        1.16194      0.0128938
             35        1.17561        1.16233      0.0125313
             36        1.09758        1.16053      0.0123116
             37        1.27867        1.16372       0.012386
             38        1.17179        1.16394      0.0120619
             39        1.25234         1.1662      0.0119637
             40        1.19211        1.16685      0.0116821
             41         1.0817        1.16477      0.0115803
             42        1.22041         1.1661      0.0113801
             43        1.13398        1.16535      0.0111399
             44        1.15859         1.1652      0.0108878
             45        1.07766        1.16325      0.0108182
             46        1.20797        1.16422      0.0106266
             47        1.02572        1.16128      0.0108014
             48        1.15442        1.16113      0.0105773
             49         1.0862        1.15961      0.0104715
             50        1.16533        1.15972      0.0102627
             51        1.23555        1.16121      0.0101685
             52        1.22381        1.16241       0.010044
             53        1.38733        1.16665      0.0107136
             54        1.09948        1.16541      0.0105872
             55        1.07026        1.16368      0.0105351
             56        1.25357        1.16529      0.0104685
             57        1.11316        1.16437      0.0103247
             58        1.07567        1.16284      0.0102594
             59        1.22739        1.16394      0.0101436
             60        1.18374        1.16427     0.00997994
             61        1.18762        1.16465     0.00982367
             62        1.16727        1.16469     0.00966531
             63        1.14301        1.16435     0.00951802
             64        1.28255        1.16619      0.0095468
             65        1.11595        1.16542     0.00943117
             66        1.12879        1.16487     0.00930459
             67        1.19434        1.16531     0.00917611
             68        1.22046        1.16612     0.00907695
             69         1.1057        1.16524     0.00898753
             70        1.10187        1.16434     0.00890461
             71        1.13776        1.16396     0.00878706
             72        1.07346         1.1627     0.00875446
             73       0.914264         1.1593     0.00927248
             74        1.04699        1.15778     0.00927056
             75        1.39483        1.16094     0.00967074
             76        1.20009        1.16146      0.0095572
             77        1.26602        1.16282     0.00952905
             78        1.17109        1.16292     0.00940748
             79        1.26161        1.16417     0.00937097
             80        1.11484        1.16356     0.00927411
             81        1.07403        1.16245     0.00922524
             82        1.16533        1.16249      0.0091128
             83        1.30118        1.16416     0.00915494
             84        1.37005        1.16661     0.00936834
             85        1.14665        1.16637     0.00926106
             86        1.15278        1.16621     0.00915472
             87        1.14224        1.16594     0.00905364
             88         1.0789        1.16495     0.00900463
             89        1.27312        1.16617     0.00898511
             90        1.16126        1.16611     0.00888544
             91        1.01955         1.1645     0.00893256
             92        1.02341        1.16297     0.00896614
             93        1.29457        1.16438      0.0089807
             94         1.1367        1.16409     0.00888999
             95        1.24087         1.1649     0.00883307
             96        1.20291        1.16529     0.00874993
             97        1.16419        1.16528     0.00865973
             98         1.2048        1.16568     0.00858075
             99        1.29152        1.16695     0.00858769
            100        1.17283        1.16701     0.00850202
