#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         1      1.10417      1.10417            0
         2      1.10631      1.10524    0.0007591
         3       1.0941      1.10152   0.00307445
         4      1.08459      1.09729   0.00433126
         5      1.10164      1.09816   0.00355127
         6      1.10125      1.09868   0.00299658
         7      1.10331      1.09934   0.00264058
         8      1.09721      1.09907   0.00232382
         9      1.09947      1.09912   0.00206603
        10      1.10362      1.09957   0.00190783
        11      1.08956      1.09866   0.00193899
        12      1.10418      1.09912   0.00183112
        13       1.0863      1.09813   0.00193771
        14      1.08655       1.0973   0.00196802
        15      1.11621      1.09856   0.00220382
        16      1.08771      1.09789     0.002168
        17      1.09976        1.098   0.00204328
        18      1.10364      1.09831   0.00195364
        19      1.09773      1.09828   0.00185106
        20       1.1007       1.0984   0.00176247
        21      1.10092      1.09852   0.00168263
        22      1.09715      1.09846    0.0016073
        23      1.09363      1.09825   0.00155108
        24      1.11527      1.09896   0.00164058
        25       1.0896 1.0985800000000001   0.00161711
        26      1.10344      1.09877   0.00156565
        27      1.10085      1.09885   0.00150955
        28      1.09657      1.09876   0.00145783
        29      1.07594      1.09798   0.00160601
        30       1.0938      1.09784    0.0015585
        31      1.08585      1.09745   0.00155548
        32       1.0946      1.09736   0.00150942
        33      1.09979      1.09744   0.00146547
        34      1.10233      1.09758   0.00142941
        35       1.0973      1.09757   0.00138859
        36      1.10608      1.09781   0.00136998
        37      1.07921      1.09731   0.00142222
        38      1.09762      1.09731   0.00138482
        39      1.07781      1.09681   0.00143681
        40      1.09793      1.09684   0.00140117
        41      1.11394      1.09726   0.00142773
        42      1.10404      1.09742   0.00140284
        43      1.11098      1.09774   0.00140523
        44      1.10452      1.09789   0.00138173
        45      1.10994      1.09816   0.00137673
        46      1.09683      1.09813    0.0013471
        47      1.12107      1.09862   0.00140412
        48      1.10723       1.0988   0.00138629
        49      1.11322      1.09909   0.00138889
        50      1.09799      1.09907   0.00136129
        51      1.09277      1.09895   0.00134019
        52      1.09947      1.09896   0.00131445
        53      1.08492      1.09869   0.00131604
        54      1.09892      1.09869   0.00129168
        55      1.10034      1.09872   0.00126854
        56      1.09456      1.09865   0.00124806
        57      1.09781      1.09864   0.00122625
        58      1.10679      1.09878   0.00121314
        59      1.08787      1.09859   0.00120658
        60      1.10883      1.09876   0.00119848
        61      1.09922      1.09877   0.00117885
        62       1.0972      1.09874   0.00116011
        63      1.10325      1.09882    0.0011439
        64      1.08703      1.09863   0.00114075
        65      1.11109      1.09882   0.00113918
        66      1.09997      1.09884   0.00112205
        67      1.08839      1.09868    0.0011161
        68       1.0971      1.09866   0.00109993
        69      1.10853       1.0988   0.00109325
        70      1.10212      1.09885   0.00107866
        71      1.10408      1.09893   0.00106598
        72      1.10886      1.09906   0.00106007
        73      1.12189      1.09938    0.0010907
        74      1.11632       1.0996   0.00109973
        75      1.08513      1.09941   0.00110187
        76      1.09433      1.09934    0.0010894
        77      1.09815      1.09933   0.00107536
        78      1.09947      1.09933   0.00106158
        79       1.0876      1.09918   0.00105847
        80      1.11829      1.09942   0.00107184
        81       1.1113      1.09957    0.0010686
        82      1.10102      1.09959   0.00105572
        83      1.08491      1.09941    0.0010577
        84       1.0747      1.09911   0.00108523
        85      1.11263      1.09927   0.00108404
        86      1.10341      1.09932    0.0010725
        87      1.09923      1.09932   0.00106017
        88      1.11343      1.09948   0.00106018
        89      1.08848      1.09936   0.00105545
        90      1.10572      1.09943   0.00104609
        91      1.11846      1.09964    0.0010553
        92      1.10672      1.09971   0.00104663
        93      1.08616      1.09957   0.00104548
        94      1.09286       1.0995   0.00103679
        95      1.08488      1.09934   0.00103723
        96       1.0921      1.09927   0.00102916
        97      1.09262       1.0992   0.00102083
        98      1.09149      1.09912   0.00101344
        99       1.0866      1.09899   0.00101106
       100      1.09802      1.09898     0.001001
