#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
              1        2.77497        2.77497              0
              2        2.77494        2.77495    1.18802e-05
              3        2.77495        2.77495    7.92605e-06
              4        2.77502        2.77497    1.51241e-05
              5        2.77513          2.775     3.1481e-05
              6        2.77529        2.77505    5.18034e-05
              7        2.77551        2.77512     7.5068e-05
              8        2.77577         2.7752    0.000100862
              9        2.77608         2.7753    0.000128934
             10        2.77644        2.77541    0.000159107
             11        2.77685        2.77554     0.00019124
             12        2.77731        2.77569    0.000225221
             13        2.77782        2.77585    0.000260957
             14        2.77838        2.77603    0.000298368
             15        2.77899        2.77623    0.000337383
             16        2.77965        2.77644    0.000377943
             17        2.78036        2.77668    0.000419993
             18        2.78112        2.77692    0.000463484
             19        2.78192        2.77719    0.000508377
             20        2.78278        2.77746    0.000554633
             21        2.78369        2.77776    0.000602214
             22        2.78465        2.77807    0.000651088
             23        2.78565         2.7784    0.000701223
             24        2.78671        2.77875     0.00075259
             25        2.78782        2.77911    0.000805161
             26        2.78897        2.77949     0.00085891
             27        2.79018        2.77989    0.000913815
             28        2.79144         2.7803    0.000969852
             29        2.79275        2.78073       0.001027
             30        2.79411        2.78118     0.00108524
             31        2.79551        2.78164     0.00114456
             32        2.79697        2.78212     0.00120493
             33        2.79848        2.78261     0.00126634
             34        2.80004        2.78313     0.00132878
             35        2.80165        2.78365     0.00139222
             36        2.80331         2.7842     0.00145665
             37        2.80502        2.78476     0.00152206
             38        2.80678        2.78534     0.00158844
             39        2.80859        2.78594     0.00165576
             40        2.81045        2.78655     0.00172402
             41        2.81236        2.78718     0.00179321
             42        2.81432        2.78783     0.00186331
             43        2.81633        2.78849      0.0019343
             44        2.81839        2.78917     0.00200619
             45         2.8205        2.78987     0.00207894
             46        2.82267        2.79058     0.00215256
             47        2.82488        2.79131     0.00222704
             48        2.82714        2.79206     0.00230234
             49        2.82945        2.79282     0.00237848
             50        2.83181         2.7936     0.00245542
             51        2.83422        2.79439     0.00253317
             52        2.83668        2.79521     0.00261171
             53        2.83919        2.79604     0.00269102
             54        2.84174        2.79688      0.0027711
             55        2.84435        2.79775     0.00285192
             56          2.847        2.79863     0.00293348
             57         2.8497        2.79952     0.00301576
             58        2.85245        2.80043     0.00309874
             59        2.85524        2.80136     0.00318242
             60        2.85809        2.80231     0.00326678
             61        2.86097        2.80327      0.0033518
             62        2.86391        2.80425     0.00343746
             63        2.86689        2.80524     0.00352376
             64        2.86991        2.80625     0.00361066
             65        2.87298        2.80728     0.00369816
             66        2.87609        2.80832     0.00378623
             67        2.87924        2.80938     0.00387486
             68        2.88244        2.81046     0.00396402
