#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
              1       -1.41227       -1.41227              0
              2       -1.41229       -1.41228    5.54396e-06
              3       -1.41235       -1.41231    2.01604e-05
              4       -1.41247       -1.41235    3.83608e-05
              5       -1.41263        -1.4124    5.96213e-05
              6       -1.41284       -1.41248    8.35594e-05
              7       -1.41311       -1.41257    0.000109908
              8       -1.41342       -1.41267    0.000138469
              9       -1.41378        -1.4128    0.000169087
             10       -1.41419       -1.41294    0.000201634
             11       -1.41465       -1.41309    0.000236007
             12       -1.41516       -1.41326    0.000272115
             13       -1.41572       -1.41345    0.000309883
             14       -1.41633       -1.41366    0.000349242
             15       -1.41699       -1.41388    0.000390134
             16       -1.41769       -1.41412    0.000432506
             17       -1.41845       -1.41437    0.000476311
             18       -1.41934       -1.41465    0.000523595
             19       -1.42019       -1.41494    0.000571599
             20        -1.4211       -1.41525    0.000620477
             21       -1.42211       -1.41558    0.000671418
             22       -1.42312       -1.41592    0.000723097
             23       -1.42417       -1.41628    0.000775623
             24       -1.42528       -1.41665    0.000829067
             25       -1.42644       -1.41704    0.000883476
             26       -1.42765       -1.41745    0.000938956
             27       -1.42891       -1.41788    0.000995538
             28       -1.43022       -1.41832      0.0010531
             29       -1.43158       -1.41877     0.00111167
             30       -1.43299       -1.41925     0.00117123
             31       -1.43445       -1.41974     0.00123178
             32       -1.43595       -1.42025     0.00129334
             33       -1.43751       -1.42077     0.00135588
             34       -1.43912       -1.42131      0.0014194
             35       -1.44078       -1.42186     0.00148389
             36       -1.44249       -1.42244     0.00154935
             37       -1.44425       -1.42303     0.00161576
             38       -1.44606       -1.42363     0.00168312
             39       -1.44792       -1.42426      0.0017514
             40       -1.44983        -1.4249     0.00182061
             41       -1.45179       -1.42555     0.00189073
             42       -1.45381       -1.42622     0.00196174
             43       -1.45587       -1.42691     0.00203364
             44       -1.45795       -1.42762     0.00210622
             45       -1.46011       -1.42834      0.0021797
             46       -1.46233       -1.42908     0.00225404
             47       -1.46459       -1.42984     0.00232925
             48        -1.4669       -1.43061      0.0024053
             49       -1.46926        -1.4314     0.00248218
             50       -1.47167        -1.4322     0.00255988
             51       -1.47413       -1.43302     0.00263838
             52       -1.47663       -1.43386     0.00271767
             53       -1.47919       -1.43472     0.00279773
             54        -1.4818       -1.43559     0.00287854
             55       -1.48445       -1.43648     0.00296011
             56       -1.48715       -1.43738      0.0030424
             57        -1.4899        -1.4383     0.00312541
             58       -1.49269       -1.43924     0.00320912
             59       -1.49551        -1.4402      0.0032934
             60       -1.49839       -1.44117      0.0033783
             61       -1.50132       -1.44215     0.00346386
             62        -1.5043       -1.44315     0.00355007
             63       -1.50732       -1.44417     0.00363691
             64       -1.51039       -1.44521     0.00372435
             65        -1.5135       -1.44626     0.00381238
             66       -1.51666       -1.44732     0.00390098
             67       -1.51985       -1.44841     0.00399012
             68       -1.52309       -1.44951     0.00407978
             69       -1.52636       -1.45062     0.00416994
             70       -1.52969       -1.45175     0.00426062
             71       -1.53304       -1.45289     0.00435175
             72       -1.53643       -1.45405      0.0044433
             73       -1.53986       -1.45523     0.00453523
             74       -1.54332       -1.45642     0.00462753
             75       -1.54681       -1.45763     0.00472016
             76       -1.55033       -1.45884     0.00481309
             77       -1.55388       -1.46008     0.00490628
             78       -1.55746       -1.46133     0.00499971
             79       -1.56107       -1.46259     0.00509333
             80       -1.56469       -1.46387     0.00518711
             81       -1.56834       -1.46516       0.005281
             82       -1.57201       -1.46646     0.00537497
             83        -1.5757       -1.46778     0.00546898
             84       -1.57939        -1.4691     0.00556295
             85        -1.5831       -1.47045     0.00565685
             86       -1.58682        -1.4718     0.00575064
             87       -1.59053       -1.47316     0.00584423
             88       -1.59424       -1.47454     0.00593758
             89       -1.59794       -1.47593     0.00603059
             90       -1.60165       -1.47732     0.00612325
             91       -1.60536       -1.47873      0.0062155
             92       -1.60905       -1.48015      0.0063073
             93       -1.61272       -1.48157     0.00639855
             94       -1.61636       -1.48301     0.00648916
             95       -1.61998       -1.48445     0.00657908
             96       -1.62356        -1.4859     0.00666822
             97       -1.62709       -1.48735     0.00675648
             98       -1.63058       -1.48881     0.00684379
             99       -1.63401       -1.49028     0.00693004
            100       -1.63738       -1.49175     0.00701511
            101       -1.64068       -1.49323     0.00709893
            102        -1.6439        -1.4947     0.00718138
            103       -1.64703       -1.49618     0.00726234
            104       -1.65007       -1.49766     0.00734171
            105         -1.653       -1.49914     0.00741935
            106       -1.65582       -1.50062     0.00749514
            107        -1.6585       -1.50209     0.00756895
            108       -1.66105       -1.50357     0.00764062
            109       -1.66345       -1.50503     0.00771003
            110       -1.66568       -1.50649     0.00777703
            111       -1.66773       -1.50795     0.00784145
            112        -1.6696       -1.50939     0.00790315
            113       -1.67125       -1.51082     0.00796197
            114       -1.67269       -1.51224     0.00801773
            115       -1.67389       -1.51365     0.00807028
            116       -1.67483       -1.51504     0.00811945
            117       -1.67549       -1.51641     0.00816505
            118       -1.67587       -1.51776     0.00820692
            119       -1.67593       -1.51909     0.00824488
            120       -1.67565       -1.52039     0.00827876
            121       -1.67503       -1.52167     0.00830839
            122       -1.67402       -1.52292      0.0083336
            123       -1.67262       -1.52414     0.00835425
            124       -1.67079       -1.52532     0.00837017
            125       -1.66851       -1.52647     0.00838123
            126       -1.66577       -1.52757     0.00838732
            127       -1.66252       -1.52863     0.00838832
            128       -1.65876       -1.52965     0.00838416
            129       -1.65445       -1.53062      0.0083748
            130       -1.64955       -1.53153      0.0083602
            131       -1.64406       -1.53239     0.00834039
            132       -1.63793       -1.53319     0.00831544
            133       -1.63115       -1.53393     0.00828547
            134       -1.62369        -1.5346     0.00825067
            135       -1.61554        -1.5352     0.00821132
            136       -1.60666       -1.53572     0.00816774
            137       -1.59703       -1.53617     0.00812037
            138       -1.58664       -1.53654     0.00806976
            139       -1.57545       -1.53682     0.00801656
            140       -1.56348       -1.53701     0.00796156
            141        -1.5507        -1.5371     0.00790568
            142       -1.53709        -1.5371     0.00785001
            143       -1.52266         -1.537     0.00779576
            144       -1.50742        -1.5368     0.00774433
            145       -1.49137       -1.53648     0.00769726
            146       -1.47453       -1.53606     0.00765622
            147       -1.45692       -1.53552     0.00762305
            148       -1.43855       -1.53487     0.00759964
            149       -1.41948       -1.53409     0.00758799
            150       -1.39974        -1.5332     0.00759008
            151        -1.3794       -1.53218     0.00760784
            152        -1.3585       -1.53103     0.00764311
            153       -1.33712       -1.52977     0.00769752
            154       -1.31534       -1.52838     0.00777245
            155       -1.29325       -1.52686     0.00786895
            156       -1.27095       -1.52522     0.00798767
            157       -1.24854       -1.52346     0.00812886
            158       -1.22615       -1.52157     0.00829234
            159       -1.20389       -1.51958     0.00847748
            160       -1.18189       -1.51747     0.00868323
            161        -1.1603       -1.51525     0.00890818
            162       -1.13924       -1.51293     0.00915057
            163       -1.11887       -1.51051     0.00940836
            164       -1.09932         -1.508     0.00967932
            165       -1.08075       -1.50541     0.00996099
            166       -1.06328       -1.50275      0.0102509
            167       -1.04707       -1.50002      0.0105464
            168       -1.03224       -1.49724       0.010845
            169       -1.01891        -1.4944       0.011144
            170       -1.00718       -1.49154      0.0114411
            171      -0.997164       -1.48865      0.0117337
            172      -0.988945       -1.48574      0.0120198
            173      -0.982598       -1.48283      0.0122972
            174       -0.97818       -1.47993      0.0125639
            175      -0.975722       -1.47705      0.0128182
            176      -0.975234        -1.4742      0.0130586
            177       -0.97674       -1.47139      0.0132838
            178      -0.980228       -1.46863      0.0134927
            179      -0.985657       -1.46593      0.0136845
            180       -0.99298       -1.46331      0.0138584
            181       -1.00213       -1.46076      0.0140141
            182       -1.01304        -1.4583      0.0141514
            183       -1.02562       -1.45593      0.0142702
            184       -1.03976       -1.45367      0.0143708
            185       -1.05535       -1.45152      0.0144535
            186       -1.07228       -1.44948      0.0145189
            187       -1.09042       -1.44756      0.0145676
            188       -1.10963       -1.44576      0.0146006
            189       -1.12977       -1.44409      0.0146188
            190       -1.15073       -1.44255      0.0146232
            191       -1.17237       -1.44113      0.0146149
            192       -1.19454       -1.43985      0.0145951
            193       -1.21712       -1.43869       0.014565
            194          -1.24       -1.43767      0.0145259
            195       -1.26304       -1.43677       0.014479
            196       -1.28615       -1.43601      0.0144255
            197       -1.30921       -1.43536      0.0143666
            198       -1.33212       -1.43484      0.0143035
            199       -1.35479       -1.43444      0.0142373
            200       -1.37714       -1.43415       0.014169
            201       -1.39909       -1.43398      0.0140996
            202       -1.42057       -1.43391      0.0140299
            203       -1.44153       -1.43395      0.0139608
            204       -1.46192       -1.43409      0.0138931
            205       -1.48168       -1.43432      0.0138273
            206       -1.50078       -1.43464      0.0137639
            207       -1.51919       -1.43505      0.0137035
            208       -1.53689       -1.43554      0.0136463
            209       -1.55384        -1.4361      0.0135928
            210       -1.57004       -1.43674       0.013543
            211       -1.58548       -1.43745      0.0134971
            212       -1.60014       -1.43821      0.0134553
            213       -1.61402       -1.43904      0.0134174
            214       -1.62711       -1.43992      0.0133834
            215       -1.63943       -1.44085      0.0133533
            216       -1.65098       -1.44182      0.0133269
            217       -1.66175       -1.44283       0.013304
            218       -1.67177       -1.44388      0.0132843
            219       -1.68104       -1.44497      0.0132677
            220       -1.68956       -1.44608      0.0132539
            221       -1.69734       -1.44721      0.0132426
            222        -1.7044       -1.44837      0.0132336
            223       -1.71076       -1.44955      0.0132264
            224       -1.71641       -1.45074      0.0132209
            225       -1.72137       -1.45194      0.0132168
            226       -1.72567       -1.45315      0.0132136
            227       -1.72931       -1.45437      0.0132113
            228       -1.73232       -1.45559      0.0132095
            229       -1.73471       -1.45681      0.0132079
            230       -1.73652       -1.45803      0.0132064
            231       -1.73776       -1.45924      0.0132046
            232       -1.73847       -1.46044      0.0132024
            233       -1.73867       -1.46163      0.0131997
            234        -1.7384       -1.46282      0.0131961
            235       -1.73771       -1.46399      0.0131917
            236       -1.73664       -1.46514      0.0131863
            237       -1.73522       -1.46628      0.0131798
            238       -1.73352        -1.4674      0.0131722
            239        -1.7316       -1.46851      0.0131634
            240       -1.72949        -1.4696      0.0131534
            241       -1.72727       -1.47067      0.0131422
            242       -1.72498       -1.47172      0.0131298
            243       -1.72268       -1.47275      0.0131163
            244       -1.72042       -1.47377      0.0131018
            245       -1.71826       -1.47476      0.0130863
            246       -1.71622       -1.47574      0.0130698
            247       -1.71433       -1.47671      0.0130526
            248       -1.71264       -1.47766      0.0130346
            249       -1.71113        -1.4786      0.0130159
            250       -1.70983       -1.47952      0.0129967
            251       -1.70871       -1.48044      0.0129769
            252       -1.70778       -1.48134      0.0129567
            253         -1.707       -1.48223      0.0129362
            254       -1.70636       -1.48311      0.0129153
            255       -1.70583       -1.48399      0.0128942
            256       -1.70536       -1.48485      0.0128728
            257       -1.70493       -1.48571      0.0128511
            258       -1.70451       -1.48656      0.0128293
            259       -1.70405        -1.4874      0.0128072
            260       -1.70354       -1.48823      0.0127849
            261       -1.70296       -1.48905      0.0127623
            262       -1.70228       -1.48986      0.0127395
            263       -1.70149       -1.49067      0.0127165
            264       -1.70058       -1.49146      0.0126932
            265       -1.69956       -1.49225      0.0126695
            266       -1.69842       -1.49302      0.0126456
            267       -1.69717       -1.49379      0.0126213
            268       -1.69583       -1.49454      0.0125967
            269        -1.6944       -1.49529      0.0125718
            270        -1.6929       -1.49602      0.0125465
            271       -1.69135       -1.49674      0.0125209
