#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
              1     -0.0687914     -0.0687914              0
              2     -0.0687905     -0.0687909     3.4171e-07
              3     -0.0687921     -0.0687913    3.96748e-07
              4     -0.0687964     -0.0687926    1.14614e-06
              5     -0.0688034     -0.0687948    2.13623e-06
              6      -0.068813     -0.0687978    3.29309e-06
              7     -0.0688252     -0.0688017    4.59096e-06
              8       -0.06884     -0.0688065    6.01408e-06
              9     -0.0688574     -0.0688122      7.551e-06
             10     -0.0688774     -0.0688187    9.19274e-06
             11        -0.0689     -0.0688261    1.09319e-05
             12     -0.0689251     -0.0688343    1.27621e-05
             13     -0.0689528     -0.0688434    1.46779e-05
             14      -0.068983     -0.0688534    1.66745e-05
             15     -0.0690157     -0.0688642    1.87473e-05
             16     -0.0690509     -0.0688759    2.08924e-05
             17     -0.0690885     -0.0688884     2.3106e-05
             18     -0.0691362     -0.0689022    2.55967e-05
             19     -0.0691787     -0.0689167    2.80838e-05
             20     -0.0692236     -0.0689321    3.05843e-05
             21     -0.0692757     -0.0689484    3.32192e-05
             22     -0.0693253     -0.0689656    3.58545e-05
             23     -0.0693771     -0.0689835    3.85015e-05
             24     -0.0694311     -0.0690021    4.11677e-05
             25     -0.0694873     -0.0690215    4.38576e-05
             26     -0.0695461     -0.0690417    4.65814e-05
             27     -0.0696073     -0.0690626    4.93419e-05
             28     -0.0696698     -0.0690843    5.21268e-05
             29     -0.0697343     -0.0691067    5.49363e-05
             30     -0.0698007     -0.0691299    5.77703e-05
             31      -0.069869     -0.0691537    6.06277e-05
             32     -0.0699391     -0.0691782    6.35073e-05
             33      -0.070011     -0.0692035    6.64077e-05
             34     -0.0700846     -0.0692294    6.93268e-05
             35     -0.0701598      -0.069256    7.22629e-05
             36     -0.0702365     -0.0692832    7.52136e-05
             37     -0.0703147     -0.0693111    7.81766e-05
             38     -0.0703943     -0.0693396    8.11496e-05
             39     -0.0704751     -0.0693687    8.41299e-05
             40     -0.0705571     -0.0693984     8.7115e-05
             41     -0.0706403     -0.0694287    9.01022e-05
             42     -0.0707244     -0.0694596    9.30884e-05
             43     -0.0708094      -0.069491     9.6071e-05
             44     -0.0708926     -0.0695228    9.90282e-05
             45      -0.070979     -0.0695552    0.000101978
             46      -0.071066      -0.069588    0.000104917
             47     -0.0711534     -0.0696213    0.000107842
             48      -0.071241     -0.0696551    0.000110748
             49     -0.0713287     -0.0696892    0.000113633
             50     -0.0714164     -0.0697238    0.000116493
             51     -0.0715039     -0.0697587    0.000119323
             52      -0.071591     -0.0697939     0.00012212
             53     -0.0716775     -0.0698294     0.00012488
             54     -0.0717633     -0.0698653    0.000127599
             55     -0.0718482     -0.0699013    0.000130273
             56     -0.0719319     -0.0699376    0.000132897
             57     -0.0720142      -0.069974    0.000135468
             58      -0.072095     -0.0700106    0.000137979
             59     -0.0721718     -0.0700472    0.000140419
             60     -0.0722472     -0.0700839    0.000142786
             61     -0.0723218     -0.0701206    0.000145082
             62     -0.0723937     -0.0701572    0.000147301
             63     -0.0724627     -0.0701938     0.00014944
             64     -0.0725284     -0.0702303    0.000151492
             65     -0.0725907     -0.0702666    0.000153451
             66      -0.072649     -0.0703027    0.000155314
             67     -0.0727031     -0.0703385    0.000157074
             68     -0.0727526      -0.070374    0.000158725
             69     -0.0727971     -0.0704091    0.000160262
             70     -0.0728373     -0.0704438    0.000161683
             71     -0.0728707      -0.070478    0.000162979
             72     -0.0728976     -0.0705116    0.000164144
             73     -0.0729177     -0.0705446    0.000165171
             74     -0.0729305     -0.0705768    0.000166056
             75     -0.0729355     -0.0706083    0.000166794
             76      -0.072932     -0.0706388    0.000167378
             77     -0.0729196     -0.0706685    0.000167805
             78     -0.0728976      -0.070697    0.000168069
             79     -0.0728653     -0.0707245    0.000168168
             80     -0.0728221     -0.0707507    0.000168097
             81     -0.0727672     -0.0707756    0.000167855
             82     -0.0726999     -0.0707991    0.000167441
             83     -0.0726196      -0.070821    0.000166854
             84     -0.0725242     -0.0708413    0.000166095
             85     -0.0724145     -0.0708598    0.000165169
             86      -0.072289     -0.0708764    0.000164082
             87     -0.0721458      -0.070891    0.000162843
             88     -0.0719847     -0.0709034    0.000161466
             89     -0.0718034     -0.0709135    0.000159969
             90     -0.0716034     -0.0709212    0.000158375
             91     -0.0713831     -0.0709263    0.000156716
             92     -0.0711405     -0.0709286     0.00015503
             93     -0.0708734      -0.070928    0.000153364
             94     -0.0705806     -0.0709243    0.000151777
             95     -0.0702617     -0.0709173    0.000150339
