#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1        1.84998        1.84998              0
              2        1.84996        1.84997    7.92016e-06
              3        1.84997        1.84997    5.28401e-06
              4        1.85001        1.84998    1.00827e-05
              5        1.85009           1.85    2.09873e-05
              6         1.8502        1.85003    3.45356e-05
              7        1.85034        1.85008    5.00454e-05
              8        1.85051        1.85013    6.72413e-05
              9        1.85072         1.8502    8.59563e-05
             10        1.85096        1.85027    0.000106071
             11        1.85124        1.85036    0.000127493
             12        1.85154        1.85046    0.000150147
             13        1.85188        1.85057    0.000173971
             14        1.85226        1.85069    0.000198912
             15        1.85266        1.85082    0.000224922
             16         1.8531        1.85096    0.000251962
             17        1.85357        1.85112    0.000279995
             18        1.85408        1.85128    0.000308989
             19        1.85462        1.85146    0.000338918
             20        1.85519        1.85164    0.000369755
             21        1.85579        1.85184    0.000401476
             22        1.85643        1.85205    0.000434059
             23         1.8571        1.85227    0.000467482
             24        1.85781         1.8525    0.000501727
             25        1.85855        1.85274    0.000536774
             26        1.85932        1.85299    0.000572607
             27        1.86012        1.85326     0.00060921
             28        1.86096        1.85353    0.000646568
             29        1.86183        1.85382    0.000684668
             30        1.86274        1.85412    0.000723496
             31        1.86368        1.85443     0.00076304
             32        1.86465        1.85474    0.000803287
             33        1.86565        1.85508    0.000844228
             34        1.86669        1.85542     0.00088585
             35        1.86777        1.85577    0.000928144
             36        1.86887        1.85613      0.0009711
             37        1.87001        1.85651     0.00101471
             38        1.87119         1.8569     0.00105896
             39        1.87239        1.85729     0.00110384
             40        1.87363         1.8577     0.00114935
             41        1.87491        1.85812     0.00119547
             42        1.87621        1.85855     0.00124221
             43        1.87755        1.85899     0.00128954
             44        1.87893        1.85945     0.00133746
             45        1.88034        1.85991     0.00138596
             46        1.88178        1.86039     0.00143504
             47        1.88325        1.86087     0.00148469
             48        1.88476        1.86137      0.0015349
             49         1.8863        1.86188     0.00158565
             50        1.88787         1.8624     0.00163695
             51        1.88948        1.86293     0.00168878
             52        1.89112        1.86347     0.00174114
             53        1.89279        1.86403     0.00179401
             54        1.89449        1.86459      0.0018474
             55        1.89623        1.86516     0.00190128
             56          1.898        1.86575     0.00195565
             57         1.8998        1.86635      0.0020105
             58        1.90163        1.86696     0.00206583
             59         1.9035        1.86758     0.00212162
             60        1.90539        1.86821     0.00217785
             61        1.90732        1.86885     0.00223453
             62        1.90927         1.8695     0.00229164
             63        1.91126        1.87016     0.00234917
             64        1.91327        1.87084     0.00240711
             65        1.91532        1.87152     0.00246544
             66        1.91739        1.87222     0.00252415
             67         1.9195        1.87292     0.00258324
             68        1.92163        1.87364     0.00264268
             69        1.92378        1.87436     0.00270246
             70        1.92597         1.8751     0.00276257
             71        1.92818        1.87585     0.00282299
             72        1.93041        1.87661      0.0028837
             73        1.93267        1.87737     0.00294469
             74        1.93495        1.87815     0.00300595
             75        1.93726        1.87894     0.00306744
             76        1.93959        1.87974     0.00312915
             77        1.94193        1.88055     0.00319106
             78         1.9443        1.88136     0.00325315
             79        1.94669        1.88219      0.0033154
             80        1.94909        1.88303     0.00337778
             81        1.95151        1.88387     0.00344026
             82        1.95394        1.88473     0.00350282
             83        1.95639        1.88559     0.00356544
             84        1.95884        1.88646     0.00362808
