#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
              1      0.0288486      0.0288486              0
              2      0.0277784      0.0283135    0.000378393
              3      0.0277555      0.0281275    0.000294451
              4      0.0287194      0.0282755    0.000255331
              5      0.0290263      0.0284257    0.000244464
              6      0.0284644      0.0284321    0.000203806
              7      0.0312483      0.0288344    0.000411396
              8        0.03004      0.0289851    0.000386587
              9      0.0292973      0.0290198    0.000345186
             10      0.0288722       0.029005    0.000310983
             11      0.0289171       0.028997    0.000282815
             12      0.0291619      0.0290108     0.00025958
             13      0.0291626      0.0290225    0.000239875
             14      0.0265705      0.0288473    0.000279458
             15      0.0276155      0.0287652    0.000272627
             16      0.0267826      0.0286413    0.000282348
             17      0.0289767       0.028661    0.000266428
             18      0.0302409      0.0287488    0.000265691
             19      0.0289574      0.0287598    0.000251934
             20      0.0300323      0.0288234    0.000247242
             21      0.0303548      0.0288963    0.000245988
             22      0.0295811      0.0289274    0.000236768
             23      0.0294409      0.0289498    0.000227523
             24      0.0291044      0.0289562    0.000218135
             25      0.0288087      0.0289503    0.000209489
             26      0.0280353      0.0289151    0.000204366
             27       0.028914      0.0289151    0.000196797
             28      0.0275236      0.0288654    0.000195942
             29      0.0296025      0.0288908    0.000190827
             30      0.0289362      0.0288923    0.000184472
             31      0.0290793      0.0288984     0.00017862
             32      0.0300704       0.028935    0.000176754
             33      0.0309435      0.0289958    0.000181575
             34       0.034373       0.029154    0.000235233
             35      0.0300998       0.029181    0.000230059
             36      0.0288628      0.0291722    0.000223838
             37      0.0292927      0.0291754    0.000217812
             38      0.0276912      0.0291364    0.000215554
             39      0.0316211      0.0292001    0.000219241
             40      0.0270818      0.0291471    0.000220063
             41      0.0302533      0.0291741    0.000216343
             42       0.028007      0.0291463    0.000212969
             43      0.0297865      0.0291612    0.000208536
             44      0.0302132      0.0291851    0.000205163
             45      0.0288619      0.0291779    0.000200729
             46      0.0275017      0.0291415    0.000199646
             47      0.0288585      0.0291355    0.000195489
             48      0.0282861      0.0291178    0.000192215
             49       0.029206      0.0291196    0.000188301
             50      0.0313386       0.029164    0.000189693
             51       0.029341      0.0291674    0.000186005
             52      0.0308411      0.0291996    0.000185192
             53      0.0270906      0.0291598    0.000185924
             54      0.0311641      0.0291969    0.000186149
             55      0.0294092      0.0292008    0.000182804
             56      0.0279075      0.0291777    0.000180993
             57      0.0277196      0.0291521    0.000179616
             58      0.0285557      0.0291418    0.000176813
             59      0.0276637      0.0291168    0.000175582
             60      0.0303033      0.0291366    0.000173766
             61       0.029165       0.029137    0.000170918
             62      0.0289431      0.0291339     0.00016819
             63      0.0297626      0.0291439    0.000165816
             64      0.0318627      0.0291864    0.000168579
             65      0.0301278      0.0292008    0.000166607
             66      0.0278855      0.0291809     0.00016527
             67      0.0281443      0.0291654    0.000163526
             68      0.0287415      0.0291592     0.00016124
             69      0.0296241       0.029166    0.000159044
             70      0.0308877      0.0291905    0.000158662
             71      0.0288428      0.0291856    0.000156503
             72      0.0278989      0.0291678    0.000155347
             73      0.0309235      0.0291918    0.000155069
             74      0.0296675      0.0291983    0.000153107
             75      0.0294015       0.029201    0.000151089
             76      0.0295884      0.0292061    0.000149187
             77       0.029611      0.0292113    0.000147343
             78      0.0277027       0.029192    0.000146717
             79      0.0307216      0.0292113    0.000146132
             80      0.0317061      0.0292425    0.000147596
             81      0.0295736      0.0292466     0.00014583
             82      0.0290071      0.0292437    0.000144081
             83      0.0278373      0.0292268    0.000143338
             84      0.0298484      0.0292342    0.000141822
             85      0.0278156      0.0292175    0.000141132
             86      0.0291658      0.0292169    0.000139493
             87      0.0302988      0.0292293    0.000138442
             88      0.0274479      0.0292091    0.000138341
             89      0.0279149      0.0291945    0.000137549
             90      0.0289303      0.0291916    0.000136052
             91      0.0313973      0.0292158    0.000136699
             92      0.0274506      0.0291966    0.000136553
             93      0.0279879      0.0291836    0.000135702
             94      0.0294002      0.0291859    0.000134278
             95      0.0275187      0.0291684    0.000134006
             96      0.0284837      0.0291613      0.0001328
             97      0.0260739      0.0291294    0.000135191
             98      0.0268292       0.029106    0.000135834
             99      0.0284489      0.0290993    0.000134624
            100      0.0255916      0.0290642    0.000137772
