#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
              1        1.21618        1.21618              0
              2        1.24377        1.22997      0.0097542
              3        1.21682        1.22559     0.00742248
              4        1.18935        1.21653     0.00961967
              5        1.19014        1.21125      0.0090279
              6        1.18127        1.20626     0.00879806
              7        1.18599        1.20336     0.00800339
              8        1.15275        1.19703     0.00916816
              9        1.19578        1.19689     0.00815053
             10        1.18118        1.19532     0.00748543
             11        1.17166        1.19317     0.00710724
             12        1.16568        1.19088     0.00687432
             13          1.187        1.19058       0.006352
             14         1.2186        1.19258     0.00620559
             15        1.23266        1.19526     0.00634107
             16         1.1996        1.19553     0.00595058
             17        1.18744        1.19505     0.00561954
             18        1.16333        1.19329     0.00557682
             19        1.20392        1.19385     0.00531127
             20        1.16118        1.19222     0.00529093
             21        1.16422        1.19088     0.00520419
             22        1.17411        1.19012     0.00502317
             23        1.16903         1.1892     0.00488777
             24        1.19807        1.18957     0.00469805
             25         1.2177         1.1907     0.00464288
             26        1.17308        1.19002     0.00451349
             27        1.20635        1.19063     0.00438667
             28        1.20216        1.19104      0.0042493
             29        1.18557        1.19085     0.00410696
             30        1.18841        1.19077     0.00397087
             31        1.20321        1.19117     0.00386301
             32        1.20354        1.19156     0.00376158
             33        1.16182        1.19065     0.00375395
             34        1.16491         1.1899     0.00371911
             35        1.17388        1.18944      0.0036409
             36        1.18848        1.18941     0.00353986
             37        1.16893        1.18886     0.00348722
             38        1.19448        1.18901     0.00339859
             39        1.20954        1.18953     0.00335198
             40        1.21051        1.19006     0.00330896
             41        1.21165        1.19058      0.0032699
             42        1.17835        1.19029       0.003205
             43        1.15894        1.18956     0.00321236
             44        1.14793        1.18862     0.00327576
             45        1.19915        1.18885     0.00321132
             46        1.22262        1.18959     0.00322433
             47        1.20774        1.18997     0.00317879
             48        1.18987        1.18997     0.00311257
             49        1.17262        1.18962     0.00306913
             50        1.16149        1.18905     0.00305885
             51        1.16721        1.18863     0.00302873
             52        1.18293        1.18852     0.00297246
             53        1.17933        1.18834     0.00292143
             54        1.17195        1.18804     0.00288306
             55        1.16455        1.18761      0.0028621
             56        1.18343        1.18754     0.00281196
             57        1.20412        1.18783     0.00277764
             58        1.19023        1.18787     0.00273006
             59        1.18407         1.1878     0.00268454
             60        1.15299        1.18722     0.00270178
             61        1.17222        1.18698     0.00266866
             62        1.19641        1.18713     0.00262996
             63        1.18978        1.18717     0.00258855
             64         1.2024        1.18741       0.002559
             65        1.18245        1.18733     0.00252077
             66        1.18201        1.18725     0.00248387
             67        1.15564        1.18678      0.0024912
             68        1.17514        1.18661     0.00246044
             69        1.16672        1.18632     0.00244161
             70        1.15324        1.18585     0.00245203
             71        1.20072        1.18606     0.00242643
             72        1.20606        1.18634     0.00240858
             73        1.17078        1.18612     0.00238499
             74         1.1594        1.18576     0.00237996
             75        1.14979        1.18528     0.00239608
             76         1.2083        1.18559      0.0023836
             77        1.19384        1.18569     0.00235506
             78         1.1688        1.18548      0.0023348
             79        1.18981        1.18553     0.00230589
             80        1.20831        1.18582     0.00229458
             81        1.23718        1.18645     0.00235223
             82        1.21605        1.18681     0.00235109
             83        1.22531        1.18728     0.00236808
             84         1.2076        1.18752     0.00235222
             85        1.20545        1.18773     0.00233398
             86        1.21208        1.18801     0.00232396
             87        1.20457         1.1882     0.00230503
             88        1.22822        1.18866     0.00232327
             89        1.20938        1.18889      0.0023088
             90        1.22019        1.18924      0.0023092
             91        1.23129         1.1897      0.0023296
             92        1.20273        1.18984     0.00230858
             93        1.17988        1.18973     0.00228624
             94        1.21702        1.19002     0.00228028
             95        1.21413        1.19028     0.00227035
             96        1.19705        1.19035     0.00224779
             97        1.24936        1.19096     0.00230548
             98         1.2399        1.19146     0.00233542
             99        1.24779        1.19203     0.00238014
            100        1.19345        1.19204     0.00235638
